round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss
0,0.1106679960119641,0.14285714285714285,0.028468838163631698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1992818671454219,1.0,0.0,0.0,0.0,0.0,1.9765407513763944
1,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,1.029395035708533
2,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,0.9227504670798243
3,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,0.9774889871106666
4,0.67098703888335,0.14545454545454545,0.11976369495166488,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.01818181818181818,0.0,0.0,0.0,0.0,0.8026315789473685,1.0,0.0,0.0,0.8896734256925041
5,0.67098703888335,0.14545454545454545,0.12003866294719326,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.01818181818181818,0.0,0.0,0.0,0.0,0.8045563549160671,1.0,0.0,0.0,0.8739891661960606
6,0.6699900299102692,0.14415584415584415,0.1175795728885111,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.00909090909090909,0.0,0.0,0.0,0.0,0.8050389922015597,1.0,0.0,0.0,0.8773133260897126
7,0.6729810568295115,0.15203485039550615,0.13177823533793584,0.0,0.0,0.0,0.0,0.06060606060606061,0.038461538461538464,0.05217391304347826,0.02727272727272727,0.0,0.0,0.0,0.0,0.8096676737160121,0.9985096870342772,0.0,0.0,0.8374030122371875
8,0.6729810568295115,0.16470660487053929,0.1473483682016881,0.0,0.0,0.0,0.0,0.16470588235294117,0.1346153846153846,0.05128205128205128,0.02727272727272727,0.0,0.0,0.0,0.0,0.8154506437768241,0.9910581222056631,0.0,0.0,0.8152472170613937
9,0.6729810568295115,0.1534834018440576,0.13303201101687004,0.0,0.0,0.0,0.0,0.08450704225352113,0.057692307692307696,0.03508771929824561,0.01818181818181818,0.0,0.0,0.0,0.0,0.8116293155663235,0.9985096870342772,0.0,0.0,0.8398356221965398
