client_id,num_train_samples,num_test_samples,local_class_distribution,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,per_class_recall_json,per_class_f1_json
0,158,146,"{""0"": 1, ""1"": 1, ""2"": 1, ""4"": 17, ""5"": 125, ""6"": 1}",0.8493150684931506,0.3560784313725491,0.21318481407419704,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.17647058823529413, 0.96, 0.0]","[0.0, 0.2857142857142857, 0.0, 0.0, 0.2727272727272727, 0.933852140077821, 0.0]"
1,1081,123,"{""0"": 34, ""1"": 18, ""2"": 2, ""4"": 49, ""5"": 20}",0.4065040650406504,0.6251300520208083,0.269996438976872,0.0,0.0,"[0.08823529411764706, 0.8333333333333334, 1.0, 0.0, 0.20408163265306123, 1.0, 0.0]","[0.15789473684210525, 0.625, 0.3076923076923077, 0.0, 0.31746031746031744, 0.4819277108433735, 0.0]"
2,821,65,"{""2"": 38, ""3"": 1, ""4"": 21, ""5"": 3, ""6"": 2}",0.3230769230769231,0.4969924812030075,0.2672858314777921,0.0,0.0,"[0.0, 0.0, 0.34210526315789475, 0.0, 0.14285714285714285, 1.0, 1.0]","[0.0, 0.0, 0.49056603773584906, 0.0, 0.25, 0.13043478260869565, 1.0]"
3,1281,291,"{""0"": 1, ""1"": 65, ""3"": 1, ""4"": 112, ""5"": 102, ""6"": 10}",0.563573883161512,0.3219439057674352,0.27169541601594577,0.0,0.0,"[0.0, 0.6923076923076923, 0.0, 0.0, 0.17857142857142858, 0.9607843137254902, 0.1]","[0.0, 0.7692307692307693, 0.0, 0.0, 0.28776978417266186, 0.6782006920415224, 0.16666666666666666]"
4,502,50,"{""0"": 12, ""1"": 2, ""2"": 2, ""4"": 6, ""5"": 23, ""6"": 5}",0.56,0.5466183574879228,0.3286270483035981,0.0,0.0,"[0.16666666666666666, 1.0, 1.0, 0.0, 0.0, 0.9130434782608695, 0.2]","[0.2857142857142857, 0.4444444444444444, 0.4444444444444444, 0.0, 0.0, 0.7924528301886793, 0.3333333333333333]"
5,1155,431,"{""0"": 15, ""4"": 9, ""5"": 406, ""6"": 1}",0.9095127610208816,0.284592227695676,0.17991551459293392,0.0,0.0,"[0.06666666666666667, 0.0, 0.0, 0.0, 0.1111111111111111, 0.9605911330049262, 0.0]","[0.125, 0.0, 0.0, 0.0, 0.16666666666666666, 0.967741935483871, 0.0]"
6,179,26,"{""1"": 2, ""3"": 18, ""4"": 1, ""5"": 5}",0.23076923076923078,0.375,0.09999999999999999,0.0,0.0,"[0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.0]","[0.0, 0.2, 0.0, 0.0, 0.0, 0.5, 0.0]"
7,1171,196,"{""0"": 1, ""1"": 12, ""2"": 176, ""3"": 2, ""6"": 5}",0.34183673469387754,0.1537878787878788,0.11524609843937575,0.0,0.0,"[0.0, 0.4166666666666667, 0.3522727272727273, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.2857142857142857, 0.5210084033613446, 0.0, 0.0, 0.0, 0.0]"
8,132,656,"{""0"": 1, ""4"": 7, ""5"": 644, ""6"": 4}",0.9466463414634146,0.3385093167701863,0.21859812112178043,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.9611801242236024, 0.25]","[0.0, 0.0, 0.0, 0.0, 0.15384615384615385, 0.9763406940063092, 0.4]"
9,527,21,"{""0"": 1, ""1"": 3, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 13, ""6"": 1}",0.8095238095238095,0.42857142857142855,0.38756613756613756,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[0.0, 0.75, 0.0, 0.0, 1.0, 0.9629629629629629, 0.0]"
