round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.023645320197044337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,0.14285714285714285,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,0.14285714285714285,0.0
3,0.0,0.0,0.1728395061728395,0.1346153846153846,0.05172413793103448,0.02727272727272727,0.0,0.0,0.017094017094017096,0.009009009009009009,0.8156766687078996,0.992548435171386,0.0,0.0,0.1662065080097867,0.0
4,0.0,0.0,0.0,0.0,0.24,0.16363636363636364,0.0,0.0,0.0,0.0,0.8181261481935089,0.9955290611028316,0.0,0.0,0.16559506067702787,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,0.14285714285714285,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047244094488188976,0.02702702702702703,0.8069963811821471,0.9970193740685543,0.0,0.0,0.14629234301365449,0.0
7,0.0,0.0,0.35714285714285715,0.28846153846153844,0.484149855907781,0.7636363636363637,0.0,0.0,0.0,0.0,0.8612099644128114,0.9016393442622951,0.0,0.0,0.2791053209085996,0.0
8,0.0,0.0,0.0,0.0,0.09523809523809523,0.05454545454545454,0.0,0.0,0.0,0.0,0.8094089264173703,1.0,0.0,0.0,0.15064935064935064,0.0
9,0.05555555555555555,0.030303030303030304,0.0,0.0,0.06611570247933884,0.03636363636363636,0.0,0.0,0.0,0.0,0.8089210367691381,1.0,0.0,0.0,0.15238095238095237,0.0
10,0.0,0.0,0.16393442622950818,0.09615384615384616,0.5033557046979866,0.6818181818181818,0.15384615384615385,0.08333333333333333,0.0,0.0,0.8548168249660787,0.9388971684053651,0.25,0.14285714285714285,0.2775799532239813,0.0
11,0.19047619047619047,0.12121212121212122,0.3783783783783784,0.2692307692307692,0.45132743362831856,0.4636363636363636,0.15384615384615385,0.08333333333333333,0.0,0.0,0.8558322411533421,0.9731743666169895,0.0,0.0,0.2729409934327967,0.0
12,0.0,0.0,0.528,0.6346153846153846,0.4421052631578947,0.38181818181818183,0.13333333333333333,0.08333333333333333,0.034782608695652174,0.018018018018018018,0.8665785997357992,0.977645305514158,0.0,0.0,0.2993471747570108,0.0
13,0.05714285714285714,0.030303030303030304,0.345679012345679,0.2692307692307692,0.05172413793103448,0.02727272727272727,0.0,0.0,0.0,0.0,0.8179031269160024,0.9940387481371088,0.23529411764705882,0.14285714285714285,0.20910034540011121,0.0
14,0.05714285714285714,0.030303030303030304,0.03773584905660377,0.019230769230769232,0.05309734513274336,0.02727272727272727,0.0,0.0,0.0,0.0,0.8055222088835534,1.0,0.13333333333333333,0.07142857142857142,0.16403358546215688,0.0
15,0.2711864406779661,0.24242424242424243,0.07272727272727272,0.038461538461538464,0.11382113821138211,0.06363636363636363,0.0,0.0,0.14705882352941177,0.09009009009009009,0.8310387984981227,0.9895678092399404,0.43478260869565216,0.35714285714285715,0.25447470014214746,0.0
16,0.058823529411764705,0.030303030303030304,0.0,0.0,0.4413145539906103,0.42727272727272725,0.0,0.0,0.05042016806722689,0.02702702702702703,0.8474358974358974,0.9850968703427719,0.25,0.14285714285714285,0.23036525682895706,0.0
17,0.15384615384615385,0.09090909090909091,0.2777777777777778,0.19230769230769232,0.0,0.0,0.0,0.0,0.17391304347826086,0.10810810810810811,0.8278433809819764,0.992548435171386,0.4,0.35714285714285715,0.24871659766273352,0.0
18,0.10526315789473684,0.06060606060606061,0.3076923076923077,0.19230769230769232,0.4120603015075377,0.37272727272727274,0.13333333333333333,0.08333333333333333,0.0,0.0,0.8472400513478819,0.9836065573770492,0.5,0.35714285714285715,0.2928176819277522,0.0
