client_id,num_train_samples,num_test_samples,local_class_distribution,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,per_class_recall_json,per_class_f1_json
0,949,58,"{""0"": 55, ""1"": 2, ""6"": 1}",0.06896551724137931,0.34545454545454546,0.03200308463466358,0.0,0.0,"[0.03636363636363636, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.07017543859649122, 0.15384615384615385, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,71,128,"{""1"": 31, ""4"": 97}",0.5703125,0.6396740937811772,0.21146085552865213,0.0,0.0,"[0.0, 0.7741935483870968, 0.0, 0.0, 0.5051546391752577, 0.0, 0.0]","[0.0, 0.8135593220338984, 0.0, 0.0, 0.6666666666666666, 0.0, 0.0]"
2,484,10,"{""0"": 4, ""1"": 1, ""2"": 1, ""3"": 4}",0.2,0.3125,0.1285714285714286,0.0,0.0,"[0.0, 1.0, 0.0, 0.25, 0.0, 0.0, 0.0]","[0.0, 0.5, 0.0, 0.4, 0.0, 0.0, 0.0]"
3,747,13,"{""1"": 8, ""6"": 5}",0.5384615384615384,0.55,0.18315018315018314,0.0,0.0,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.6]","[0.0, 0.6153846153846154, 0.0, 0.0, 0.0, 0.0, 0.6666666666666666]"
4,164,113,"{""2"": 47, ""4"": 63, ""6"": 3}",0.5663716814159292,0.7155240346729709,0.30094522019334047,0.0,0.0,"[0.0, 0.0, 0.7021276595744681, 0.0, 0.4444444444444444, 0.0, 1.0]","[0.0, 0.0, 0.66, 0.0, 0.5894736842105263, 0.0, 0.8571428571428571]"
5,56,117,"{""1"": 53, ""2"": 62, ""4"": 2}",0.6752136752136753,0.45851085412862647,0.21654135338345862,0.0,0.0,"[0.0, 0.6981132075471698, 0.6774193548387096, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.7789473684210526, 0.7368421052631579, 0.0, 0.0, 0.0, 0.0]"
6,2043,64,"{""1"": 4, ""4"": 60}",0.359375,0.5416666666666666,0.17857142857142858,0.0,0.0,"[0.0, 0.75, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0]","[0.0, 0.75, 0.0, 0.0, 0.5, 0.0, 0.0]"
7,2032,143,"{""0"": 1, ""1"": 3, ""2"": 109, ""5"": 11, ""6"": 19}",0.7132867132867133,0.5191987474942569,0.3346417023836379,0.0,0.0,"[0.0, 0.6666666666666666, 0.7522935779816514, 0.0, 0.0, 0.5454545454545454, 0.631578947368421]","[0.0, 0.36363636363636365, 0.841025641025641, 0.0, 0.0, 0.36363636363636365, 0.7741935483870968]"
8,451,24,"{""3"": 18, ""5"": 6}",0.3333333333333333,0.5555555555555556,0.1510204081632653,0.0,0.0,"[0.0, 0.0, 0.0, 0.1111111111111111, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.2, 0.0, 0.8571428571428571, 0.0]"
9,10,1335,"{""0"": 6, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 1324, ""6"": 1}",0.751310861423221,0.3937203280103582,0.13683306013464056,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.7560422960725075, 0.0]","[0.0, 0.08333333333333333, 0.0, 0.0, 0.013422818791946308, 0.8610752688172043, 0.0]"
