round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02753195673549656,1.0,0.14285714285714285,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,0.14285714285714285,0.0
2,0.0,0.0,0.0,0.0,0.08333333333333333,0.045454545454545456,0.0,0.0,0.0,0.0,0.8052884615384616,0.9985096870342772,0.0,0.0,0.14913774749840325,0.0
3,0.09523809523809523,0.06060606060606061,0.0,0.0,0.08888888888888889,0.05454545454545454,0.0,0.0,0.0,0.0,0.8158536585365853,0.9970193740685543,0.0,0.0,0.15888155560286707,0.0
4,0.25,0.18181818181818182,0.0,0.0,0.18543046357615894,0.12727272727272726,0.0,0.0,0.0,0.0,0.823238566131026,0.992548435171386,0.0,0.0,0.18594847775175644,0.0
5,0.13333333333333333,0.09090909090909091,0.0,0.0,0.2331288343558282,0.17272727272727273,0.0,0.0,0.0,0.0,0.8278433809819764,0.992548435171386,0.0,0.0,0.17945497125824997,0.0
6,0.25396825396825395,0.24242424242424243,0.0,0.0,0.18666666666666668,0.12727272727272726,0.0,0.0,0.0,0.0,0.830423940149626,0.992548435171386,0.0,0.0,0.1946064864097651,0.0
7,0.36363636363636365,0.48484848484848486,0.0,0.0,0.25316455696202533,0.18181818181818182,0.0,0.0,0.017857142857142856,0.009009009009009009,0.8382165605095542,0.9806259314456036,0.0,0.0,0.23661451530303992,0.0
8,0.3561643835616438,0.3939393939393939,0.0,0.0,0.2787878787878788,0.20909090909090908,0.0,0.0,0.017857142857142856,0.009009009009009009,0.8377693282636248,0.9850968703427719,0.0,0.0,0.22816231176886914,0.0
9,0.25806451612903225,0.24242424242424243,0.0,0.0,0.3372093023255814,0.2636363636363636,0.0,0.0,0.017857142857142856,0.009009009009009009,0.8394437420986094,0.9895678092399404,0.0,0.0,0.21494820347279364,0.0
10,0.2222222222222222,0.18181818181818182,0.0,0.0,0.2822085889570552,0.20909090909090908,0.0,0.0,0.06956521739130435,0.036036036036036036,0.8333333333333334,0.9910581222056631,0.0,0.0,0.20257189273582715,0.0
11,0.16326530612244897,0.12121212121212122,0.0,0.0,0.4020618556701031,0.35454545454545455,0.0,0.0,0.08620689655172414,0.04504504504504504,0.8425748884639898,0.9850968703427719,0.0,0.0,0.2151284987350561,0.0
12,0.29411764705882354,0.30303030303030304,0.0,0.0,0.3707865168539326,0.3,0.0,0.0,0.035398230088495575,0.018018018018018018,0.8438495857233907,0.9865871833084948,0.0,0.0,0.22966221490811659,0.0
13,0.27692307692307694,0.2727272727272727,0.0,0.0,0.4,0.34545454545454546,0.0,0.0,0.017857142857142856,0.009009009009009009,0.8456117873158232,0.9836065573770492,0.0,0.0,0.23011391208112522,0.0
14,0.24561403508771928,0.21212121212121213,0.0,0.0,0.39344262295081966,0.32727272727272727,0.0,0.0,0.017857142857142856,0.009009009009009009,0.8401015228426396,0.9865871833084948,0.0,0.0,0.21928430453020617,0.0
