client_id,num_train_samples,num_test_samples,local_class_distribution,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,per_class_recall_json,per_class_f1_json
0,265,146,"{""0"": 3, ""1"": 16, ""2"": 124, ""3"": 2, ""4"": 1}",0.4452054794520548,0.2349462365591398,0.12244897959183673,0.0,0.0,"[0.6666666666666666, 0.0, 0.5080645161290323, 0.0, 0.0, 0.0, 0.0]","[0.19047619047619047, 0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.0]"
1,126,165,"{""0"": 25, ""1"": 40, ""2"": 4, ""4"": 3, ""5"": 92, ""6"": 1}",0.6484848484848484,0.6235748792270531,0.343055856701252,0.0,0.0,"[0.64, 0.0, 0.5, 0.0, 0.6666666666666666, 0.9347826086956522, 1.0]","[0.6274509803921569, 0.0, 0.21052631578947367, 0.0, 0.3076923076923077, 0.8557213930348259, 0.4]"
2,488,242,"{""0"": 3, ""4"": 48, ""5"": 191}",0.8140495867768595,0.44778941244909837,0.2048582995951417,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.4166666666666667, 0.9267015706806283, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.5263157894736842, 0.9076923076923077, 0.0]"
3,211,340,"{""1"": 11, ""2"": 17, ""3"": 2, ""4"": 15, ""5"": 292, ""6"": 3}",0.8411764705882353,0.3280486167069568,0.2562240775765537,0.0,0.0,"[0.0, 0.0, 0.6470588235294118, 0.0, 0.4, 0.9212328767123288, 0.0]","[0.0, 0.0, 0.4489795918367347, 0.0, 0.41379310344827586, 0.9307958477508651, 0.0]"
4,133,263,"{""0"": 3, ""1"": 4, ""2"": 4, ""4"": 134, ""5"": 118}",0.6197718631178707,0.5099797622059196,0.2436358942022077,0.0,0.0,"[1.0, 0.0, 0.25, 0.0, 0.35074626865671643, 0.9491525423728814, 0.0]","[0.35294117647058826, 0.0, 0.09523809523809523, 0.0, 0.5081081081081081, 0.7491638795986622, 0.0]"
5,930,398,"{""2"": 33, ""3"": 6, ""4"": 2, ""5"": 357}",0.9045226130653267,0.5686274509803921,0.28715284833705884,0.0,0.0,"[0.0, 0.0, 0.6666666666666666, 0.16666666666666666, 0.5, 0.9411764705882353, 0.0]","[0.0, 0.0, 0.6875, 0.2, 0.16666666666666666, 0.9559032716927454, 0.0]"
6,2632,141,"{""0"": 26, ""1"": 17, ""2"": 5, ""3"": 1, ""4"": 6, ""5"": 63, ""6"": 23}",0.6312056737588653,0.42204703509051333,0.38366626426898814,0.0,0.0,"[0.6538461538461539, 0.0, 0.6, 0.0, 0.3333333333333333, 0.8888888888888888, 0.4782608695652174]","[0.68, 0.0, 0.35294117647058826, 0.0, 0.2857142857142857, 0.7724137931034483, 0.5945945945945946]"
7,779,209,"{""1"": 8, ""2"": 19, ""3"": 1, ""4"": 1, ""5"": 179, ""6"": 1}",0.8181818181818182,0.5847789865725767,0.32418543555569795,0.0,0.0,"[0.0, 0.0, 0.631578947368421, 0.0, 1.0, 0.8770949720670391, 1.0]","[0.0, 0.0, 0.5333333333333333, 0.0, 0.15384615384615385, 0.9154518950437318, 0.6666666666666666]"
8,1432,78,"{""0"": 5, ""1"": 6, ""2"": 12, ""3"": 3, ""4"": 8, ""5"": 44}",0.7051282051282052,0.43648989898989904,0.3777213125039212,0.0,0.0,"[0.6, 0.0, 0.5833333333333334, 0.3333333333333333, 0.125, 0.9772727272727273, 0.0]","[0.5, 0.0, 0.6086956521739131, 0.5, 0.16666666666666666, 0.8686868686868687, 0.0]"
9,11,23,"{""0"": 1, ""1"": 1, ""2"": 2, ""3"": 8, ""4"": 5, ""5"": 5, ""6"": 1}",0.34782608695652173,0.38571428571428573,0.2619047619047619,0.0,0.0,"[1.0, 0.0, 0.5, 0.0, 0.2, 1.0, 0.0]","[0.3333333333333333, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333, 0.5, 0.0]"
