client_id,num_train_samples,num_test_samples,local_class_distribution,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,per_class_recall_json,per_class_f1_json
0,210,32,"{""0"": 14, ""1"": 2, ""3"": 14, ""4"": 1, ""6"": 1}",0.34375,0.5142857142857142,0.3082417582417582,0.0,0.0,"[0.42857142857142855, 1.0, 0.0, 0.14285714285714285, 0.0, 0.0, 1.0]","[0.6, 0.3076923076923077, 0.0, 0.25, 0.0, 0.0, 1.0]"
1,15,38,"{""0"": 1, ""4"": 28, ""5"": 9}",0.3684210526315789,0.3677248677248677,0.11057054400707653,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.21428571428571427, 0.8888888888888888, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.35294117647058826, 0.42105263157894735, 0.0]"
2,316,248,"{""4"": 1, ""5"": 247}",0.9112903225806451,0.9554655870445344,0.20762711864406777,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.9109311740890689, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.9533898305084746, 0.0]"
3,1101,433,"{""1"": 20, ""4"": 4, ""5"": 409}",0.8706697459584296,0.5133251833740832,0.22687776141384391,0.0,0.0,"[0.0, 0.65, 0.0, 0.0, 0.0, 0.8899755501222494, 0.0]","[0.0, 0.65, 0.0, 0.0, 0.0, 0.9381443298969072, 0.0]"
4,1375,223,"{""4"": 18, ""5"": 205}",0.8475336322869955,0.5369918699186992,0.17215115711356313,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.16666666666666666, 0.9073170731707317, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.9323308270676691, 0.0]"
5,1088,381,"{""0"": 38, ""2"": 218, ""4"": 110, ""5"": 15}",0.4409448818897638,0.5266746411483254,0.22998200752268955,0.0,0.0,"[0.3157894736842105, 0.0, 0.5, 0.0, 0.2909090909090909, 1.0, 0.0]","[0.4067796610169492, 0.0, 0.6089385474860335, 0.0, 0.4155844155844156, 0.17857142857142858, 0.0]"
6,71,151,"{""1"": 1, ""5"": 149, ""6"": 1}",0.9337748344370861,0.9776286353467561,0.4236111111111111,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.9328859060402684, 1.0]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.9652777777777778, 1.0]"
7,236,272,"{""0"": 12, ""3"": 6, ""4"": 11, ""5"": 217, ""6"": 26}",0.8161764705882353,0.45113649791069144,0.377972027972028,0.0,0.0,"[0.25, 0.0, 0.0, 0.16666666666666666, 0.2727272727272727, 0.9124423963133641, 0.6538461538461539]","[0.375, 0.0, 0.0, 0.2, 0.375, 0.9230769230769231, 0.7727272727272727]"
8,1183,141,"{""1"": 1, ""3"": 2, ""4"": 49, ""5"": 89}",0.6808510638297872,0.537491401054804,0.21605214708662984,0.0,0.0,"[0.0, 1.0, 0.0, 0.0, 0.1836734693877551, 0.9662921348314607, 0.0]","[0.0, 0.3333333333333333, 0.0, 0.0, 0.3103448275862069, 0.8686868686868687, 0.0]"
9,1412,86,"{""0"": 1, ""1"": 79, ""2"": 2, ""3"": 1, ""4"": 1, ""5"": 1, ""6"": 1}",0.6162790697674418,0.44755877034358044,0.22469751259282342,0.0,0.0,"[0.0, 0.6329113924050633, 0.5, 0.0, 0.0, 1.0, 1.0]","[0.0, 0.7633587786259542, 0.14285714285714285, 0.0, 0.0, 0.16666666666666666, 0.5]"
