round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
0,0.0,0.0,0.0985781990521327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3384615384615385,0.2972972972972973,0.8188679245283019,0.970193740685544,0.0,0.0,0.18107014828326304,0.0
2,0.0,0.0,0.0,0.0,0.472,0.5363636363636364,0.0,0.0,0.0,0.0,0.8539765319426337,0.9761549925484352,0.0,0.0,0.21607408984458165,0.0
3,0.0,0.0,0.0,0.0,0.19696969696969696,0.11818181818181818,0.0,0.0,0.0,0.0,0.8123486682808717,1.0,0.0,0.0,0.15974025974025974,0.0
4,0.0,0.0,0.0,0.0,0.06837606837606838,0.03636363636363636,0.0,0.0,0.096,0.05405405405405406,0.8106473079249849,0.9985096870342772,0.0,0.0,0.15556105392170966,0.0
5,0.0,0.0,0.13414634146341464,0.8461538461538461,0.0,0.0,0.0,0.0,0.2980392156862745,0.6846846846846847,0.0,0.0,0.0,0.0,0.2186912186912187,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.05405405405405406,0.8074834037417019,0.9970193740685543,0.0,0.0,0.15015334687465834,0.0
7,0.0,0.0,0.0,0.0,0.49146757679180886,0.6545454545454545,0.0,0.0,0.0,0.0,0.8718980549966465,0.9687034277198212,0.0,0.0,0.23189269746646796,0.0
8,0.0,0.0,0.0,0.0,0.37433155080213903,0.3181818181818182,0.0,0.0,0.2465753424657534,0.16216216216216217,0.8437900128040973,0.9821162444113264,0.0,0.0,0.2089228892507581,0.0
9,0.2222222222222222,0.15151515151515152,0.32,0.3076923076923077,0.018018018018018018,0.00909090909090909,0.0,0.0,0.4166666666666667,0.45045045045045046,0.8638814016172507,0.9552906110283159,0.0,0.0,0.26771991853959065,0.0
10,0.0,0.0,0.4225352112676056,0.5769230769230769,0.0,0.0,0.0,0.0,0.3544715447154472,0.9819819819819819,0.7314814814814815,0.5886736214605067,0.0,0.0,0.3067969543379379,0.0
11,0.0,0.0,0.0,0.0,0.4796747967479675,0.5363636363636364,0.0,0.0,0.0,0.0,0.8582574772431729,0.9836065573770492,0.0,0.0,0.2171385991058122,0.0
12,0.2692307692307692,0.21212121212121213,0.11428571428571428,0.07692307692307693,0.0,0.0,0.0,0.0,0.39730639730639733,0.5315315315315315,0.8407994486560992,0.9090909090909091,0.0,0.0,0.24709524709524708,0.0
13,0.05263157894736842,0.030303030303030304,0.4117647058823529,0.8076923076923077,0.13008130081300814,0.07272727272727272,0.0,0.0,0.42487046632124353,0.36936936936936937,0.8734177215189873,0.9254843517138599,0.0,0.0,0.31508233311511996,0.0
14,0.0,0.0,0.12702366127023662,0.9807692307692307,0.03571428571428571,0.01818181818181818,0.0,0.0,0.1322314049586777,0.07207207207207207,0.4950276243093923,0.33383010432190763,0.0,0.0,0.20069331790643266,0.0
15,0.0,0.0,0.35023041474654376,0.7307692307692307,0.0,0.0,0.13333333333333333,0.08333333333333333,0.34177215189873417,0.4864864864864865,0.7947327652982185,0.7645305514157973,0.16666666666666666,0.14285714285714285,0.3154252492659987,0.0
