round,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,balanced_accuracy,worst_class_f1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1992818671454219,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
1,0.0,0.0,0.0,0.0,0.4126984126984127,0.35454545454545455,0.0,0.0,0.0,0.0,0.8300940438871474,0.9865871833084948,0.0,0.0,0.1915903768362785,0.0
2,0.0,0.0,0.0,0.0,0.3764705882352941,0.43636363636363634,0.0,0.0,0.017699115044247787,0.009009009009009009,0.8041912246234446,0.9150521609538003,0.0,0.0,0.19434640090377794,0.0
3,0.0,0.0,0.0,0.0,0.46956521739130436,0.4909090909090909,0.0,0.0,0.4672897196261682,0.45045045045045046,0.8587181254307374,0.9284649776453056,0.0,0.0,0.26711778842926387,0.0
4,0.0,0.0,0.0,0.0,0.49382716049382713,0.5454545454545454,0.0,0.0,0.4659090909090909,0.36936936936936937,0.8672086720867209,0.9538002980625931,0.0,0.0,0.266946316126644,0.0
5,0.0,0.0,0.0,0.0,0.4298245614035088,0.44545454545454544,0.0,0.0,0.46006389776357826,0.6486486486486487,0.8655834564254062,0.8733233979135618,0.0,0.0,0.2810609417166794,0.0
6,0.0,0.0,0.0,0.0,0.1780821917808219,0.11818181818181818,0.0,0.0,0.3434343434343434,0.3063063063063063,0.8304319793681496,0.9597615499254843,0.0,0.0,0.1977499534876584,0.0
7,0.0,0.0,0.0,0.0,0.4413145539906103,0.8545454545454545,0.0,0.0,0.2976190476190476,0.22522522522522523,0.8578016910069177,0.8315946348733234,0.0,0.0,0.27305218780628615,0.0
8,0.0,0.0,0.0,0.0,0.48672566371681414,0.5,0.0,0.0,0.05263157894736842,0.02702702702702703,0.8488745980707395,0.9836065573770492,0.0,0.0,0.21580479777201086,0.0
9,0.0,0.0,0.0,0.0,0.5106382978723404,0.6545454545454545,0.0,0.0,0.5,0.5315315315315315,0.8772694262890341,0.9001490312965723,0.0,0.0,0.29803228819622263,0.0
10,0.0,0.0,0.0985781990521327,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
11,0.0,0.0,0.0,0.0,0.4946236559139785,0.41818181818181815,0.0,0.0,0.14173228346456693,0.08108108108108109,0.8394437420986094,0.9895678092399404,0.0,0.0,0.21269010121469137,0.0
12,0.0,0.0,0.0,0.0,0.4882943143812709,0.6636363636363637,0.0,0.0,0.4019607843137255,0.36936936936936937,0.867816091954023,0.9001490312965723,0.0,0.0,0.2761649663289008,0.0
13,0.0,0.0,0.0,0.0,0.4851063829787234,0.5181818181818182,0.0,0.0,0.44221105527638194,0.3963963963963964,0.8610540725530459,0.9374068554396423,0.0,0.0,0.2645692957168367,0.0
14,0.0,0.0,0.0,0.0,0.49382716049382713,0.5454545454545454,0.0,0.0,0.42105263157894735,0.36036036036036034,0.8673050615595075,0.9448584202682563,0.0,0.0,0.264381903726166,0.0
15,0.0,0.0,0.0,0.0,0.5150501672240803,0.7,0.0,0.0,0.3742690058479532,0.2882882882882883,0.8673684210526316,0.9210134128166915,0.0,0.0,0.27275738587213993,0.0
16,0.0,0.0,0.0,0.0,0.540084388185654,0.5818181818181818,0.0,0.0,0.475,0.5135135135135135,0.8744710860366713,0.9239940387481371,0.0,0.0,0.2884751048685475,0.0
17,0.0,0.0,0.0,0.0,0.5245901639344263,0.5818181818181818,0.0,0.0,0.4700460829493088,0.4594594594594595,0.8730822873082287,0.9329359165424739,0.0,0.0,0.28203050826001647,0.0
18,0.0,0.0,0.0,0.0,0.38372093023255816,0.3,0.0,0.0,0.39408866995073893,0.36036036036036034,0.686055182699478,0.6855439642324889,0.0,0.0,0.192272046370407,0.0
