round,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,f1_actinic_keratoses_an,recall_actinic_keratoses_an,f1_basal_cell_carcinoma,recall_basal_cell_carcinoma,f1_benign_keratosis-lik,recall_benign_keratosis-lik,f1_dermatofibroma,recall_dermatofibroma,f1_melanoma,recall_melanoma,f1_melanocytic_nevi,recall_melanocytic_nevi,f1_vascular_lesions,recall_vascular_lesions,loss,train_loss_weighted,train_loss_unweighted
0,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,1.0,0.0,0.0,1.9043358209007164,,
1,0.6739780658025922,0.1536938471364701,0.13516865079365079,0.0,0.0,0.0,0.0,0.0,0.0,0.140625,0.08181818181818182,0.0,0.0,0.0,0.0,0.8055555555555556,0.9940387481371088,0.0,0.0,1.28534594068261,0.5311608590048561,0.7243033675037029
2,0.7417746759720838,0.27628311726672383,0.2637192498706939,0.0,0.0,0.0,0.0,0.0,0.0,0.47750865051903113,0.6272727272727273,0.0,0.0,0.4878048780487805,0.36036036036036034,0.8807212205270458,0.9463487332339792,0.0,0.0,1.0803392184814689,0.488946519979703,1.3573781249322796
3,0.7208374875373879,0.22216960413681724,0.21754449601411344,0.0,0.0,0.0,0.0,0.0,0.0,0.4558139534883721,0.44545454545454544,0.0,0.0,0.2153846153846154,0.12612612612612611,0.8516129032258064,0.9836065573770492,0.0,0.0,1.4571528241023466,0.4335229330351981,1.5662131849291212
4,0.6580259222333001,0.2742066528951775,0.23468296519738452,0.0,0.0,0.0,0.0,0.0,0.0,0.39814814814814814,0.39090909090909093,0.0,0.0,0.4090909090909091,0.7297297297297297,0.8355416991426344,0.7988077496274217,0.0,0.0,1.3721109089680232,0.3218973724834786,1.0106099230014995
5,0.6859421734795613,0.2889128003882102,0.24937333960227473,0.0,0.0,0.0,0.0,0.0,0.0,0.45528455284552843,0.509090909090909,0.0,0.0,0.4342857142857143,0.6846846846846847,0.8560431100846805,0.8286140089418778,0.0,0.0,1.4655049227527226,0.25254338786364716,0.8451711550002686
6,0.6849451645064806,0.22944892944892947,0.22468119053484908,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.37272727272727274,0.0,0.0,0.35121951219512193,0.32432432432432434,0.8215488215488216,0.9090909090909091,0.0,0.0,1.2788488920759464,0.3145830364265157,1.2792602707450094
7,0.7168494516450648,0.2600440764375191,0.24654515966201226,0.0,0.0,0.0,0.0,0.0,0.0,0.43373493975903615,0.4909090909090909,0.0,0.0,0.42857142857142855,0.40540540540540543,0.8635097493036211,0.9239940387481371,0.0,0.0,1.2537312105907163,0.2103837156133571,1.0311341097794942
8,0.6979062811565304,0.245082446721791,0.23179108322914602,0.0,0.0,0.0,0.0,0.0,0.0,0.35944700460829493,0.35454545454545455,0.0,0.0,0.411522633744856,0.45045045045045046,0.8515679442508711,0.910581222056632,0.0,0.0,1.5222071152503565,0.1456315909188267,0.9864531578758697
9,0.6550348953140578,0.24232546363693905,0.2234041099559823,0.0,0.0,0.0,0.0,0.0,0.0,0.37433155080213903,0.3181818181818182,0.0,0.0,0.37735849056603776,0.5405405405405406,0.8121387283236994,0.8375558867362146,0.0,0.0,1.2625280989488123,0.19465547057107563,0.7365822742195434
