client_id,num_train_samples,num_test_samples,local_class_distribution,accuracy,balanced_accuracy,macro_f1,worst_class_f1,worst_class_recall,per_class_recall_json,per_class_f1_json
0,2082,596,"{""2"": 74, ""4"": 75, ""5"": 447}",0.7348993288590604,0.6398980188241933,0.2744306315088852,0.0,0.0,"[0.0, 0.0, 0.581081081081081, 0.0, 0.5466666666666666, 0.7919463087248322, 0.0]","[0.0, 0.0, 0.5029239766081871, 0.0, 0.5578231292517006, 0.8602673147023087, 0.0]"
1,2080,594,"{""2"": 73, ""4"": 74, ""5"": 447}",0.7626262626262627,0.6717900211510582,0.28328187478603784,0.0,0.0,"[0.0, 0.0, 0.7123287671232876, 0.0, 0.4864864864864865, 0.8165548098434005, 0.0]","[0.0, 0.0, 0.6380368098159509, 0.0, 0.4675324675324675, 0.8774038461538461, 0.0]"
2,2079,594,"{""2"": 73, ""4"": 74, ""5"": 447}",0.7457912457912458,0.6187337470779596,0.2760245777634117,0.0,0.0,"[0.0, 0.0, 0.6027397260273972, 0.0, 0.43243243243243246, 0.8210290827740492, 0.0]","[0.0, 0.0, 0.5714285714285714, 0.0, 0.48484848484848486, 0.8758949880668258, 0.0]"
3,192,56,"{""0"": 51, ""1"": 2, ""3"": 2, ""6"": 1}",0.017857142857142856,0.125,0.025974025974025976,0.0,0.0,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,284,81,"{""0"": 3, ""1"": 75, ""3"": 1, ""6"": 2}",0.18518518518518517,0.05,0.047619047619047616,0.0,0.0,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,89,25,"{""0"": 1, ""1"": 7, ""3"": 16, ""6"": 1}",0.04,0.03571428571428571,0.025974025974025976,0.0,0.0,"[0.0, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.18181818181818182, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,102,29,"{""0"": 2, ""1"": 5, ""3"": 1, ""6"": 21}",0.06896551724137931,0.06190476190476191,0.044733044733044736,0.0,0.0,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.047619047619047616]","[0.0, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.09090909090909091]"
7,33,10,"{""0"": 4, ""1"": 5, ""3"": 1}",0.1,0.06666666666666667,0.04081632653061224,0.0,0.0,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.2857142857142857, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,33,10,"{""0"": 2, ""1"": 5, ""3"": 1, ""6"": 2}",0.1,0.05,0.047619047619047616,0.0,0.0,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,33,10,"{""0"": 3, ""1"": 4, ""3"": 1, ""6"": 2}",0.0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
