round,client_id,update_norm,n_samples,local_epochs
1,0,4.761198799785992,6049,20
1,1,0.4561036852278705,958,20
2,1,0.6840382793599828,958,20
2,0,4.716276688702958,6049,20
3,0,4.257306402352118,6049,20
3,1,0.6714790691792656,958,20
4,1,0.6735996719696732,958,20
4,0,1.656672131701519,6049,20
5,1,0.6857765213836942,958,20
5,0,0.22775546878673625,6049,20
6,1,0.643199036118875,958,20
6,0,0.14438142611096466,6049,20
7,0,0.11343013797074142,6049,20
7,1,0.6080018298839571,958,20
8,0,0.0993968540972009,6049,20
8,1,0.578056849873517,958,20
9,0,0.08862892088849328,6049,20
9,1,0.5512153793534958,958,20
10,0,0.0799818057419837,6049,20
10,1,0.5295017473502417,958,20
11,0,0.07700625397465928,6049,20
11,1,0.5080429027591847,958,20
12,0,0.07440880169542542,6049,20
12,1,0.49012843044430354,958,20
13,0,0.06951179337441087,6049,20
13,1,0.4755169346458176,958,20
14,1,0.460849760919728,958,20
14,0,0.06770601910879583,6049,20
15,1,0.4493988020122164,958,20
15,0,0.06482150483832569,6049,20
16,1,0.43734658140596055,958,20
16,0,0.06390663936344144,6049,20
17,0,0.06147203531138911,6049,20
17,1,0.4266426154595144,958,20
18,0,0.060329968748922894,6049,20
18,1,0.4168884322405834,958,20
19,0,0.05857302527367634,6049,20
19,1,0.40994784997704775,958,20
20,1,0.4013909871335749,958,20
20,0,0.058414995409935486,6049,20
21,1,0.3921845236799395,958,20
21,0,0.05644579214306429,6049,20
22,1,0.38577905483806707,958,20
22,0,0.05532273552355619,6049,20
23,1,0.3790972843946374,958,20
23,0,0.05421184546934979,6049,20
24,1,0.3721935786800593,958,20
24,0,0.05370560615866632,6049,20
25,0,0.05270520689525804,6049,20
25,1,0.36560957676256306,958,20
26,1,0.35948077460009553,958,20
26,0,0.05631729129150846,6049,20
27,0,0.051072812404067136,6049,20
27,1,0.3528964582307049,958,20
28,0,0.04996038850807938,6049,20
28,1,0.34770890000423815,958,20
29,1,0.3422468431966235,958,20
29,0,0.049070770629076145,6049,20
30,1,0.33668632340099297,958,20
30,0,0.048911652807109636,6049,20
31,0,0.047841947727698585,6049,20
31,1,0.33199097339425604,958,20
32,1,0.3260148866228833,958,20
32,0,0.04764151807936866,6049,20
33,1,0.3220531032986419,958,20
33,0,0.04778259771023219,6049,20
34,1,0.31818278691296525,958,20
34,0,0.04550580146384559,6049,20
35,1,0.3112444135642774,958,20
35,0,0.04564380393961801,6049,20
36,0,0.046117356463132655,6049,20
36,1,0.30764079771720915,958,20
37,0,0.043186254679120815,6049,20
37,1,0.3045801279467628,958,20
38,1,0.3003235807916253,958,20
38,0,0.04461753465619674,6049,20
39,1,0.2964784272756802,958,20
39,0,0.04406427656258937,6049,20
40,1,0.29354666951290753,958,20
40,0,0.04222554524509575,6049,20
41,1,0.28867234669377817,958,20
41,0,0.041893756606632915,6049,20
42,1,0.2854976157075399,958,20
42,0,0.04209268819496358,6049,20
43,1,0.2824194789018695,958,20
43,0,0.0411523052552091,6049,20
44,0,0.04081163016833898,6049,20
44,1,0.2778640326449673,958,20
45,0,0.04060032881336481,6049,20
45,1,0.27559958238917964,958,20
46,1,0.27178413329193035,958,20
46,0,0.040809459449790364,6049,20
47,0,0.03819221324390478,6049,20
47,1,0.27120061423427305,958,20
48,1,0.2657804812022283,958,20
48,0,0.04078269901268368,6049,20
49,0,0.03842778367198311,6049,20
49,1,0.26457403878423863,958,20
50,1,0.2628760729718391,958,20
50,0,0.03777813253997553,6049,20
51,1,0.25832176539109153,958,20
51,0,0.03797477122153552,6049,20
52,1,0.2569830977328315,958,20
52,0,0.03695004550192746,6049,20
53,0,0.03734557586585079,6049,20
53,1,0.25499374205080977,958,20
54,1,0.2536553213634361,958,20
54,0,0.037069859584927554,6049,20
55,0,0.03693795044267523,6049,20
55,1,0.25149744658317047,958,20
56,1,0.24914719634520366,958,20
56,0,0.03696349091128414,6049,20
57,1,0.24854429005996176,958,20
57,0,0.03747177969619706,6049,20
58,1,0.24459486899221594,958,20
58,0,0.038041299272584,6049,20
59,0,0.03552375905275793,6049,20
59,1,0.24472382820822963,958,20
60,0,0.03510931015039931,6049,20
60,1,0.24262826611491112,958,20
61,0,0.03752163260194563,6049,20
61,1,0.23886056904332714,958,20
62,0,0.034922089481961724,6049,20
62,1,0.2383784483401158,958,20
63,0,0.03370096324247496,6049,20
63,1,0.2383088364769565,958,20
64,1,0.23420401611391362,958,20
64,0,0.03575508854299795,6049,20
65,0,0.03420391062183667,6049,20
65,1,0.2348458198358397,958,20
66,0,0.03458867564808074,6049,20
66,1,0.23403200438088345,958,20
67,1,0.2318476100459813,958,20
67,0,0.03437409432591605,6049,20
68,1,0.22905782098728408,958,20
68,0,0.03314824463116985,6049,20
69,1,0.2291082864688546,958,20
69,0,0.03429617094886614,6049,20
70,0,0.032665183537562086,6049,20
70,1,0.22776968164123057,958,20
71,1,0.22795410906434482,958,20
71,0,0.03244947568323306,6049,20
72,1,0.22495879465841387,958,20
72,0,0.033694258230569527,6049,20
73,1,0.22532116861115115,958,20
73,0,0.034018190323653594,6049,20
74,0,0.03160817490292245,6049,20
74,1,0.22335813364578905,958,20
75,0,0.031903456977967,6049,20
75,1,0.22068215890362566,958,20
76,1,0.21937022317170693,958,20
76,0,0.03259659355680816,6049,20
77,0,0.03224773231095237,6049,20
77,1,0.21798968423324347,958,20
78,1,0.2185627803953225,958,20
78,0,0.03116015342163276,6049,20
79,0,0.032772095743061024,6049,20
79,1,0.21873252994888254,958,20
80,0,0.031121583120989345,6049,20
80,1,0.2154909992242488,958,20
81,1,0.2147696187714751,958,20
81,0,0.031936370000683154,6049,20
82,1,0.21496784780879793,958,20
82,0,0.030077365897803212,6049,20
83,1,0.21307957881008302,958,20
83,0,0.031567915626562915,6049,20
84,1,0.21170396992675916,958,20
84,0,0.030730758566743746,6049,20
85,1,0.21103800540620307,958,20
85,0,0.03098538285822142,6049,20
86,0,0.029850484099980503,6049,20
86,1,0.2084201071948901,958,20
87,1,0.2103512169215423,958,20
87,0,0.029888096668665234,6049,20
88,0,0.03154348004685972,6049,20
88,1,0.206861742970741,958,20
89,1,0.20580981348402594,958,20
89,0,0.030794036528038995,6049,20
90,0,0.02950112109648499,6049,20
90,1,0.2068237806653818,958,20
91,0,0.03170798135568259,6049,20
91,1,0.20487391810162492,958,20
92,1,0.2042268583243632,958,20
92,0,0.028620498509469478,6049,20
93,0,0.029870819852316287,6049,20
93,1,0.20346413348125258,958,20
94,0,0.028814919752665688,6049,20
94,1,0.20214183135499544,958,20
95,0,0.029025475286828518,6049,20
95,1,0.20257034791222464,958,20
96,0,0.027845618952216298,6049,20
96,1,0.20106578005190853,958,20
97,1,0.19998820641983558,958,20
97,0,0.03129707044724211,6049,20
98,1,0.198628772898337,958,20
98,0,0.02905671006279829,6049,20
99,1,0.1953313885003481,958,20
99,0,0.029731135399359385,6049,20
100,1,0.1969721445395502,958,20
100,0,0.02923670177432964,6049,20
101,0,0.0280276575495633,6049,20
101,1,0.19659774917129494,958,20
102,0,0.02761993467563691,6049,20
102,1,0.1959630276753252,958,20
103,1,0.19414559377398632,958,20
103,0,0.031920145987078236,6049,20
104,0,0.03004809422739425,6049,20
104,1,0.1927869970036706,958,20
105,1,0.19297518300566843,958,20
105,0,0.02701353090245527,6049,20
106,1,0.19054425742870182,958,20
106,0,0.027038178628547665,6049,20
