round,client_id,update_norm,n_samples,local_epochs,tau
1,0,4.779022167638696,6049,20,12100
1,1,1.6873766390249363,958,20,1920
2,0,5.049823687573765,6049,20,12100
2,1,1.3461132053397642,958,20,1920
3,1,1.1789403311684374,958,20,1920
3,0,4.4183474473748845,6049,20,12100
4,0,2.1327087784021206,6049,20,12100
4,1,0.9161244653016731,958,20,1920
5,1,0.644735321200439,958,20,1920
5,0,0.9051501982134518,6049,20,12100
6,0,1.1964747402268998,6049,20,12100
6,1,0.4530000278098016,958,20,1920
7,0,0.916281359419791,6049,20,12100
7,1,0.4895474044658887,958,20,1920
8,0,0.31802357008255444,6049,20,12100
8,1,0.3616325950384703,958,20,1920
9,0,1.311388016900249,6049,20,12100
9,1,0.3848274146885639,958,20,1920
10,0,0.32450428794045155,6049,20,12100
10,1,0.4314168853787006,958,20,1920
11,1,0.2876960522115872,958,20,1920
11,0,0.7477681952351855,6049,20,12100
12,1,0.33420211010613365,958,20,1920
12,0,0.9731581511856356,6049,20,12100
13,0,0.26155925318224127,6049,20,12100
13,1,0.36605449294694253,958,20,1920
14,1,0.35930880669520276,958,20,1920
14,0,0.9919358390245538,6049,20,12100
15,0,1.1412726599326308,6049,20,12100
15,1,0.43996057109727776,958,20,1920
16,0,0.6636928313071719,6049,20,12100
16,1,0.32849141371587537,958,20,1920
17,0,0.6436308185225044,6049,20,12100
17,1,0.28951545463540174,958,20,1920
18,0,0.2674587004378834,6049,20,12100
18,1,0.4048628663364373,958,20,1920
19,0,1.0868170623991142,6049,20,12100
19,1,0.2087893919299172,958,20,1920
20,1,0.3792751804747978,958,20,1920
20,0,0.1906760285024504,6049,20,12100
21,0,0.7129659628622892,6049,20,12100
21,1,0.19227787493805146,958,20,1920
22,1,0.44044503882992536,958,20,1920
22,0,0.16271778478671567,6049,20,12100
23,0,0.6243650967958948,6049,20,12100
23,1,0.1791546423017135,958,20,1920
24,1,0.4548541597136974,958,20,1920
24,0,0.9112478769814398,6049,20,12100
25,0,0.6668451559962929,6049,20,12100
25,1,0.21402701742558486,958,20,1920
26,1,0.37561040800095125,958,20,1920
26,0,0.19392374837657939,6049,20,12100
27,0,0.7359778531683463,6049,20,12100
27,1,0.1819001494673003,958,20,1920
28,1,0.4030145385369413,958,20,1920
28,0,0.17921227037607235,6049,20,12100
29,1,0.15450622684068951,958,20,1920
29,0,0.6208355845591798,6049,20,12100
30,1,0.41846714068633684,958,20,1920
30,0,0.13408218463582922,6049,20,12100
31,1,0.1548216348093033,958,20,1920
31,0,0.845266839940473,6049,20,12100
32,0,0.8644341211996767,6049,20,12100
32,1,0.4570820020563896,958,20,1920
33,1,0.20284270750006025,958,20,1920
33,0,0.6523547183180826,6049,20,12100
34,0,0.17940997114947219,6049,20,12100
34,1,0.3550737715367706,958,20,1920
35,0,0.9076830006232424,6049,20,12100
35,1,0.2402120136201321,958,20,1920
36,0,0.21742480747532084,6049,20,12100
36,1,0.3020630878968934,958,20,1920
37,0,0.7775817867886734,6049,20,12100
37,1,0.23539526514832682,958,20,1920
38,0,0.2031148735179854,6049,20,12100
38,1,0.3012543987206005,958,20,1920
39,0,0.36811930089827916,6049,20,12100
39,1,0.22306478777016234,958,20,1920
40,1,0.36433106159738143,958,20,1920
40,0,0.19869015567047607,6049,20,12100
41,1,0.20807116220448482,958,20,1920
41,0,0.32897683260941685,6049,20,12100
42,0,0.6228660494633799,6049,20,12100
42,1,0.3180165364781832,958,20,1920
43,1,0.27439154343518696,958,20,1920
43,0,0.25123586124597763,6049,20,12100
44,1,0.22569740391096652,958,20,1920
44,0,0.8150521885461174,6049,20,12100
45,0,0.22851446320762678,6049,20,12100
45,1,0.3189341768577556,958,20,1920
46,1,0.189002776537348,958,20,1920
46,0,0.7882275715309157,6049,20,12100
47,0,0.18553230138398594,6049,20,12100
47,1,0.3974919070787207,958,20,1920
48,1,0.14600175487018682,958,20,1920
48,0,0.5241394613389925,6049,20,12100
49,0,0.10629153696357868,6049,20,12100
49,1,0.3852313275731242,958,20,1920
50,1,0.1400568495493153,958,20,1920
50,0,0.7469288398562675,6049,20,12100
51,0,0.12890671719054916,6049,20,12100
51,1,0.39708225489428567,958,20,1920
52,0,0.5038411292297248,6049,20,12100
52,1,0.15054378400058432,958,20,1920
53,0,0.11822863347716772,6049,20,12100
53,1,0.4012294964056539,958,20,1920
54,0,0.38375057633984067,6049,20,12100
54,1,0.14149982519196644,958,20,1920
55,1,0.4438735579203548,958,20,1920
55,0,0.14289337035131927,6049,20,12100
56,0,0.39213866944636344,6049,20,12100
56,1,0.13875567225502664,958,20,1920
57,0,0.18577883259466466,6049,20,12100
57,1,0.4589520339196319,958,20,1920
58,0,0.8159744733528519,6049,20,12100
58,1,0.16538150751924996,958,20,1920
59,0,0.175614300948276,6049,20,12100
59,1,0.3640155890799691,958,20,1920
60,1,0.16200015278948668,958,20,1920
60,0,0.32287816943740594,6049,20,12100
61,0,0.16699096311657596,6049,20,12100
61,1,0.28823894076579726,958,20,1920
62,1,0.17470734458450476,958,20,1920
62,0,0.9583671105693092,6049,20,12100
63,0,0.16475555736230638,6049,20,12100
63,1,0.3574203744836117,958,20,1920
64,0,0.6971193311210854,6049,20,12100
64,1,0.13585463217034757,958,20,1920
65,1,0.47425725795698553,958,20,1920
65,0,0.8297143070659194,6049,20,12100
66,0,0.6393134993356272,6049,20,12100
66,1,0.1596443918647116,958,20,1920
67,0,0.14346943624712843,6049,20,12100
67,1,0.40626861380403695,958,20,1920
68,1,0.137564055535957,958,20,1920
68,0,0.7952838339082177,6049,20,12100
69,0,0.14671002548067627,6049,20,12100
69,1,0.31929508389329686,958,20,1920
70,1,0.15779719786798302,958,20,1920
70,0,0.7796910481242514,6049,20,12100
71,0,0.15139285538543357,6049,20,12100
71,1,0.3942174995712642,958,20,1920
72,0,0.6827333311873603,6049,20,12100
72,1,0.15429292653757112,958,20,1920
73,1,0.3384922630554085,958,20,1920
73,0,0.1685071788129112,6049,20,12100
74,0,0.5520235500407346,6049,20,12100
74,1,0.15800684614255198,958,20,1920
75,0,0.166860433132565,6049,20,12100
75,1,0.30915001048461377,958,20,1920
76,1,0.17635091013440013,958,20,1920
76,0,0.2740292040402326,6049,20,12100
77,1,0.32196875421444504,958,20,1920
77,0,0.2511064257308919,6049,20,12100
78,0,0.7323701972279681,6049,20,12100
78,1,0.21325550215368422,958,20,1920
79,1,0.3282235192825425,958,20,1920
79,0,0.15523616488488715,6049,20,12100
80,0,0.561492153479699,6049,20,12100
80,1,0.1617836837522217,958,20,1920
81,0,0.14989792346951045,6049,20,12100
81,1,0.34025973522021286,958,20,1920
82,1,0.1402150764786692,958,20,1920
82,0,0.8345656421159008,6049,20,12100
83,0,0.1294533698856317,6049,20,12100
83,1,0.46116593429858665,958,20,1920
84,0,0.7331320106935835,6049,20,12100
84,1,0.14925781989069653,958,20,1920
85,1,0.40914498873068994,958,20,1920
85,0,0.18331643717861204,6049,20,12100
86,0,0.7298305154466993,6049,20,12100
86,1,0.15257566786251323,958,20,1920
87,0,0.13990814176202104,6049,20,12100
87,1,0.35043509107194126,958,20,1920
88,0,0.2948030918961721,6049,20,12100
88,1,0.1508826992537731,958,20,1920
89,1,0.2932251838415093,958,20,1920
89,0,0.16721689354104763,6049,20,12100
90,1,0.17546712061194406,958,20,1920
90,0,0.7135102535274358,6049,20,12100
91,1,0.40056998689506873,958,20,1920
91,0,0.16319644289930046,6049,20,12100
92,1,0.15395107138677955,958,20,1920
92,0,0.8792004459545592,6049,20,12100
93,1,0.4409786487998877,958,20,1920
93,0,0.09374491615581948,6049,20,12100
