round,client_id,update_norm,n_samples,local_epochs,tau
1,1,1.6869427263354007,958,20,1920
1,0,4.781188026313206,6049,20,12100
2,1,1.3404809754790383,958,20,1920
2,0,5.017876993647025,6049,20,12100
3,0,4.408425591695301,6049,20,12100
3,1,1.1715023225989947,958,20,1920
4,1,0.9213888242556296,958,20,1920
4,0,2.194177001308433,6049,20,12100
5,1,0.653048128416895,958,20,1920
5,0,1.099562748844687,6049,20,12100
6,0,0.6270160568254416,6049,20,12100
6,1,0.47391650025067844,958,20,1920
7,1,0.43024764915206615,958,20,1920
7,0,0.9699696203976712,6049,20,12100
8,0,0.3199482220419932,6049,20,12100
8,1,0.36187560417335635,958,20,1920
9,1,0.43887325892231843,958,20,1920
9,0,1.498216407035977,6049,20,12100
10,1,0.40620450631067856,958,20,1920
10,0,0.35639022129915027,6049,20,12100
11,0,0.7978505377073584,6049,20,12100
11,1,0.3529172341634218,958,20,1920
12,0,0.7372319052070326,6049,20,12100
12,1,0.3041852951303743,958,20,1920
13,0,0.6025974921194815,6049,20,12100
13,1,0.4134621427562397,958,20,1920
14,0,1.0724977887977794,6049,20,12100
14,1,0.3140017615788175,958,20,1920
15,0,1.068465218146717,6049,20,12100
15,1,0.3738844266674951,958,20,1920
16,0,0.6420669788378839,6049,20,12100
16,1,0.3758126865553901,958,20,1920
17,0,0.2601859420812107,6049,20,12100
17,1,0.4064350988216296,958,20,1920
18,1,0.27194728915307537,958,20,1920
18,0,0.7209951535617345,6049,20,12100
19,1,0.37386653916882057,958,20,1920
19,0,0.22099873617566218,6049,20,12100
20,0,0.5950828483668384,6049,20,12100
20,1,0.23026330447550955,958,20,1920
21,0,0.22338532211309844,6049,20,12100
21,1,0.38701474553781356,958,20,1920
22,1,0.2153344841392705,958,20,1920
22,0,0.4275532193269895,6049,20,12100
23,0,0.5852245426143062,6049,20,12100
23,1,0.363070019958135,958,20,1920
24,0,0.7734166872172623,6049,20,12100
24,1,0.3074563181497055,958,20,1920
25,0,0.4984380410842667,6049,20,12100
25,1,0.3732267910082439,958,20,1920
26,0,0.6494807405103123,6049,20,12100
26,1,0.2537249598525938,958,20,1920
27,1,0.3990128037602172,958,20,1920
27,0,0.5977064397669419,6049,20,12100
28,1,0.22996190323299753,958,20,1920
28,0,0.6722872892917189,6049,20,12100
29,0,0.1833058626577693,6049,20,12100
29,1,0.3064204508907225,958,20,1920
30,1,0.18576912392545034,958,20,1920
30,0,0.8793947975482339,6049,20,12100
31,1,0.3323412038572097,958,20,1920
31,0,0.1986143124381763,6049,20,12100
32,0,0.873607096329092,6049,20,12100
32,1,0.24487542686924782,958,20,1920
33,1,0.3499524604188893,958,20,1920
33,0,0.1637032038791692,6049,20,12100
34,0,0.997356362387112,6049,20,12100
34,1,0.19090709849873705,958,20,1920
35,1,0.44156149977256187,958,20,1920
35,0,0.15884140553559087,6049,20,12100
36,1,0.17441597193773792,958,20,1920
36,0,0.6641884227961398,6049,20,12100
37,0,0.590782043186542,6049,20,12100
37,1,0.4060646712415571,958,20,1920
38,0,0.47868409364182973,6049,20,12100
38,1,0.2032501203923686,958,20,1920
39,0,0.20084404847960355,6049,20,12100
39,1,0.4205547646190038,958,20,1920
40,1,0.16396402118074424,958,20,1920
40,0,0.9977965267559457,6049,20,12100
41,0,0.1266630017209397,6049,20,12100
41,1,0.4430636660716205,958,20,1920
42,0,0.6252228770487687,6049,20,12100
42,1,0.1560997852080544,958,20,1920
43,0,0.15698153603388684,6049,20,12100
43,1,0.3984340777200609,958,20,1920
44,1,0.16729505805321015,958,20,1920
44,0,0.8405932785451605,6049,20,12100
45,1,0.4653383801248291,958,20,1920
45,0,0.14394269468953555,6049,20,12100
46,0,0.8441871793614748,6049,20,12100
46,1,0.14854455239016473,958,20,1920
47,0,0.18277702102230642,6049,20,12100
47,1,0.40686344183156076,958,20,1920
