round,client_id,update_norm,n_samples,local_epochs
1,1,1.6318340085692116,958,20
1,0,3.4144845662354797,6049,20
2,1,1.7050724725357018,958,20
2,0,3.3833014123523095,6049,20
3,0,3.3114905468527915,6049,20
3,1,1.7177654225362256,958,20
4,1,1.7247865725885434,958,20
4,0,2.293764175085468,6049,20
5,1,1.6546993585461256,958,20
5,0,0.6616622256025154,6049,20
6,1,1.521087532546432,958,20
6,0,0.21518021042595828,6049,20
7,0,0.14607247275293747,6049,20
7,1,1.356881513852718,958,20
8,1,1.223293442408727,958,20
8,0,0.1205662729368288,6049,20
9,1,1.1128408677830195,958,20
9,0,0.10741483300891419,6049,20
10,1,1.009390078888513,958,20
10,0,0.102153007998825,6049,20
11,1,0.9106026207886853,958,20
11,0,0.0947513650998168,6049,20
12,1,0.8371444625657299,958,20
12,0,0.0888160235266981,6049,20
13,1,0.7659553660962118,958,20
13,0,0.08394677989034136,6049,20
14,0,0.08213890741942893,6049,20
14,1,0.7299682033819317,958,20
15,0,0.08527121039622058,6049,20
15,1,0.6664827390404774,958,20
16,0,0.07755645437053538,6049,20
16,1,0.6980816580546522,958,20
17,1,0.6166087922048431,958,20
17,0,0.08161357564217347,6049,20
18,0,0.07240290094377966,6049,20
18,1,0.5806758862952129,958,20
19,0,0.07243072512618183,6049,20
19,1,0.6083812304068378,958,20
20,0,0.07445463865134078,6049,20
20,1,0.5407868565411558,958,20
21,0,0.07157350730766701,6049,20
21,1,0.556446802550083,958,20
22,1,0.593458461964917,958,20
22,0,0.070851969877881,6049,20
23,1,0.5242473521747376,958,20
23,0,0.07146439911221288,6049,20
24,0,0.07071816850325763,6049,20
24,1,0.493251557415044,958,20
25,1,0.5241623058354613,958,20
25,0,0.06640083442302225,6049,20
26,1,0.4859398172203266,958,20
26,0,0.06887689722944898,6049,20
27,1,0.4767158175237818,958,20
27,0,0.06328909670935025,6049,20
28,0,0.06313880530578539,6049,20
28,1,0.4781322709334203,958,20
29,0,0.06505772452616071,6049,20
29,1,0.48642399393999275,958,20
30,0,0.0649194114369326,6049,20
30,1,0.5069954446821205,958,20
31,0,0.06400552307019422,6049,20
31,1,0.45927780054057366,958,20
32,0,0.06319236450263221,6049,20
32,1,0.4605783790045456,958,20
33,1,0.46969653882497003,958,20
33,0,0.06120321520101627,6049,20
34,0,0.05982776488024816,6049,20
34,1,0.44610027564939664,958,20
35,0,0.05915917597625436,6049,20
35,1,0.45707415696809944,958,20
36,1,0.45558454783080105,958,20
36,0,0.05903633985787207,6049,20
37,1,0.43813982025883025,958,20
37,0,0.057629015603405,6049,20
38,1,0.4463911338476422,958,20
38,0,0.05724717468011378,6049,20
39,0,0.05669866472474232,6049,20
39,1,0.4413718988205456,958,20
40,1,0.43114343195766464,958,20
40,0,0.05945696111889928,6049,20
41,1,0.42326571000472396,958,20
