round,client_id,update_norm,n_samples,local_epochs
1,1,2.1474217878721062,958,20
1,0,3.3548791330780787,6049,20
2,0,3.332344555167383,6049,20
2,1,2.171929448713938,958,20
3,0,3.3907966315536666,6049,20
3,1,2.1758348101337774,958,20
4,0,2.1619139143027297,6049,20
4,1,1.949629765381377,958,20
5,0,0.34023773409696334,6049,20
5,1,1.7824241183151006,958,20
6,0,0.19577841927000572,6049,20
6,1,1.5709139556671359,958,20
7,1,1.3957116434805512,958,20
7,0,0.14801023449583223,6049,20
8,1,1.2725069641559088,958,20
8,0,0.1271320838522637,6049,20
9,1,1.2104579440782677,958,20
9,0,0.11805111293472438,6049,20
10,0,0.11437490944054358,6049,20
10,1,1.1161604474649234,958,20
11,0,0.1112513791770262,6049,20
11,1,1.0437542781365527,958,20
12,1,0.9728005241316392,958,20
12,0,0.10659373535757151,6049,20
13,0,0.10544856664243475,6049,20
13,1,0.906461168290427,958,20
14,1,0.9262018420122614,958,20
14,0,0.10217818692728631,6049,20
15,1,0.7976998108027087,958,20
15,0,0.10276650826048979,6049,20
16,1,0.9181967418361885,958,20
16,0,0.09864886468720774,6049,20
17,1,0.8488804399547536,958,20
17,0,0.10175259597419327,6049,20
18,1,0.7435467197452952,958,20
18,0,0.09943688920383129,6049,20
19,1,0.8067616233451986,958,20
19,0,0.09242218661042513,6049,20
20,0,0.09451430726107378,6049,20
20,1,0.7303267479432572,958,20
21,0,0.0918159257243106,6049,20
21,1,0.7398351564952559,958,20
22,0,0.08957009787548074,6049,20
22,1,0.6633084249030324,958,20
23,1,0.7010148223873001,958,20
23,0,0.08430117113853713,6049,20
24,1,0.734968482599743,958,20
24,0,0.08605891843387121,6049,20
25,1,0.6714228875598571,958,20
25,0,0.0886258658714899,6049,20
26,0,0.08541959701584285,6049,20
26,1,0.698472235157868,958,20
27,1,0.6847137699159144,958,20
27,0,0.08725623334645354,6049,20
28,0,0.08713793973162688,6049,20
28,1,0.6866174584540821,958,20
29,0,0.08604194776805976,6049,20
29,1,0.6362646156706985,958,20
30,1,0.6895010541206703,958,20
30,0,0.08256009071693372,6049,20
31,0,0.08356932255370308,6049,20
31,1,0.7147954570809973,958,20
32,1,0.6258995128330617,958,20
32,0,0.08560516589954627,6049,20
33,1,0.6959788285251357,958,20
33,0,0.08368244268765847,6049,20
34,1,0.7356192728737995,958,20
34,0,0.08694656457735457,6049,20
35,0,0.9838279736156882,6049,20
35,1,0.6914101991787827,958,20
36,1,0.6677771242310743,958,20
36,0,0.08626879481568848,6049,20
37,1,0.7177150129781102,958,20
37,0,0.07583365792526456,6049,20
38,1,0.8510389431372806,958,20
38,0,0.08392165355533139,6049,20
39,1,0.6269899441368049,958,20
39,0,0.09434900166643523,6049,20
40,1,0.6910075534996647,958,20
40,0,0.07890965704083086,6049,20
41,1,0.7852620289523363,958,20
41,0,0.08562458129234675,6049,20
42,0,1.0297139140431577,6049,20
42,1,0.5836954328797117,958,20
43,0,0.07587108963414171,6049,20
43,1,0.7123563038911891,958,20
44,1,0.6560158148943636,958,20
44,0,0.08058947848358188,6049,20
45,1,0.6612586056164053,958,20
45,0,0.08063743572535427,6049,20
46,0,0.079505829948662,6049,20
46,1,0.7135969063968391,958,20
47,1,0.6747835240067808,958,20
47,0,0.08737730912060677,6049,20
48,0,0.08741968458445129,6049,20
48,1,0.6322706767583709,958,20
49,1,0.7431316561281813,958,20
49,0,0.07861421330149708,6049,20
50,0,0.08999705369557252,6049,20
50,1,0.7285018149934506,958,20
51,0,0.09338191916577149,6049,20
51,1,0.6672344442739248,958,20
52,1,0.6892533202221032,958,20
52,0,0.09099824502150067,6049,20
53,1,0.7230961552656499,958,20
53,0,0.0842220714138406,6049,20
54,1,0.6843985305144508,958,20
54,0,0.08929741703791211,6049,20
55,0,0.08916895840075852,6049,20
55,1,0.5800131330426045,958,20
56,1,0.7038092597062461,958,20
56,0,0.07411316322598419,6049,20
57,1,0.6030400993786248,958,20
57,0,0.09144086145750256,6049,20
58,0,0.08091149685831843,6049,20
58,1,0.5967170267619262,958,20
59,0,0.08244377025741907,6049,20
59,1,0.5838173640784015,958,20
60,1,0.7379608205239871,958,20
60,0,0.07509062606856214,6049,20
61,0,0.087257938320885,6049,20
61,1,0.663953973900183,958,20
62,0,0.08328329071892838,6049,20
62,1,0.5971913962469774,958,20
63,0,0.08047338607311581,6049,20
63,1,0.6713589740981936,958,20
64,0,0.08779671170886663,6049,20
64,1,0.6483179249982838,958,20
65,1,0.6508620593520039,958,20
65,0,0.0832815018575603,6049,20
66,1,0.5737587330343928,958,20
66,0,0.09661211595037185,6049,20
67,0,0.07035757894498292,6049,20
67,1,0.8548184123895703,958,20
68,0,0.10028157839581123,6049,20
68,1,0.6183198781621663,958,20
69,0,0.0825199131397899,6049,20
69,1,0.7948032018228138,958,20
70,1,0.47258809934102985,958,20
70,0,0.09776477389915418,6049,20
71,0,0.07182920581082562,6049,20
71,1,0.9019735648078758,958,20
72,1,0.47628879347421127,958,20
72,0,1.0218093998459397,6049,20
73,1,0.7490713262345543,958,20
73,0,0.061735381793543945,6049,20
74,0,0.08752070832251559,6049,20
74,1,0.7866630765921039,958,20
75,0,0.08831689041985513,6049,20
75,1,0.658199018427681,958,20
76,0,0.08605728805956991,6049,20
76,1,0.6250597160462202,958,20
77,1,0.8573570610955327,958,20
77,0,0.08181860451427356,6049,20
78,0,0.42277217727233224,6049,20
78,1,0.5823405160040285,958,20
79,0,0.07974758111538541,6049,20
79,1,0.6185306030121481,958,20
80,1,0.641474874356961,958,20
80,0,0.07513394094655845,6049,20
81,0,0.07812250047584536,6049,20
81,1,0.6581408637006901,958,20
82,0,0.08620148308567793,6049,20
82,1,0.5929589909810379,958,20
83,0,0.07758875812280751,6049,20
83,1,0.7823029459846449,958,20
84,1,0.5355052580098145,958,20
84,0,0.30824507344465674,6049,20
85,0,0.08171446307055691,6049,20
85,1,0.7243966269759604,958,20
86,1,0.6664106558077642,958,20
86,0,0.09563578586960818,6049,20
87,1,0.7202816082491142,958,20
87,0,0.07893147848144692,6049,20
88,0,0.09589065245352384,6049,20
88,1,0.61490692549192,958,20
89,0,0.08325327798721258,6049,20
89,1,0.5971642615225463,958,20
90,1,0.7842800650823948,958,20
90,0,0.07907660736792432,6049,20
91,1,0.6785162591462006,958,20
91,0,0.09362714016790803,6049,20
92,1,0.6543784882254692,958,20
92,0,0.09409129796909678,6049,20
93,1,0.6355310336941585,958,20
93,0,0.08105289004463788,6049,20
94,0,0.07451940903262681,6049,20
94,1,0.7225175850959101,958,20
95,1,0.6133852369327023,958,20
95,0,0.08849797790143403,6049,20
96,1,0.7267756184629199,958,20
96,0,0.07329068490062741,6049,20
97,1,0.40579456090196553,958,20
97,0,0.3963020501220194,6049,20
98,1,0.8177639160888244,958,20
98,0,0.0593407871293246,6049,20
99,1,0.5094824378816006,958,20
99,0,0.44774836536673823,6049,20
100,1,0.6346136129698773,958,20
100,0,0.07199862418589331,6049,20
101,1,0.7041995721120341,958,20
101,0,0.08597457012510097,6049,20
102,1,0.5776842475247055,958,20
102,0,0.0882133661066483,6049,20
103,0,0.07389685863326582,6049,20
103,1,0.7139809197247817,958,20
104,0,0.09716644902818805,6049,20
104,1,0.5514630015686502,958,20
105,1,0.675877914392217,958,20
105,0,0.07369309390104611,6049,20
106,1,0.6215925897141888,958,20
106,0,0.08468855502784482,6049,20
107,0,0.07667121409150453,6049,20
107,1,0.8483319123022167,958,20
108,1,0.31857834346462144,958,20
108,0,0.37410170502319207,6049,20
109,0,0.0568586955647782,6049,20
109,1,0.7615258578348082,958,20
110,1,0.5932317008050372,958,20
110,0,0.2540744839798284,6049,20
111,0,0.0705541957738461,6049,20
111,1,0.7489645790296843,958,20
112,1,0.6969906514213688,958,20
112,0,0.09191842084846019,6049,20
113,1,0.667449118613541,958,20
113,0,0.08793304562163862,6049,20
114,0,0.09139092205728562,6049,20
114,1,0.5462276213554527,958,20
115,0,0.07764193529790463,6049,20
115,1,0.6216665264397792,958,20
116,1,0.7475267026808471,958,20
116,0,0.08074633637771936,6049,20
117,1,0.39716858576147396,958,20
117,0,0.25464765097131187,6049,20
