round,client_id,update_norm,n_samples,local_epochs,tau
1,1,3.4788182176742213,2102,20,4220
1,0,4.5040477269589125,4905,20,9820
2,0,4.6556338271792646,4905,20,9820
2,1,3.016744110222213,2102,20,4220
3,0,4.967477495924916,4905,20,9820
3,1,3.2665552725414018,2102,20,4220
4,0,3.239616083585903,4905,20,9820
4,1,2.596990119778484,2102,20,4220
5,0,2.3781578311553506,4905,20,9820
5,1,2.0053863183687657,2102,20,4220
6,1,1.3530057232468804,2102,20,4220
6,0,1.7071930284690253,4905,20,9820
7,1,1.3304090900949817,2102,20,4220
7,0,1.349411612885662,4905,20,9820
8,1,0.8598004151653266,2102,20,4220
8,0,1.456326532272628,4905,20,9820
9,1,0.973039447708936,2102,20,4220
9,0,0.950317771373237,4905,20,9820
10,0,1.3034531049367906,4905,20,9820
10,1,0.8399863792797924,2102,20,4220
11,0,1.0832226980887774,4905,20,9820
11,1,0.9727414241901219,2102,20,4220
12,1,0.8363874065504214,2102,20,4220
12,0,1.0611389100064244,4905,20,9820
13,0,0.9633580303394528,4905,20,9820
13,1,1.0482707209452544,2102,20,4220
14,0,1.0529954339378262,4905,20,9820
14,1,0.8676625160774929,2102,20,4220
15,0,0.7861879463748137,4905,20,9820
15,1,0.7137714127539044,2102,20,4220
16,1,0.6710575803706397,2102,20,4220
16,0,0.8112062456647187,4905,20,9820
17,1,0.7048088770240838,2102,20,4220
17,0,0.9254549759775716,4905,20,9820
18,1,0.7116042802042302,2102,20,4220
18,0,1.0357461514695734,4905,20,9820
19,1,0.6931782134829075,2102,20,4220
19,0,0.8069759177666018,4905,20,9820
20,1,0.6752364905869487,2102,20,4220
20,0,0.8782398069584166,4905,20,9820
21,0,0.5259382155037235,4905,20,9820
21,1,0.6545832774944512,2102,20,4220
22,0,0.6056409548625442,4905,20,9820
22,1,0.6097318124193079,2102,20,4220
23,0,0.7138604412096471,4905,20,9820
23,1,0.6896471451061267,2102,20,4220
24,1,0.6966114055099951,2102,20,4220
24,0,0.8419067681646255,4905,20,9820
25,0,0.2863467716219912,4905,20,9820
25,1,0.5798428973568681,2102,20,4220
26,1,0.6649398215318826,2102,20,4220
26,0,0.9264169040823189,4905,20,9820
27,0,0.2509805082174678,4905,20,9820
27,1,0.5800561271055089,2102,20,4220
28,0,0.669855196476304,4905,20,9820
28,1,0.7290802100627707,2102,20,4220
29,0,0.39644956378739266,4905,20,9820
29,1,0.6919811085502392,2102,20,4220
30,1,0.22587656016396665,2102,20,4220
30,0,0.7270516211690928,4905,20,9820
31,0,0.22509706300591104,4905,20,9820
31,1,0.6842536226480143,2102,20,4220
32,1,0.3425330526686944,2102,20,4220
32,0,1.0143673879757171,4905,20,9820
33,1,0.5816924389795678,2102,20,4220
33,0,0.2533185317915917,4905,20,9820
34,1,0.28145723355805746,2102,20,4220
34,0,0.7869399379132428,4905,20,9820
35,1,0.6218265934153001,2102,20,4220
35,0,0.22913749808410677,4905,20,9820
36,0,0.7279033202551376,4905,20,9820
36,1,0.21315266745806782,2102,20,4220
37,1,0.7053192359044305,2102,20,4220
37,0,0.8050494284657124,4905,20,9820
38,1,0.24741446316889418,2102,20,4220
38,0,0.655979427769754,4905,20,9820
39,0,0.1875966461757382,4905,20,9820
39,1,0.30332970232050316,2102,20,4220
40,0,0.7488472855477367,4905,20,9820
40,1,0.7467692126339719,2102,20,4220
41,0,0.7253710707795206,4905,20,9820
41,1,0.24486608587008032,2102,20,4220
42,1,0.7257389207801769,2102,20,4220
