round,client_id,update_norm,n_samples,local_epochs
1,1,1.6786784170673057,2102,5
1,0,3.3784234376680167,4905,20
2,0,3.4066662002628685,4905,20
2,1,1.4702452289438044,2102,5
3,0,3.6377334349574806,4905,20
3,1,1.4219122234525376,2102,5
4,0,2.85735993008348,4905,20
4,1,1.4602243763918368,2102,5
5,0,1.04411965076122,4905,20
5,1,1.5518908706477808,2102,5
6,1,1.577488105329211,2102,5
6,0,0.7954985405608191,4905,20
7,1,1.556925265118501,2102,5
7,0,0.629656381373136,4905,20
8,1,1.598723260592307,2102,5
8,0,0.9913875697966708,4905,20
9,1,1.5800863649690966,2102,5
9,0,0.5391370512920611,4905,20
10,1,1.5125786316682497,2102,5
10,0,0.5240348869597553,4905,20
11,0,0.48301275864908655,4905,20
11,1,1.4712336115909577,2102,5
12,0,0.5471100665900047,4905,20
12,1,1.4807061156639028,2102,5
13,0,0.6149820182941669,4905,20
13,1,1.4222273394071847,2102,5
14,0,0.41190046977303124,4905,20
14,1,1.330863233990318,2102,5
15,0,0.5026675734885535,4905,20
15,1,1.2960819026126114,2102,5
16,0,0.5277276556300945,4905,20
16,1,1.066130683087862,2102,5
17,0,0.4925156580573786,4905,20
17,1,0.7669424767067524,2102,5
18,0,0.4037570687927323,4905,20
18,1,1.049337666208483,2102,5
19,1,1.1051311641486052,2102,5
19,0,0.16841524632981333,4905,20
20,1,0.783158042832575,2102,5
20,0,0.5582446837530097,4905,20
21,0,0.5467837455271936,4905,20
21,1,0.9668812916266133,2102,5
22,1,0.6719806506045118,2102,5
22,0,0.15528817056832633,4905,20
23,1,0.6024595430249416,2102,5
23,0,0.3526159172886772,4905,20
24,1,1.087566026080021,2102,5
24,0,0.13738575243893275,4905,20
25,0,0.5784705613139931,4905,20
25,1,0.4745044463029616,2102,5
26,1,0.5790634045168044,2102,5
26,0,0.13182481393659656,4905,20
27,0,0.13234858308675804,4905,20
27,1,0.777022289042969,2102,5
28,0,0.13806643896329637,4905,20
28,1,0.600631593627434,2102,5
29,1,0.6542589250287582,2102,5
29,0,0.13277376762306017,4905,20
30,1,0.3035875725237297,2102,5
30,0,0.1319628111251403,4905,20
31,1,0.5553904027147177,2102,5
31,0,0.11708341442533472,4905,20
32,1,0.7871726861413402,2102,5
32,0,0.12194259768462028,4905,20
33,1,0.7310844441082254,2102,5
33,0,0.6145884901456364,4905,20
34,0,0.12138506262319448,4905,20
34,1,0.5911377924100208,2102,5
35,1,0.5242399982062761,2102,5
35,0,0.7073378649137496,4905,20
36,1,0.5494769304847457,2102,5
36,0,0.12136291498453518,4905,20
37,0,0.11383150812236117,4905,20
37,1,0.6226632571763303,2102,5
38,0,0.30897513461421927,4905,20
38,1,0.5347590170418827,2102,5
39,0,0.11323174578787085,4905,20
39,1,0.7122004012367743,2102,5
40,1,0.5109826048651754,2102,5
40,0,0.11905467896110618,4905,20
41,0,0.11834758947116227,4905,20
41,1,0.5144947352963651,2102,5
42,1,0.6437227828381376,2102,5
42,0,0.12253850244511996,4905,20
43,0,0.11572093568831915,4905,20
43,1,0.6359501805656448,2102,5
44,0,0.3773801320493543,4905,20
44,1,0.5001564607264721,2102,5
45,0,0.1053480702730943,4905,20
45,1,0.5642339806867533,2102,5
46,0,0.10849724001046854,4905,20
46,1,0.5589294008931156,2102,5
47,1,0.359086786269716,2102,5
47,0,0.11409753217302611,4905,20
48,0,0.10133749932519555,4905,20
48,1,0.41674193585017527,2102,5
49,1,0.24107461001382935,2102,5
49,0,0.5331393655460406,4905,20
50,1,0.5697090610739218,2102,5
50,0,0.09186382981352861,4905,20
51,1,0.5201958057676542,2102,5
51,0,0.5346317680524139,4905,20
52,1,0.5441066099772797,2102,5
52,0,0.0999322512864233,4905,20
53,1,0.54819008884068,2102,5
53,0,0.10198552126140113,4905,20
54,0,0.29573952537071124,4905,20
54,1,0.24164373232019898,2102,5
55,0,0.08930004779971604,4905,20
55,1,0.6784188970145149,2102,5
56,0,0.10292173413186008,4905,20
56,1,0.4426310310149892,2102,5
57,0,0.4655159671392213,4905,20
57,1,0.5184064753782038,2102,5
58,1,0.5770477467035319,2102,5
58,0,0.09522594068530543,4905,20
59,0,0.09849110448024562,4905,20
59,1,0.5119853994121727,2102,5
60,0,0.4029395200583597,4905,20
60,1,0.508786281955316,2102,5
61,1,0.6565342250277396,2102,5
61,0,0.09528137204759282,4905,20
62,0,0.11432027068285404,4905,20
62,1,0.3429286238275042,2102,5
63,1,0.6106968392053989,2102,5
63,0,0.11295166980941324,4905,20
64,0,0.12535043197011342,4905,20
64,1,0.32538643471176365,2102,5
65,0,0.11379327342763296,4905,20
65,1,0.2509346321053488,2102,5
66,0,0.08878834667218218,4905,20
66,1,0.23971754004133716,2102,5
67,0,0.08573789232818753,4905,20
67,1,0.29872869547087355,2102,5
68,1,0.5586242607112415,2102,5
68,0,0.08590157330163105,4905,20
69,1,0.4826937954912094,2102,5
69,0,0.09649393936968555,4905,20
70,0,0.5694937437354787,4905,20
70,1,0.49260472499102637,2102,5
71,0,0.09367222687405194,4905,20
71,1,0.5142143083572459,2102,5
72,0,0.09308784131546917,4905,20
72,1,0.23533706978600438,2102,5
73,0,0.08606524604155287,4905,20
73,1,0.4735847091048996,2102,5
74,0,0.09218458859128106,4905,20
74,1,0.21713566771836418,2102,5
75,1,0.6535133852755984,2102,5
75,0,0.08400439618501848,4905,20
76,1,0.5765910635863762,2102,5
76,0,0.09592252980243224,4905,20
77,0,0.09984179387050829,4905,20
77,1,0.4812918055695199,2102,5
78,0,0.41422764836351594,4905,20
78,1,0.7026033273063252,2102,5
79,1,0.5342545993211217,2102,5
79,0,0.09635489387699452,4905,20
80,1,0.23531859218446358,2102,5
80,0,0.10627002684591569,4905,20
81,1,0.6472767984469946,2102,5
81,0,0.08805725711700418,4905,20
82,0,0.10443348868220896,4905,20
82,1,0.21909951553987478,2102,5
83,0,0.08503330293039721,4905,20
83,1,0.2562717049325266,2102,5
84,1,0.9001481683601558,2102,5
84,0,0.08193406164628873,4905,20
85,0,0.09545367171960788,4905,20
85,1,0.28534966388328287,2102,5
86,1,0.583934749289131,2102,5
86,0,0.08782753364248749,4905,20
87,1,0.23292199153040383,2102,5
87,0,0.4278947166708218,4905,20
88,1,0.6220147555947936,2102,5
88,0,0.08946647659989121,4905,20
89,0,0.33842858485375227,4905,20
89,1,0.20874284249127803,2102,5
90,1,0.4963468666966757,2102,5
90,0,0.07646962627990762,4905,20
91,0,0.09815910143547643,4905,20
91,1,0.3692987194064765,2102,5
92,1,0.2265907850916895,2102,5
92,0,0.1038683005840044,4905,20
93,0,0.07806578711098738,4905,20
