round,client_id,update_norm,n_samples,local_epochs,tau
1,1,1.2362684308990808,958,5,480
1,0,4.701872371893289,6049,20,12100
2,1,0.9530509358781519,958,5,480
2,0,5.005684266418889,6049,20,12100
3,1,1.1947569599810703,958,5,480
3,0,4.973522747293127,6049,20,12100
4,1,1.0432436034391224,958,5,480
4,0,3.639428365503499,6049,20,12100
5,0,2.467886572491418,6049,20,12100
5,1,1.1936129710366867,958,5,480
6,1,1.1092176991003568,958,5,480
6,0,2.6439638221578656,6049,20,12100
7,1,1.2753908643186915,958,5,480
7,0,2.527974417354064,6049,20,12100
8,1,1.0926947304976093,958,5,480
8,0,2.949697442968236,6049,20,12100
9,1,1.1099735985818302,958,5,480
9,0,2.5124898367035744,6049,20,12100
10,1,1.0823919717253017,958,5,480
10,0,2.5853794268729735,6049,20,12100
11,0,2.4171217240182163,6049,20,12100
11,1,1.1420989994810269,958,5,480
12,0,2.517435687020324,6049,20,12100
12,1,1.1373694995875523,958,5,480
13,1,1.176509986242549,958,5,480
13,0,2.5844031413736794,6049,20,12100
14,1,1.2137113007949676,958,5,480
14,0,2.6835771000503894,6049,20,12100
15,0,2.2898533500055738,6049,20,12100
15,1,1.099012466652373,958,5,480
16,1,1.158092121588709,958,5,480
16,0,2.179625586671603,6049,20,12100
17,1,1.139547648070914,958,5,480
17,0,2.4748175189937602,6049,20,12100
18,1,1.27955394007214,958,5,480
18,0,2.2137408241109284,6049,20,12100
19,0,2.536899696483469,6049,20,12100
19,1,1.1597668173864588,958,5,480
20,0,2.1079482932845712,6049,20,12100
20,1,1.1222149014069875,958,5,480
21,0,2.1918355157645095,6049,20,12100
21,1,1.335625512449702,958,5,480
22,0,2.021485643194588,6049,20,12100
22,1,0.9953498465454497,958,5,480
23,0,2.153166289488168,6049,20,12100
23,1,1.1045687688170076,958,5,480
24,0,2.0883587176807126,6049,20,12100
24,1,1.3837468774909776,958,5,480
25,0,2.5775602958249233,6049,20,12100
25,1,1.089854981598681,958,5,480
26,0,2.103499662137061,6049,20,12100
26,1,1.2009887295302486,958,5,480
27,1,1.218041029778663,958,5,480
27,0,2.2311872438133307,6049,20,12100
28,1,1.2583263011880332,958,5,480
28,0,2.2356347267985286,6049,20,12100
29,0,2.1672836487148928,6049,20,12100
29,1,0.8970948993495422,958,5,480
30,1,0.7413161483094607,958,5,480
30,0,1.6721982284116372,6049,20,12100
31,0,1.4536988188556768,6049,20,12100
31,1,1.0049547145134334,958,5,480
32,1,0.9677293378976314,958,5,480
32,0,2.447716284691007,6049,20,12100
33,0,1.9104371865373135,6049,20,12100
33,1,1.1010508760325766,958,5,480
34,0,2.2048723411608413,6049,20,12100
34,1,0.9463504565351039,958,5,480
35,1,1.1066798937545468,958,5,480
35,0,1.6661471695302494,6049,20,12100
36,1,1.0090246743728233,958,5,480
36,0,2.1362675018087214,6049,20,12100
37,0,1.9985932888667486,6049,20,12100
37,1,1.0924023899672421,958,5,480
38,1,0.8805352776055021,958,5,480
38,0,1.9123063508399343,6049,20,12100
39,0,1.885001647608197,6049,20,12100
39,1,1.0250806442598837,958,5,480
40,0,1.8041133436848298,6049,20,12100
40,1,1.1347785333131972,958,5,480
41,0,1.8944507261287706,6049,20,12100
41,1,0.9554861332498938,958,5,480
42,1,0.7392430707868106,958,5,480
42,0,1.8099000524297406,6049,20,12100
43,0,1.416104852739771,6049,20,12100
43,1,0.8764370555641153,958,5,480
44,1,1.217124158086476,958,5,480
44,0,1.9779610228405342,6049,20,12100
45,1,1.4790774549180794,958,5,480
45,0,2.3977710164723334,6049,20,12100
46,0,1.8186185623723587,6049,20,12100
46,1,1.370402258745412,958,5,480
47,1,0.8058933653739255,958,5,480
47,0,2.606211227088789,6049,20,12100
48,1,1.695998998277828,958,5,480
48,0,1.593111071889444,6049,20,12100
49,1,1.4338093117631934,958,5,480
49,0,2.8314654197717535,6049,20,12100
50,0,2.7180404429662546,6049,20,12100
50,1,0.8467016483860267,958,5,480
51,0,1.5753603874065147,6049,20,12100
51,1,1.0700289719366436,958,5,480
52,1,1.1559753067005802,958,5,480
52,0,2.299757562506144,6049,20,12100
53,1,1.2295129627899548,958,5,480
53,0,2.2171696496264097,6049,20,12100
54,1,1.1259057619519777,958,5,480
54,0,2.0361329488105944,6049,20,12100
55,1,0.9886886103741636,958,5,480
55,0,1.8512122250690892,6049,20,12100
56,1,0.9938517342179916,958,5,480
56,0,1.8958669036782947,6049,20,12100
57,1,1.2583880407719887,958,5,480
57,0,1.694042803549259,6049,20,12100
58,0,2.8097887462847564,6049,20,12100
58,1,0.9306119497937219,958,5,480
59,0,1.4478093658806628,6049,20,12100
59,1,1.1257642812587647,958,5,480
60,1,1.1705894576018743,958,5,480
60,0,2.0764864742245694,6049,20,12100
61,0,1.7476222900764726,6049,20,12100
61,1,1.2237791008324461,958,5,480
62,1,1.4279845599036334,958,5,480
62,0,2.228271276822937,6049,20,12100
63,1,1.2503763438496396,958,5,480
63,0,2.2511897510773538,6049,20,12100
64,0,2.1464006963103617,6049,20,12100
64,1,1.5186412289154823,958,5,480
65,0,1.9801813776233643,6049,20,12100
65,1,1.4601981843997358,958,5,480
66,0,2.347054769542544,6049,20,12100
66,1,0.9415646457159946,958,5,480
67,0,1.6923595085725711,6049,20,12100
67,1,0.6865416671140839,958,5,480
68,1,0.5213250160082381,958,5,480
68,0,1.5553445849608576,6049,20,12100
69,0,1.1993806513522516,6049,20,12100
69,1,0.833135221910863,958,5,480
70,0,2.3056724894087046,6049,20,12100
70,1,0.9830743355197614,958,5,480
71,1,0.8978496428467939,958,5,480
71,0,2.051751379061894,6049,20,12100
72,0,1.7864232039761663,6049,20,12100
72,1,0.8432290750565692,958,5,480
73,1,0.9813192770545203,958,5,480
73,0,1.6414922103474048,6049,20,12100
74,0,1.6222761890256148,6049,20,12100
74,1,1.478484656330655,958,5,480
75,0,3.108780608934085,6049,20,12100
75,1,0.769617432695579,958,5,480
76,1,1.1708223184409,958,5,480
76,0,1.401051172827841,6049,20,12100
77,0,2.7164274460423976,6049,20,12100
77,1,1.0954182648101691,958,5,480
78,0,1.3430748590369583,6049,20,12100
78,1,0.8863522657321578,958,5,480
79,0,2.3711628861333303,6049,20,12100
79,1,0.56726353756422,958,5,480
80,0,0.9991704122195695,6049,20,12100
80,1,0.8174959629596237,958,5,480
81,0,1.9807731396139765,6049,20,12100
81,1,0.6454574609737228,958,5,480
82,0,1.3434803652191332,6049,20,12100
82,1,1.107390069115973,958,5,480
83,1,0.8620122916791422,958,5,480
83,0,2.6228782579873404,6049,20,12100
84,0,1.633465734673228,6049,20,12100
84,1,0.8875049562538673,958,5,480
85,1,1.2821163881237314,958,5,480
85,0,1.9687603569103613,6049,20,12100
86,1,1.4304000393073546,958,5,480
86,0,2.430229694651311,6049,20,12100
87,1,1.209271834799079,958,5,480
87,0,1.6444794362368125,6049,20,12100
88,0,3.1632157752177874,6049,20,12100
88,1,0.8212774708453364,958,5,480
89,1,1.4591811302286815,958,5,480
89,0,1.5332254992692194,6049,20,12100
90,1,1.0632145473362604,958,5,480
90,0,2.923869873587783,6049,20,12100
91,1,1.181422526446532,958,5,480
91,0,1.8805329753713815,6049,20,12100
92,0,1.9764052249546853,6049,20,12100
92,1,0.8980193591401573,958,5,480
93,0,1.7278593435654643,6049,20,12100
93,1,1.167587606025626,958,5,480
94,1,1.2382853822983269,958,5,480
94,0,2.2060762287601996,6049,20,12100
95,0,2.155932875800573,6049,20,12100
95,1,0.8493003453780857,958,5,480
96,1,0.7685681398276112,958,5,480
96,0,1.557819082006532,6049,20,12100
97,1,1.1523528442495454,958,5,480
97,0,1.8031440827375105,6049,20,12100
98,1,1.4311614985056589,958,5,480
98,0,2.4820830216811958,6049,20,12100
99,1,1.5044487405822538,958,5,480
99,0,1.9154843087290307,6049,20,12100
100,1,1.09854418245865,958,5,480
100,0,3.7151528081926783,6049,20,12100
101,0,2.298407018071292,6049,20,12100
101,1,1.2900483448803228,958,5,480
102,1,1.9534162988897446,958,5,480
102,0,2.189756692078766,6049,20,12100
103,1,1.1086441710977388,958,5,480
103,0,2.9458341365374867,6049,20,12100
104,1,1.0004713469346629,958,5,480
104,0,1.5306318769754177,6049,20,12100
105,0,2.374303142556559,6049,20,12100
105,1,0.8216907551010426,958,5,480
106,0,1.554385743270491,6049,20,12100
106,1,1.1492301962388405,958,5,480
107,1,0.9724818681606625,958,5,480
107,0,2.7202235378687942,6049,20,12100
108,0,1.9411026478954692,6049,20,12100
108,1,1.3350436432710315,958,5,480
109,0,2.032582426658492,6049,20,12100
109,1,1.3868613174675737,958,5,480
110,0,2.25482017643155,6049,20,12100
110,1,0.7733108190120721,958,5,480
111,0,1.4728378767026133,6049,20,12100
111,1,1.0820607252021388,958,5,480
112,0,2.0999630741102697,6049,20,12100
112,1,1.4559215190512043,958,5,480
113,0,2.630518579400118,6049,20,12100
113,1,1.476633144618993,958,5,480
114,1,1.2726885965687893,958,5,480
114,0,2.2806012871823254,6049,20,12100
115,1,1.465892264114076,958,5,480
115,0,1.8148240192900476,6049,20,12100
116,1,1.7266665252554623,958,5,480
116,0,3.2625572728515553,6049,20,12100
117,0,1.8496011449055656,6049,20,12100
117,1,1.4347072310395013,958,5,480
118,1,0.4316774394076411,958,5,480
118,0,1.9297307790158484,6049,20,12100
119,1,0.7378235163254271,958,5,480
119,0,0.9688437165437397,6049,20,12100
120,1,1.0241810684133243,958,5,480
120,0,2.4424799950368388,6049,20,12100
121,0,1.5699118269994816,6049,20,12100
121,1,1.3421815669367565,958,5,480
122,0,2.8203156439467287,6049,20,12100
122,1,1.6801667887228142,958,5,480
123,0,2.560793949005266,6049,20,12100
