round,client_id,update_norm,n_samples,local_epochs
1,1,0.5513122146960492,958,8
1,0,0.4902384086103314,6049,19
2,0,0.25201387040231654,6049,5
2,1,0.5394107566903151,958,6
3,1,0.5579393600176723,958,14
3,0,0.22948010029969929,6049,9
4,0,0.19508107234613867,6049,17
4,1,0.5203461693468532,958,6
5,1,0.5033834152738623,958,4
5,0,0.2011680137380107,6049,19
6,1,0.49602446998373717,958,9
6,0,0.2056244375968958,6049,18
7,0,0.18427134482773597,6049,6
7,1,0.48975322710787145,958,13
8,1,0.47323861282092916,958,14
8,0,0.1848990579427974,6049,4
9,1,0.45443681874765773,958,18
9,0,0.18830602241193903,6049,7
10,0,0.17694147272389116,6049,15
10,1,0.42401945364708676,958,2
11,0,0.16959327038343808,6049,16
11,1,0.4156875186177639,958,2
12,1,0.42221539038941147,958,3
12,0,0.18050632691009375,6049,19
13,1,0.4124739011289309,958,18
13,0,0.17242022339103213,6049,12
14,0,0.1648768558478062,6049,4
14,1,0.3961570472763095,958,14
15,1,0.3682041505319986,958,2
15,0,0.17526122334363262,6049,14
16,1,0.3910173593109629,958,3
16,0,0.16691300149090196,6049,14
17,0,0.1648417747590304,6049,12
17,1,0.35073662566269187,958,1
18,0,0.15999006476053193,6049,10
18,1,0.3731366194094267,958,9
19,1,0.35592181938530165,958,14
19,0,0.19392071521633414,6049,5
20,0,0.16441352449257216,6049,11
20,1,0.381899894452237,958,15
21,0,0.18958291651184941,6049,9
21,1,0.37520180223219796,958,5
22,0,0.17721880304753926,6049,18
22,1,0.3690493290805474,958,3
23,0,0.17171847176844418,6049,10
23,1,0.3608874394554457,958,10
24,1,0.3422836643441098,958,4
24,0,0.17706106012541004,6049,16
25,1,0.34299676385716016,958,14
25,0,0.1840951295153183,6049,2
26,1,0.3384709576871018,958,10
26,0,0.17321199561726638,6049,8
27,0,0.18275504841308998,6049,8
27,1,0.3328751400323881,958,5
28,1,0.3422568376301435,958,13
28,0,0.16932329700426285,6049,12
29,1,0.3468161990392853,958,18
29,0,0.171661155709322,6049,1
30,1,0.3160023476587934,958,6
30,0,0.18133548079961015,6049,14
31,0,0.1773110242513397,6049,10
31,1,0.3109243901743278,958,2
32,1,0.32909555492031295,958,18
32,0,0.18780757132277257,6049,19
33,1,0.32881438069446794,958,11
33,0,0.1939788205176593,6049,16
34,0,0.18439859695847644,6049,11
34,1,0.3383117176920855,958,13
35,0,0.17566119526144486,6049,17
35,1,0.34246748647271624,958,19
36,1,0.303818143784484,958,13
36,0,0.17379294342085447,6049,1
37,0,0.17943343244130455,6049,2
37,1,0.30322958925341825,958,3
38,1,0.31850009241591026,958,11
38,0,0.1811270319640361,6049,9
39,0,0.17631449294660914,6049,18
39,1,0.3180843986165432,958,11
40,0,0.17743564866064332,6049,16
40,1,0.3121314389435166,958,8
41,1,0.3153669565188575,958,7
41,0,0.1907027661166901,6049,9
42,1,0.3029331678936722,958,8
42,0,0.18467830856106834,6049,8
43,1,0.3307049175764839,958,16
43,0,0.17782141545479124,6049,19
44,1,0.2995505884626072,958,12
44,0,0.1736426827632479,6049,2
45,0,0.1633177134147111,6049,12
45,1,0.28898835403244005,958,5
46,0,0.18370152908715304,6049,14
46,1,0.30124129972106417,958,17
47,0,0.16816373751589117,6049,18
47,1,0.29932937414437094,958,19
48,0,0.1818177648737529,6049,3
48,1,0.29291250416553366,958,17
49,0,0.18076696607505624,6049,14
49,1,0.30184587166395566,958,9
50,1,0.2839309282524192,958,8
50,0,0.17932577589487167,6049,16
51,0,0.20627390780425187,6049,11
51,1,0.3024042906492482,958,19
52,0,0.19991362840694749,6049,5
52,1,0.34813802545603983,958,15
53,1,0.30520334894211276,958,5
53,0,0.21789523420122492,6049,17
54,0,0.21223051530658546,6049,11
54,1,0.29933389419138434,958,10
55,1,0.28706248661081346,958,3
55,0,0.1765192310638525,6049,12
56,0,0.17070971319147246,6049,19
56,1,0.31067146862827943,958,1
57,1,0.2937800601931269,958,10
57,0,0.2407622983815657,6049,12
58,0,0.22478121068087858,6049,9
58,1,0.2899513475640808,958,11
59,1,0.2737703109986837,958,2
59,0,0.19138083085365123,6049,13
60,1,0.2923751639209824,958,17
60,0,0.1772640811369826,6049,19
61,1,0.30441159691385433,958,1
61,0,0.20383534287455715,6049,13
62,1,0.2899554539484042,958,19
62,0,0.1830550600083582,6049,15
63,1,0.29185712356756033,958,9
63,0,0.21268597453106453,6049,12
64,1,0.29524460670852304,958,12
64,0,0.19453026772940385,6049,17
65,0,0.19962317955386524,6049,14
65,1,0.28595772152389604,958,13
66,1,0.2660925387445319,958,5
66,0,0.2151171393305894,6049,14
67,0,0.21602882037470758,6049,19
67,1,0.31001288758958717,958,5
68,1,0.2801089257505682,958,5
68,0,0.18951860453926347,6049,11
69,1,0.28091693697346737,958,18
69,0,0.22342842165729493,6049,11
70,1,0.2782340817634722,958,13
70,0,0.19137685731170104,6049,11
71,1,0.2910877953787473,958,6
71,0,0.1993430848005995,6049,11
72,0,0.1938805593804398,6049,13
72,1,0.28993123911496743,958,3
73,0,0.19061159911236636,6049,9
73,1,0.2826842500477539,958,5
74,0,0.1839128830346363,6049,12
74,1,0.3048351361822597,958,6
75,0,0.20698204887668345,6049,5
75,1,0.27933929627293513,958,10
76,1,0.24978262534947462,958,9
76,0,0.21247507931453846,6049,14
77,0,0.18244708890198558,6049,10
77,1,0.27592276365475354,958,3
78,0,0.21676467152457823,6049,18
78,1,0.28793542531671235,958,1
79,1,0.26993234585770914,958,11
79,0,0.19904746534240964,6049,6
80,0,0.20372947861450894,6049,2
80,1,0.2845843602724203,958,3
81,0,0.1841573284576796,6049,14
81,1,0.28168712611202407,958,5
82,0,0.20388350333582572,6049,19
82,1,0.2785116238864519,958,10
83,1,0.27346925230627794,958,3
83,0,0.21013263001641141,6049,4
84,1,0.2751340547759659,958,12
84,0,0.21069525174533937,6049,7
85,0,0.19912011416058245,6049,16
85,1,0.271420180278822,958,13
86,1,0.24980832548951742,958,9
86,0,0.20674975346287236,6049,19
87,1,0.25863262626300787,958,13
87,0,0.17407068422289698,6049,2
88,0,0.2066663702026514,6049,19
88,1,0.28405292506310775,958,6
89,1,0.33730859203560115,958,1
89,0,0.21194737617428164,6049,10
90,1,0.2749385332810543,958,4
90,0,0.18753661528934903,6049,9
91,1,0.26013177008972355,958,11
91,0,0.2013954115320314,6049,1
92,0,0.20727904639657935,6049,3
92,1,0.27657767583539916,958,6
93,1,0.30391740606950346,958,14
93,0,0.20947770913881558,6049,3
94,1,0.26838625900856034,958,14
94,0,0.1920946086420415,6049,4
95,1,0.2681068010332013,958,2
95,0,0.20536523695604028,6049,16
96,1,0.27691569409287564,958,10
96,0,0.20552872609540554,6049,14
97,1,0.2563587037605451,958,7
97,0,0.21833687575952299,6049,9
98,1,0.27125193271806675,958,7
98,0,0.23262588796674818,6049,12
99,1,0.2896993837722522,958,11
99,0,0.19001275214146715,6049,17
100,0,0.21101764493870243,6049,5
100,1,0.2801810278167142,958,15
101,1,0.29514767846244266,958,13
101,0,0.21677091252558411,6049,9
102,0,0.21723360983611809,6049,6
102,1,0.26667017513135416,958,15
103,0,0.22121808860978026,6049,19
103,1,0.26120941433686073,958,18
104,0,0.21271777196008315,6049,14
