round,client_id,update_norm,n_samples,local_epochs
1,0,1.1488197568106433,6049,20
1,1,2.043256287876694,958,20
2,0,0.876643138387239,6049,20
2,1,1.9036774574667579,958,20
3,0,0.8952603367980693,6049,20
3,1,1.635392385472092,958,20
4,0,0.7152798189772708,6049,20
4,1,1.5393477552108892,958,20
5,0,0.43772703298284793,6049,20
5,1,1.3501656392170667,958,20
6,1,1.188708311049834,958,20
6,0,0.28227602385582984,6049,20
7,0,0.17313221549061042,6049,20
7,1,1.225314578087467,958,20
8,1,1.0901260785663396,958,20
8,0,0.13931616298177288,6049,20
9,1,0.8606483545879671,958,20
9,0,0.23476653680174178,6049,20
10,1,0.9838375530823859,958,20
10,0,0.10826806267839417,6049,20
11,1,0.8655791451945332,958,20
11,0,0.10348663589416374,6049,20
12,0,0.09264481705666404,6049,20
12,1,0.8671659994888681,958,20
13,0,0.09240755520231916,6049,20
13,1,0.7076821624618995,958,20
14,0,0.08371024086479743,6049,20
14,1,0.7952365786465989,958,20
15,0,0.4130543471193846,6049,20
15,1,0.7381869285674079,958,20
16,1,0.6951674936150076,958,20
16,0,0.22009072192937895,6049,20
17,1,0.5993491253351654,958,20
17,0,0.08424836658517121,6049,20
18,1,0.7347938118035157,958,20
18,0,0.0720871110837354,6049,20
19,0,0.083514513524826,6049,20
19,1,0.6802038282929787,958,20
20,0,0.07449944618626603,6049,20
20,1,0.5248505416657185,958,20
21,1,0.5596383800319265,958,20
21,0,0.06846177079939418,6049,20
22,1,1.5496329581614128,958,20
22,0,0.06817592648150872,6049,20
23,1,0.895893186439816,958,20
23,0,0.2930634127496454,6049,20
24,0,0.08180435284485069,6049,20
24,1,0.6346823283328179,958,20
25,1,0.4551370169778742,958,20
25,0,0.0762890826367408,6049,20
26,0,0.0592178536468038,6049,20
26,1,0.4111516667413269,958,20
27,1,0.5348088667774045,958,20
27,0,0.05701331991406732,6049,20
28,0,0.06513636493683697,6049,20
28,1,0.556767386655264,958,20
29,1,0.5476245326967714,958,20
29,0,0.06544493318548318,6049,20
30,1,0.5884491292511859,958,20
30,0,0.06592577084040044,6049,20
31,0,0.0648940110667152,6049,20
31,1,0.5883154929395744,958,20
32,0,0.07044490318097392,6049,20
32,1,0.3847233294544846,958,20
33,1,0.7581853256552661,958,20
33,0,0.05330442997092145,6049,20
34,1,0.576236559725952,958,20
34,0,0.3549180370210264,6049,20
35,1,0.5118909729335603,958,20
35,0,0.07161805458307965,6049,20
36,0,0.055940942767646384,6049,20
36,1,0.475618623004293,958,20
37,0,0.05662691718869742,6049,20
37,1,0.5292330918974253,958,20
38,0,0.06274965951187932,6049,20
38,1,0.6869291393061463,958,20
39,1,0.46994200498688105,958,20
39,0,0.10220356690386122,6049,20
40,1,0.3611950417700412,958,20
40,0,0.06110041064370544,6049,20
41,0,0.05207411210873101,6049,20
41,1,0.4440711854897893,958,20
