round,client_id,update_norm,n_samples,local_epochs
1,0,4.6213647591723905,6049,20
1,1,2.959392486221292,958,20
2,0,4.343772344358714,6049,20
2,1,2.745650331173348,958,20
3,1,2.654246022809707,958,20
3,0,4.481167184884283,6049,20
4,1,2.521659198890279,958,20
4,0,3.4888246100615388,6049,20
5,0,2.5007187032241642,6049,20
5,1,2.3410756625537785,958,20
6,1,2.1745164479967634,958,20
6,0,2.2467886878811405,6049,20
7,0,1.0498581053505338,6049,20
7,1,2.0941335450986545,958,20
8,0,0.24402569113015954,6049,20
8,1,1.9243383096011202,958,20
9,0,0.16551006812101324,6049,20
9,1,1.6197255115214642,958,20
10,1,1.4873575604849432,958,20
10,0,0.14459736049559774,6049,20
11,1,1.467477487225401,958,20
11,0,0.12788766786817465,6049,20
12,0,0.12971556843812115,6049,20
12,1,1.277783496691926,958,20
13,1,1.3455458447982271,958,20
13,0,0.12193165237071732,6049,20
14,1,1.0704956324808332,958,20
14,0,0.1253391310396737,6049,20
15,0,0.110602977905829,6049,20
15,1,1.0729553015544262,958,20
16,0,0.11303788700225394,6049,20
16,1,0.9729017866706601,958,20
17,1,0.9261796695542819,958,20
17,0,0.1077100876944296,6049,20
18,1,1.0078783337659294,958,20
18,0,0.10924428607127806,6049,20
19,1,1.0137752136684564,958,20
19,0,0.10634345254655926,6049,20
20,0,0.10899826365646846,6049,20
20,1,0.8195678684225403,958,20
21,0,0.10149081168144974,6049,20
21,1,0.8932139169418376,958,20
22,0,0.10301949854678592,6049,20
22,1,0.9685898532011319,958,20
23,1,0.8808665166943359,958,20
23,0,0.09585966301639497,6049,20
24,1,0.731538131260195,958,20
24,0,0.09790454564466168,6049,20
25,0,1.8695132162711854,6049,20
25,1,0.7981937489157648,958,20
26,1,0.9628497870837655,958,20
26,0,0.094748710599806,6049,20
27,0,0.08863157193144532,6049,20
27,1,1.0638287494536025,958,20
28,1,0.9903678044747926,958,20
28,0,0.0961930579913098,6049,20
29,0,0.09322429333819271,6049,20
29,1,0.8737726388775516,958,20
30,1,0.8360060276160519,958,20
30,0,0.09136967739353397,6049,20
31,0,0.09189276954183724,6049,20
31,1,0.6670047763077782,958,20
32,1,0.9539102308372919,958,20
32,0,0.0865522997235516,6049,20
33,0,0.09147409017839397,6049,20
33,1,0.9348223801897666,958,20
34,0,0.08590242172211689,6049,20
34,1,0.904936897626364,958,20
35,0,0.08835880139582668,6049,20
35,1,0.8537015124222732,958,20
36,1,0.812302700827698,958,20
36,0,0.08761931929589495,6049,20
37,0,0.09422851547021859,6049,20
37,1,0.6767928705108834,958,20
38,0,0.08357667371092842,6049,20
38,1,0.807770053124153,958,20
39,1,0.6534537492281688,958,20
39,0,0.08255288376130168,6049,20
40,0,0.07887865033146282,6049,20
40,1,0.8805894594990374,958,20
41,0,0.09017869055455444,6049,20
41,1,0.5922320439530125,958,20
42,1,0.5751230810889703,958,20
42,0,0.0789494216181182,6049,20
43,0,0.07426244700204677,6049,20
43,1,1.132852237906324,958,20
44,1,0.5534845096913861,958,20
44,0,0.904721832095827,6049,20
45,1,0.7878850382022647,958,20
45,0,0.0707373129037625,6049,20
46,0,0.0743090984693624,6049,20
46,1,0.7089944054464198,958,20
47,1,0.7157812863539651,958,20
47,0,0.07654150052831735,6049,20
48,0,0.07698373244581264,6049,20
48,1,0.7515940013075605,958,20
49,1,0.7480371821471862,958,20
