seed,algorithm,mu,local_epochs,round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6,train_loss
456,fedprox,0.01,20,1,1.1417895389102393,0.732801595214357,0.37510740625494726,0.33175220528588645,0.4444444444444444,0.5135135135135135,0.48826291079812206,0.0,0.0,0.8760445682451253,0.0,0.45900673960139793
456,fedprox,0.01,20,2,1.3850299245933235,0.732801595214357,0.3421952364575315,0.30885815740469685,0.37623762376237624,0.37037037037037035,0.5355648535564853,0.0,0.0,0.8798342541436464,0.0,0.31438726184053767
456,fedprox,0.01,20,3,1.5582505560824544,0.7467597208374875,0.3682194854326002,0.34784823106510326,0.5,0.5689655172413793,0.49214659685863876,0.0,0.0,0.8738255033557047,0.0,0.1972914492763783
456,fedprox,0.01,20,4,1.627741530077051,0.748753738783649,0.37136497382399025,0.350692347113149,0.4745762711864407,0.546875,0.5581395348837209,0.0,0.0,0.8752556237218814,0.0,0.10299672283992557
456,fedprox,0.01,20,5,1.9358659243417284,0.7497507477567298,0.38224807978906344,0.3534218316396349,0.45569620253164556,0.5904761904761905,0.5470085470085471,0.0,0.0,0.8807718814610613,0.0,0.020736453677322082
456,fedprox,0.01,20,6,1.9355086438796099,0.7537387836490529,0.3938662430465709,0.35973301773888006,0.5,0.5818181818181818,0.5517241379310345,0.0,0.0,0.8845888044229441,0.0,0.012254784903706543
456,fedprox,0.01,20,7,1.9182301977220346,0.7507477567298105,0.38752968343132277,0.3559786045102565,0.46153846153846156,0.6055045871559633,0.5423728813559322,0.0,0.0,0.8824343015214384,0.0,0.009603652348954505
456,fedprox,0.01,20,8,1.8801052866286319,0.7557328015952144,0.38859419269255335,0.3605477235279953,0.47368421052631576,0.6055045871559633,0.5614035087719298,0.0,0.0,0.8832417582417582,0.0,0.007953184477192144
456,fedprox,0.01,20,9,1.77835370049044,0.7497507477567298,0.3868208294437802,0.3570936290312039,0.4594594594594595,0.6126126126126126,0.5485232067510548,0.0,0.0,0.8790601243953006,0.0,0.007729639387489952
456,fedprox,0.01,20,10,1.7423907971215746,0.7497507477567298,0.38079952834051195,0.3538234463588754,0.46153846153846156,0.5882352941176471,0.5462184873949579,0.0,0.0,0.8807718814610613,0.0,0.006402132126087359
456,fedprox,0.01,20,11,1.7400536175858108,0.7547357926221336,0.39091564173531385,0.358913182162411,0.4675324675324675,0.6017699115044248,0.5589519650655022,0.0,0.0,0.8841379310344828,0.0,0.004059941291140063
