round,client_id,update_norm,n_samples,local_epochs,tau
1,6,2.0727490876209616,673,20,440
1,3,3.8616137547075615,1094,20,700
1,5,4.194154536994433,1108,20,700
1,2,3.918913856787603,1095,20,700
1,0,3.801969162326091,964,20,620
1,1,3.6865861394727206,963,20,620
1,4,4.078479108026094,1110,20,700
2,6,0.1447388852200532,673,20,440
2,1,3.305434747110195,963,20,620
2,4,4.104756082051996,1110,20,700
2,3,3.4400582126178314,1094,20,700
2,0,3.3354205043531784,964,20,620
2,2,3.4661668661042064,1095,20,700
2,5,3.994195361220862,1108,20,700
3,6,0.5569267083654839,673,20,440
3,0,3.1996049900391563,964,20,620
3,1,3.1507943290480815,963,20,620
3,3,3.398309257620979,1094,20,700
3,2,3.3637159133465446,1095,20,700
3,4,3.5347699768448035,1110,20,700
3,5,3.457161078867522,1108,20,700
4,1,3.1617996144074056,963,20,620
4,5,3.490176706565303,1108,20,700
4,2,3.576778345243041,1095,20,700
4,3,3.7945012197305683,1094,20,700
4,4,3.728005203631141,1110,20,700
4,0,3.4154360140854374,964,20,620
4,6,0.3834424313621279,673,20,440
5,0,3.4582535148317053,964,20,620
5,5,3.875888305399205,1108,20,700
5,3,3.903123335835976,1094,20,700
5,6,0.41514342527921966,673,20,440
5,1,3.480402719918023,963,20,620
5,4,4.09683396965609,1110,20,700
5,2,3.7857356514457083,1095,20,700
6,6,0.4036171217466335,673,20,440
6,0,3.7644617325781176,964,20,620
6,5,4.409454918779712,1108,20,700
6,2,4.48128077529577,1095,20,700
6,4,4.542571178070492,1110,20,700
6,1,3.669825847816467,963,20,620
6,3,4.426752278808297,1094,20,700
7,1,4.110780374706808,963,20,620
7,3,4.42578938083202,1094,20,700
7,5,4.430606392660531,1108,20,700
7,2,4.749216206950452,1095,20,700
7,0,4.496337937324339,964,20,620
7,6,0.4480029216765633,673,20,440
7,4,4.411018297093016,1110,20,700
8,5,4.331954628436577,1108,20,700
8,1,3.4319121313550727,963,20,620
8,0,3.9262506575746405,964,20,620
8,2,4.511325835390066,1095,20,700
8,4,4.183415676347899,1110,20,700
8,6,0.4410357741288877,673,20,440
8,3,4.574117136144719,1094,20,700
9,1,4.029146377156501,963,20,620
9,4,4.201250877806147,1110,20,700
9,6,0.5398624126215754,673,20,440
9,5,4.173248195157541,1108,20,700
9,3,4.224902560300834,1094,20,700
9,2,3.9992866848929984,1095,20,700
9,0,3.923399076164659,964,20,620
10,4,3.221701019299856,1110,20,700
10,1,2.4305519434689296,963,20,620
10,2,4.043049875091979,1095,20,700
10,5,4.192570923397488,1108,20,700
10,0,3.092691317864562,964,20,620
10,3,3.8884450659356133,1094,20,700
10,6,0.32788171710546715,673,20,440
11,0,3.97630963189505,964,20,620
11,5,3.8879261396807165,1108,20,700
11,2,3.3911819840329613,1095,20,700
11,1,2.697846370567735,963,20,620
11,3,3.568178840058669,1094,20,700
11,6,0.4919504852178786,673,20,440
11,4,3.9087433805521563,1110,20,700
12,1,2.292482798572829,963,20,620
12,0,2.9819899927018505,964,20,620
12,2,2.9778443936428194,1095,20,700
12,6,0.4910200459665121,673,20,440
12,3,4.806703625652768,1094,20,700
12,4,3.2984705868848443,1110,20,700
12,5,2.7737733471673276,1108,20,700
13,0,2.683749624480999,964,20,620
13,1,2.153863536621131,963,20,620
13,5,2.3858186544094795,1108,20,700
13,4,3.003009326218026,1110,20,700
13,6,0.45200101302808526,673,20,440
13,2,3.1509821650382395,1095,20,700
13,3,2.951042204873585,1094,20,700
14,5,3.9066035597939033,1108,20,700
14,1,2.290463840734295,963,20,620
14,6,0.5842037180263409,673,20,440
14,3,4.069197586975705,1094,20,700
14,2,3.4003895968586146,1095,20,700
14,0,1.7170660834626317,964,20,620
14,4,2.9847235561206458,1110,20,700
15,6,0.4369376569120473,673,20,440
15,2,2.9632989117455555,1095,20,700
15,0,2.176993140767087,964,20,620
15,1,2.5700740459570612,963,20,620
15,4,2.6860911452267264,1110,20,700
15,5,3.539195028997586,1108,20,700
15,3,3.3038971764809966,1094,20,700
16,0,1.8595415485253404,964,20,620
16,4,2.192814923026198,1110,20,700
16,3,2.5903887951472555,1094,20,700
16,1,1.8385649227654257,963,20,620
16,2,3.6469690336288463,1095,20,700
16,5,2.668768891212506,1108,20,700
16,6,0.6178274021515121,673,20,440
17,0,2.2775511246429585,964,20,620
17,5,2.8789723006658483,1108,20,700
17,3,2.95686765725425,1094,20,700
17,4,2.7874022266478975,1110,20,700
17,1,1.8479038052829075,963,20,620
17,6,0.4126781445858628,673,20,440
17,2,3.033989119856732,1095,20,700
18,0,2.6822093040101564,964,20,620
18,3,2.168474323018386,1094,20,700
18,5,1.849356082015639,1108,20,700
18,6,0.42072600297961965,673,20,440
18,2,2.190081722525564,1095,20,700
18,4,2.2370668731401846,1110,20,700
18,1,1.8800813132344916,963,20,620
19,4,2.509310146716291,1110,20,700
19,2,1.842905839429212,1095,20,700
19,0,2.5137341441775134,964,20,620
19,3,2.8445021209801293,1094,20,700
19,5,1.7519622374525006,1108,20,700
19,1,2.449423508660581,963,20,620
19,6,0.518797554000275,673,20,440
20,0,2.2852579605459526,964,20,620
20,3,2.249698418751848,1094,20,700
20,5,1.8407832559347104,1108,20,700
20,1,1.9638894834041891,963,20,620
20,2,1.8258370243081052,1095,20,700
20,4,1.8720195313506274,1110,20,700
20,6,0.4595891305382808,673,20,440
21,5,1.9440497565341177,1108,20,700
21,1,2.0989244500469493,963,20,620
21,2,2.27173414788648,1095,20,700
21,4,2.2005502194995117,1110,20,700
21,0,2.2698411235550164,964,20,620
21,6,0.4262381739747555,673,20,440
21,3,1.9172443679421753,1094,20,700
22,0,2.321005087212123,964,20,620
22,4,2.693209945089691,1110,20,700
22,6,0.49852468338203826,673,20,440
22,2,1.774369500273734,1095,20,700
22,1,2.075213812061215,963,20,620
22,3,1.6576513535107307,1094,20,700
22,5,2.3139512621222447,1108,20,700
23,0,2.0552822112409737,964,20,620
23,4,1.6309330510602877,1110,20,700
23,5,2.1225583511737507,1108,20,700
23,1,1.874540801400897,963,20,620
23,6,0.4606837920594686,673,20,440
23,2,2.8406858196391256,1095,20,700
23,3,2.7083143328726345,1094,20,700
24,0,1.8349476030585896,964,20,620
24,6,0.4751829789989362,673,20,440
24,2,2.1313613231342674,1095,20,700
24,3,1.769096345475222,1094,20,700
24,5,1.7686751412819808,1108,20,700
24,4,1.771991352015274,1110,20,700
24,1,2.2034543667098943,963,20,620
25,4,2.859004784893249,1110,20,700
25,2,2.2018677824520627,1095,20,700
25,1,1.8341614282108132,963,20,620
25,3,1.8799500275710048,1094,20,700
25,5,1.7915177717157864,1108,20,700
25,0,1.8783827109903384,964,20,620
25,6,0.5276047244161756,673,20,440
26,5,2.174138834126711,1108,20,700
26,3,2.172339838955663,1094,20,700
26,2,1.8711679437907278,1095,20,700
26,1,2.2183938545738435,963,20,620
26,4,2.036541836147782,1110,20,700
26,0,1.8867845213046477,964,20,620
26,6,0.4172186609841754,673,20,440
27,1,3.0652523211740963,963,20,620
27,2,1.589592597162932,1095,20,700
27,4,2.5855211713520885,1110,20,700
27,3,1.5963040367477908,1094,20,700
27,6,0.4842270384082595,673,20,440
27,5,1.769865056540112,1108,20,700
27,0,2.5129603680377026,964,20,620
28,6,0.37559295624221106,673,20,440
28,4,1.5912840061628841,1110,20,700
28,0,1.8045658980542272,964,20,620
28,2,1.8343103069731583,1095,20,700
28,3,1.7891905315236811,1094,20,700
28,1,1.923646587138467,963,20,620
28,5,2.3626179737658797,1108,20,700
29,2,1.7447189349902854,1095,20,700
29,6,0.5077503439186284,673,20,440
29,3,1.868982670482752,1094,20,700
29,4,1.6239407334590068,1110,20,700
29,0,1.5649932575609113,964,20,620
29,1,1.4490559576759872,963,20,620
29,5,1.8129863183951922,1108,20,700
30,0,1.4754717903023225,964,20,620
