round,client_id,update_norm,n_samples,local_epochs
1,5,3.441150815359343,1108,20
1,2,3.1237973838426036,1095,20
1,0,3.011132603200842,964,20
1,4,3.4688746593665383,1110,20
1,6,1.437732257575368,673,20
1,3,3.0929116769200418,1094,20
1,1,3.129932610626504,963,20
2,1,2.9694028185508334,963,20
2,0,2.645601130940621,964,20
2,3,2.81671521909652,1094,20
2,6,0.2705291636027669,673,20
2,4,3.0964945644012647,1110,20
2,5,3.2364071098394467,1108,20
2,2,2.900302153839118,1095,20
3,5,3.08302976141473,1108,20
3,0,2.6960388095369856,964,20
3,3,2.8467917721962,1094,20
3,2,2.896513999924889,1095,20
3,4,3.2389003322093433,1110,20
3,6,0.2996859325147703,673,20
3,1,2.801252262908024,963,20
4,2,3.0900562437009067,1095,20
4,6,0.32968628126312693,673,20
4,5,3.446050393913303,1108,20
4,1,3.014646887105893,963,20
4,3,3.2538964896020452,1094,20
4,0,2.9576683964299537,964,20
4,4,3.475538550585702,1110,20
5,5,3.5467302297913443,1108,20
5,1,3.2448101254579003,963,20
5,6,0.27716135430141703,673,20
5,2,3.5387536348040203,1095,20
5,3,3.731859484714468,1094,20
5,4,3.786996886413906,1110,20
5,0,3.067404777648236,964,20
6,1,3.425535039409062,963,20
6,3,3.9071394786715183,1094,20
6,4,3.8464019426447664,1110,20
6,0,3.07745529724796,964,20
6,2,3.8472651643874665,1095,20
6,5,3.7765278083878946,1108,20
6,6,0.33133323349240307,673,20
7,5,3.4982389773593208,1108,20
7,6,0.352422750161703,673,20
7,0,3.375523022654287,964,20
7,2,3.7970186385139,1095,20
7,3,3.917313450643884,1094,20
7,1,3.3276624762000435,963,20
7,4,3.7212517101479397,1110,20
8,4,3.609525696314309,1110,20
8,0,3.698336469589461,964,20
8,2,3.5927402805784654,1095,20
8,3,4.024793781947683,1094,20
8,1,3.15958523814417,963,20
8,5,3.449630968711446,1108,20
8,6,0.27779409763145535,673,20
9,0,2.4508468694863383,964,20
9,5,2.4281021674035523,1108,20
9,3,3.5323974147846116,1094,20
9,6,0.334201925974986,673,20
9,1,3.1923340832598144,963,20
9,2,3.6502560509208286,1095,20
9,4,3.344926736063911,1110,20
10,3,2.0991942553334333,1094,20
10,4,3.207296497573951,1110,20
10,2,3.2455498984929188,1095,20
10,6,0.330270847491784,673,20
10,1,1.8850274723098874,963,20
10,0,2.1075524362986653,964,20
10,5,3.39369732237091,1108,20
11,0,2.2938871334578517,964,20
11,6,0.4108915587333181,673,20
11,1,2.3864587905784385,963,20
11,5,3.2331319938306184,1108,20
11,4,2.503180597986788,1110,20
11,2,3.0921266166831263,1095,20
11,3,3.411713818293411,1094,20
12,6,0.3521471550532179,673,20
12,1,1.582870090580433,963,20
12,0,1.5409710819866371,964,20
12,5,1.9528297526066374,1108,20
12,2,3.017103175356028,1095,20
12,3,3.047372779267175,1094,20
12,4,2.2815431431571547,1110,20
13,0,1.6519532524918537,964,20
13,6,0.3901254341299406,673,20
13,4,3.1680316796895394,1110,20
13,5,2.869076100661015,1108,20
13,3,1.8373692044719825,1094,20
13,1,2.6237358765020575,963,20
13,2,1.4991603575216155,1095,20
14,2,1.8196064421436247,1095,20
14,6,0.3239164362785397,673,20
14,0,1.361784652697506,964,20
14,1,1.4013539578930512,963,20
14,4,1.274323170961388,1110,20
14,3,3.4450189001379448,1094,20
14,5,1.1680535917464263,1108,20
15,1,1.3279542710854262,963,20
15,0,1.676319647625491,964,20
15,3,2.2108348723304654,1094,20
15,4,1.6277011297651425,1110,20
15,5,1.599271867192368,1108,20
15,6,0.2841460689118225,673,20
15,2,1.6285890028527967,1095,20
16,2,1.2249068293673988,1095,20
16,0,2.4433432578578906,964,20
16,6,0.3229435569319503,673,20
16,4,1.313303842163397,1110,20
16,3,1.4147307337605388,1094,20
16,5,1.8328433820707517,1108,20
16,1,1.3768188548049713,963,20
17,3,2.3477681729322395,1094,20
17,1,2.1163794285344513,963,20
17,6,0.39714611261274724,673,20
17,2,1.4065170675940097,1095,20
17,0,1.5896617755752027,964,20
17,4,2.3943553977697962,1110,20
17,5,1.6246372491465157,1108,20
18,1,1.2101369903409287,963,20
18,3,1.245449362443669,1094,20
18,4,2.0911892928910176,1110,20
18,5,2.1226797045536365,1108,20
18,6,0.305038474719265,673,20
18,0,1.279943750823316,964,20
18,2,3.2125083098091634,1095,20
19,0,1.156244148106975,964,20
19,4,1.355807604518758,1110,20
19,3,1.1695643950649668,1094,20
19,5,1.3024234087559186,1108,20
19,1,1.4975848787541155,963,20
19,2,1.7558314828906112,1095,20
19,6,0.3317747259102512,673,20
20,1,1.5336263273946331,963,20
20,4,1.1164151202142787,1110,20
20,3,1.2420176442875515,1094,20
20,6,0.29683325663278504,673,20
20,2,1.4913677592669716,1095,20
20,0,1.2109050154708774,964,20
20,5,1.5792682321291742,1108,20
21,3,1.4584748101832348,1094,20
21,6,0.30359631578191487,673,20
21,0,1.1908944062900821,964,20
21,5,1.0492247857321388,1108,20
21,4,1.613577466651759,1110,20
21,2,1.3738837949784564,1095,20
21,1,1.4334308228867816,963,20
22,2,1.7896160684990323,1095,20
22,1,1.7791121498640177,963,20
22,0,1.4521154696499166,964,20
22,5,1.0688739055912782,1108,20
22,4,1.610176183174034,1110,20
22,3,1.6413866355227857,1094,20
22,6,0.27804842112694966,673,20
23,2,1.214533137899319,1095,20
23,6,0.3366370348524042,673,20
23,0,1.6790085118570037,964,20
23,5,1.1027502928259905,1108,20
23,4,2.671519051477368,1110,20
23,1,1.6974893791777468,963,20
23,3,1.9130373228078117,1094,20
24,1,2.398644089113568,963,20
24,4,1.1134276483278474,1110,20
24,2,1.3512253443399689,1095,20
24,5,1.5830540516801161,1108,20
24,6,0.39492794738560705,673,20
24,0,1.2008226410822478,964,20
24,3,1.1301519961782727,1094,20
25,4,1.0830725910578678,1110,20
25,3,1.5506997642738398,1094,20
25,5,1.2689071822973208,1108,20
25,6,0.29403042711248517,673,20
25,0,1.1363259237434846,964,20
25,2,1.1720511431199945,1095,20
25,1,1.7708168386534107,963,20
26,6,0.34310640987669855,673,20
26,5,1.0064896030384305,1108,20
26,2,1.2483089447307032,1095,20
26,3,1.2043665764719658,1094,20
26,0,1.2102450945154672,964,20
26,4,0.984943495144318,1110,20
26,1,1.4813215800819814,963,20
27,5,1.058463740492284,1108,20
27,6,0.2560109822421233,673,20
27,1,2.0885119677661397,963,20
27,2,1.1793929903272742,1095,20
27,4,1.1607978785603799,1110,20
27,3,1.2285744903071616,1094,20
27,0,1.1342761584870173,964,20
28,4,1.0917354709922418,1110,20
28,3,1.2971372857092898,1094,20
28,1,1.31682076836016,963,20
28,2,1.0219241629236344,1095,20
28,5,1.1173402709506648,1108,20
28,0,1.1375712985401187,964,20
28,6,0.30108169689816455,673,20
29,1,1.131154046968221,963,20
29,3,1.2920856982503923,1094,20
29,5,1.5328716610838926,1108,20
29,2,1.1759496068140487,1095,20
29,6,0.43178250471758467,673,20
29,4,1.4192736177207472,1110,20
29,0,1.625060246820426,964,20
30,0,1.3315613930009647,964,20
30,5,1.1109202330928534,1108,20
30,3,1.1057099412589215,1094,20
30,2,1.1019855157761012,1095,20
30,4,1.0569218539761562,1110,20
30,1,1.0592246524471483,963,20
30,6,0.31010508919487245,673,20
31,4,1.1354816457580603,1110,20
31,3,1.2489503827957613,1094,20
31,2,1.2589075126698352,1095,20
31,5,1.04595747601223,1108,20
31,1,1.0973922330719093,963,20
31,6,0.3433855561894473,673,20
31,0,1.2570210030894977,964,20
32,3,1.4840478086712332,1094,20
32,6,0.4458102967711,673,20
32,1,1.7209573162147367,963,20
32,0,1.630217256113794,964,20
32,4,1.4959845866628079,1110,20
32,5,1.2209226621906983,1108,20
32,2,1.2436405820432412,1095,20
33,4,1.6107553607256846,1110,20
33,1,1.0700893457597094,963,20
33,2,1.2859613522839426,1095,20
33,0,1.5055243229422117,964,20
33,5,1.0753825334678642,1108,20
33,3,0.8356841605996991,1094,20
33,6,0.37971567619780083,673,20
34,3,1.2721031524241875,1094,20
34,0,1.7117940509853073,964,20
34,4,0.9831461987478295,1110,20
34,2,1.399167348492146,1095,20
34,6,0.31128884191615486,673,20
34,1,0.9991621342917709,963,20
34,5,1.4364654439326447,1108,20
35,6,0.35408172988638864,673,20
35,3,1.052705229889639,1094,20
35,2,1.0554152430556563,1095,20
35,4,1.028080817537891,1110,20
35,1,1.2628098868698865,963,20
35,0,1.1289139928918723,964,20
35,5,1.1213786369284022,1108,20
36,0,0.9005931239388082,964,20
36,4,0.9494481803511238,1110,20
36,1,0.8975333796760636,963,20
36,3,1.0380641046243384,1094,20
36,5,1.3623389308598477,1108,20
36,2,1.6430647299111911,1095,20
36,6,0.3204191809255611,673,20
37,5,1.4213208358137528,1108,20
37,6,0.32028448425836553,673,20
37,1,1.359042030205696,963,20
37,4,1.2237789843087872,1110,20
37,2,1.1688924767741835,1095,20
37,0,2.024817129156561,964,20
37,3,1.1586116780340996,1094,20
38,2,1.0828173834040302,1095,20
38,1,1.059726351641055,963,20
38,4,1.0021339501010809,1110,20
38,5,1.6078718034999995,1108,20
38,6,0.29528753946585445,673,20
38,3,1.0960196181534327,1094,20
38,0,1.0304964960635516,964,20
39,2,1.05959219395727,1095,20
39,1,1.016512806836089,963,20
39,6,0.42984149887034934,673,20
39,0,2.0900119695442068,964,20
39,3,1.5211052783408523,1094,20
39,5,1.2399931916731126,1108,20
39,4,1.077862492315248,1110,20
40,3,1.0391968463648504,1094,20
40,1,0.745481809827106,963,20
40,2,1.1155164624342702,1095,20
40,6,0.24575459954821519,673,20
40,4,0.9983704043957117,1110,20
40,0,1.2600683428282329,964,20
40,5,1.2896732200037866,1108,20
41,0,1.3386892239903168,964,20
41,2,1.3149451805385814,1095,20
41,6,0.40715798023150773,673,20
41,3,1.1282989643086367,1094,20
41,4,1.0106876054210001,1110,20
41,5,1.0599729798732198,1108,20
41,1,1.1772403697366096,963,20
42,5,1.2180102683246026,1108,20
42,4,1.3613468125815205,1110,20
42,2,1.2074141545271364,1095,20
42,3,1.0525045832260849,1094,20
42,0,0.9095183826817194,964,20
42,6,0.38225416431752346,673,20
42,1,1.371071975239598,963,20
43,2,1.0823138326242232,1095,20
43,0,1.2432899937245818,964,20
43,3,1.1893201955742827,1094,20
43,4,1.2200276523336275,1110,20
43,6,0.3963560433467155,673,20
43,5,0.999652828061187,1108,20
43,1,1.5091501940854053,963,20
44,2,1.258427758874339,1095,20
44,6,0.36009348362140947,673,20
44,5,1.00507377891155,1108,20
44,3,1.1979422538868278,1094,20
44,1,0.806342810963285,963,20
44,0,1.1537733592950443,964,20
44,4,1.1289062446527114,1110,20
45,1,2.1464864053967716,963,20
45,5,0.9804030921307244,1108,20
45,3,1.1554274438002037,1094,20
45,4,0.9981165697594517,1110,20
45,6,0.3731459243569816,673,20
45,2,1.1032201699054565,1095,20
