round,client_id,update_norm,n_samples,local_epochs
1,3,3.8017814549400324,1001,20
1,4,3.8372859916409836,1001,20
1,5,3.762992788168285,1001,20
1,2,3.788445961506625,1001,20
1,6,3.7119605995993976,1001,20
1,0,3.4307182164422616,1001,20
1,1,3.519843076645573,1001,20
2,3,3.5578520485685963,1001,20
2,0,3.6481612201403277,1001,20
2,2,3.500898787273734,1001,20
2,1,3.4992115451036945,1001,20
2,4,3.496197062601531,1001,20
2,6,3.454552359851159,1001,20
2,5,3.658267065146371,1001,20
3,0,4.009737924778048,1001,20
3,3,3.8132169471593964,1001,20
3,1,3.9062366402607096,1001,20
3,5,4.082308344871049,1001,20
3,4,3.925271840726407,1001,20
3,2,4.279650943853807,1001,20
3,6,4.080016533683446,1001,20
4,6,4.668401129910391,1001,20
4,2,4.659610693120476,1001,20
4,0,4.50964648253205,1001,20
4,1,4.577199178304262,1001,20
4,4,4.773202793164076,1001,20
4,3,4.460196843228814,1001,20
4,5,4.535954196105452,1001,20
5,3,5.00046626820171,1001,20
5,5,5.069958574288577,1001,20
5,0,4.978964231109199,1001,20
5,4,5.281472991118929,1001,20
5,1,5.196216611950729,1001,20
5,2,5.092087023975998,1001,20
5,6,5.068301615721289,1001,20
6,4,5.2562091300610145,1001,20
6,2,5.351359203476024,1001,20
6,1,5.378841649019267,1001,20
6,0,5.2197057514807526,1001,20
6,3,5.311519600676828,1001,20
6,5,5.339039694218763,1001,20
6,6,5.125846878704653,1001,20
7,1,4.6810028262574805,1001,20
7,4,4.423022643471718,1001,20
7,6,4.976091153457894,1001,20
7,3,5.312675282619169,1001,20
7,0,5.137856422447178,1001,20
7,2,4.507568414620215,1001,20
7,5,4.875434283052116,1001,20
8,6,4.872277713352181,1001,20
8,2,4.839652421141887,1001,20
8,5,4.425760431447747,1001,20
8,0,4.693703936702823,1001,20
8,1,4.57726194738579,1001,20
8,3,4.5310251637321795,1001,20
8,4,3.9094475891820504,1001,20
9,0,3.5150016561914263,1001,20
9,1,3.5954256833519507,1001,20
9,6,3.726603201541167,1001,20
9,2,3.504710856359784,1001,20
9,4,4.1547884669961785,1001,20
9,5,3.50081510831929,1001,20
9,3,4.615139324466096,1001,20
10,1,4.155254712715625,1001,20
10,0,3.5081575511445373,1001,20
10,5,3.387466997656519,1001,20
10,6,4.731376929457609,1001,20
10,4,4.346819470135122,1001,20
10,2,3.866043361928208,1001,20
10,3,3.9732838758136393,1001,20
11,3,3.4722777723710205,1001,20
11,2,3.7602549981925533,1001,20
11,4,2.9490320737037528,1001,20
