round,client_id,update_norm,n_samples,local_epochs,tau
1,0,3.606879055162995,1001,20,640
1,2,3.802225024755218,1001,20,640
1,6,3.852114734850302,1001,20,640
1,3,3.6799188926363597,1001,20,640
1,4,3.5694754294229543,1001,20,640
1,5,3.725293108532581,1001,20,640
1,1,3.845756996073934,1001,20,640
2,5,3.6000292852259594,1001,20,640
2,3,3.7550044942461,1001,20,640
2,1,3.350218672634435,1001,20,640
2,4,3.3106524529664436,1001,20,640
2,2,3.352167756865035,1001,20,640
2,0,3.492538298762237,1001,20,640
2,6,3.895671464237744,1001,20,640
3,4,4.008914771035653,1001,20,640
3,6,4.191217715149883,1001,20,640
3,3,3.9727229124006946,1001,20,640
3,2,3.8128148456810247,1001,20,640
3,1,3.901528877236089,1001,20,640
3,5,4.127902055949658,1001,20,640
3,0,4.054204089922259,1001,20,640
4,3,4.801559539820611,1001,20,640
4,0,4.388381449080865,1001,20,640
4,2,4.401640906130889,1001,20,640
4,5,4.753661704059686,1001,20,640
4,1,4.525781614810841,1001,20,640
4,4,4.412625279477659,1001,20,640
4,6,4.592769607881416,1001,20,640
5,0,4.8695473706133825,1001,20,640
5,1,5.167796128610624,1001,20,640
5,2,4.899349359689661,1001,20,640
5,6,4.981475738649453,1001,20,640
5,4,5.177876027570515,1001,20,640
5,5,5.164735830567644,1001,20,640
5,3,5.188066307050556,1001,20,640
6,2,5.077407965726002,1001,20,640
6,6,5.164335391265865,1001,20,640
6,0,5.034169179644604,1001,20,640
6,3,5.124595994978083,1001,20,640
6,5,5.250604039565971,1001,20,640
6,4,5.211394800429756,1001,20,640
6,1,5.370757456709126,1001,20,640
7,3,4.978703676296413,1001,20,640
7,1,5.231347839585831,1001,20,640
7,4,5.128875989595238,1001,20,640
7,2,5.270563950316995,1001,20,640
7,0,4.55528042343348,1001,20,640
7,6,4.8951970892975565,1001,20,640
7,5,5.006014053961152,1001,20,640
8,1,5.162907785494533,1001,20,640
8,6,4.353698439717493,1001,20,640
8,0,3.9110836415851242,1001,20,640
8,5,4.7508578349654105,1001,20,640
8,4,4.569716988052225,1001,20,640
8,3,4.920543892267107,1001,20,640
8,2,4.7517420563750985,1001,20,640
9,1,4.4107207883886534,1001,20,640
9,5,4.073325693621765,1001,20,640
9,3,3.7173391807463525,1001,20,640
9,4,3.6958918164479098,1001,20,640
9,2,3.887650191402815,1001,20,640
9,0,3.3318584466338983,1001,20,640
9,6,4.226542743037148,1001,20,640
10,0,4.6227968258380745,1001,20,640
10,5,3.9949176126586465,1001,20,640
10,4,3.5301227064603857,1001,20,640
10,3,3.2830193155081595,1001,20,640
10,1,4.055555868321022,1001,20,640
10,2,4.19771778113367,1001,20,640
10,6,4.392111800041702,1001,20,640
11,5,3.9495617420218583,1001,20,640
11,2,3.4262888158864526,1001,20,640
11,0,3.268244327813696,1001,20,640
11,1,2.932080558030056,1001,20,640
11,3,2.8385723710391586,1001,20,640
11,6,2.6559617647143434,1001,20,640
11,4,3.325362026159083,1001,20,640
12,6,2.766330378613893,1001,20,640
12,4,2.900898043071623,1001,20,640
12,5,3.363486941390065,1001,20,640
12,0,3.8924373388737323,1001,20,640
12,1,4.013013395731473,1001,20,640
12,3,3.718340729595951,1001,20,640
12,2,4.1885702137218255,1001,20,640
13,1,2.8756246405325627,1001,20,640
13,4,4.242045297601961,1001,20,640
13,2,3.2239971945061927,1001,20,640
13,6,2.9710848415255593,1001,20,640
13,3,3.5991031424059523,1001,20,640
13,5,2.5079938177413488,1001,20,640
13,0,3.576556318692715,1001,20,640
14,0,2.8472185973127315,1001,20,640
14,6,2.9607943799405687,1001,20,640
14,4,3.536341889265561,1001,20,640
14,1,3.614039806430384,1001,20,640
14,2,2.823833427986551,1001,20,640
14,5,2.638290209855113,1001,20,640
14,3,2.680269392954861,1001,20,640
15,6,2.731262130452491,1001,20,640
15,5,2.610523141325253,1001,20,640
15,2,2.743156501485918,1001,20,640
15,4,2.517100919013487,1001,20,640
15,1,2.625726072550011,1001,20,640
15,3,2.940905611765214,1001,20,640
15,0,2.9408637716213843,1001,20,640
16,0,2.3637107623240503,1001,20,640
16,6,2.60426820553774,1001,20,640
16,2,2.996106841953808,1001,20,640
16,3,3.4457513678076355,1001,20,640
16,4,2.902261434557906,1001,20,640
16,1,2.5630849692584605,1001,20,640
16,5,2.9579104517196777,1001,20,640
17,4,2.668219793466152,1001,20,640
17,1,2.574905472632868,1001,20,640
17,2,3.3144424020573693,1001,20,640
17,6,2.468703918896697,1001,20,640
17,0,3.2473479493881454,1001,20,640
17,5,2.5623618692319843,1001,20,640
17,3,2.7504055404012813,1001,20,640
18,1,2.9686432591431204,1001,20,640
18,2,2.7582646590325237,1001,20,640
18,4,3.098402800568634,1001,20,640
18,6,2.5393525373976527,1001,20,640
18,0,2.6653092298597545,1001,20,640
18,5,2.395229518179281,1001,20,640
18,3,2.6902312122136345,1001,20,640
19,6,2.5704537235905875,1001,20,640
19,1,2.5195585249695345,1001,20,640
19,2,3.080524874074765,1001,20,640
19,0,2.731804522761795,1001,20,640
19,5,2.5476846315655792,1001,20,640
19,3,2.4216685014694237,1001,20,640
19,4,2.6299539671265744,1001,20,640
20,1,2.6721164241164255,1001,20,640
20,5,2.6902050071779895,1001,20,640
20,4,2.6756216099043386,1001,20,640
20,6,2.934640314672458,1001,20,640
20,0,2.478846989087706,1001,20,640
20,3,2.504435141129732,1001,20,640
20,2,2.5663593420042217,1001,20,640
21,0,2.0862582892089114,1001,20,640
21,2,2.765090274986799,1001,20,640
21,1,2.670676566367096,1001,20,640
21,4,2.681082849673396,1001,20,640
21,3,2.5616799404151673,1001,20,640
21,6,2.37354654572098,1001,20,640
21,5,2.5616524415173965,1001,20,640
22,6,2.5338787577899016,1001,20,640
22,3,2.7088674813176903,1001,20,640
22,1,2.826764836737615,1001,20,640
22,4,2.647531865261914,1001,20,640
22,0,2.5949144147295513,1001,20,640
22,2,2.653225992474362,1001,20,640
22,5,2.717011997726757,1001,20,640
23,2,2.168754633582929,1001,20,640
23,1,2.3954637918146586,1001,20,640
23,5,2.9951582134566004,1001,20,640
23,3,2.4425544855270025,1001,20,640
23,6,2.9316333893299125,1001,20,640
23,4,2.934627988012858,1001,20,640
23,0,2.5248243143062483,1001,20,640
24,0,2.3872499179891724,1001,20,640
24,6,2.560305686371306,1001,20,640
24,1,2.58469551756451,1001,20,640
24,5,2.749882344272381,1001,20,640
24,2,2.4408236786897186,1001,20,640
