round,client_id,update_norm,n_samples,local_epochs
1,6,3.149932724352328,1001,20
1,5,3.183874637034331,1001,20
1,4,3.291792528671359,1001,20
1,1,2.967527340416157,1001,20
1,3,3.167709310499236,1001,20
1,0,3.332199880168259,1001,20
1,2,3.1437883386403107,1001,20
2,6,3.2128044532098508,1001,20
2,0,3.005220350764804,1001,20
2,3,3.0670272786751345,1001,20
2,2,2.7346095645548063,1001,20
2,4,2.7970734485938484,1001,20
2,1,3.060655492251568,1001,20
2,5,3.120770104676107,1001,20
3,6,3.3976348713974387,1001,20
3,5,3.532406750167746,1001,20
3,4,3.175731988410092,1001,20
3,1,3.2685582209864195,1001,20
3,2,3.1250567167190297,1001,20
3,0,3.149628386271939,1001,20
3,3,3.4164384830709933,1001,20
4,5,4.177118900022635,1001,20
4,6,3.659125397299629,1001,20
4,3,3.9246801024888875,1001,20
4,1,3.843417149855867,1001,20
4,4,3.7500145388585717,1001,20
4,0,3.6832836693811304,1001,20
4,2,3.9602253502672897,1001,20
5,5,4.544031817186804,1001,20
5,4,4.193413602815561,1001,20
5,2,4.4329816350225,1001,20
5,1,4.275900927903895,1001,20
5,0,4.228024532858583,1001,20
5,3,4.386027164805332,1001,20
5,6,4.316266770767577,1001,20
6,2,4.587138064762668,1001,20
6,3,4.519603104999291,1001,20
6,6,4.587451275616536,1001,20
6,4,4.457269689566595,1001,20
6,1,4.539472163078449,1001,20
6,0,4.260745133102102,1001,20
6,5,4.657982596708387,1001,20
7,5,3.674108820340415,1001,20
7,6,4.42398137460435,1001,20
7,2,4.175439708555085,1001,20
7,4,4.068774689425213,1001,20
7,0,4.29819150596607,1001,20
7,1,4.367258385297519,1001,20
7,3,4.230908783579745,1001,20
8,0,3.9875533733604542,1001,20
8,4,4.185408026156985,1001,20
8,6,3.772964714805799,1001,20
8,1,4.156580666631067,1001,20
8,3,4.054520948207385,1001,20
8,5,3.0983469696532047,1001,20
8,2,3.1944436110525825,1001,20
9,2,3.785252556332021,1001,20
9,4,3.410133083915369,1001,20
9,0,3.7685232721853694,1001,20
9,1,3.8271143952393514,1001,20
9,5,4.365183754707355,1001,20
9,3,3.912010503281811,1001,20
9,6,3.4573903200577556,1001,20
10,3,3.716648095103823,1001,20
10,4,2.805197293109158,1001,20
10,6,3.229885543320913,1001,20
10,5,3.7783795142456524,1001,20
10,1,3.8160322128855544,1001,20
10,2,3.7246817857350014,1001,20
10,0,2.41975850535175,1001,20
11,6,2.4776470375559017,1001,20
11,4,2.799574056022602,1001,20
11,2,2.699174881357689,1001,20
11,5,2.2555662383699118,1001,20
11,1,2.9117231021281103,1001,20
11,3,2.344066401291181,1001,20
11,0,1.8362925277887063,1001,20
12,6,2.742432265572593,1001,20
12,2,2.938260554809291,1001,20
12,3,3.2943968277445266,1001,20
12,0,2.098084386769894,1001,20
12,1,3.7757639470268467,1001,20
12,4,2.6448496224802387,1001,20
12,5,2.091521887384754,1001,20
13,5,1.9843416062373072,1001,20
13,1,2.1363493714023023,1001,20
13,2,2.4747591592153193,1001,20
13,4,2.7975915539393155,1001,20
13,0,2.303648444330063,1001,20
13,6,2.7223199224278964,1001,20
13,3,2.744785987407497,1001,20
14,2,2.3106243939387374,1001,20
14,5,2.5932822756362532,1001,20
14,1,2.5430439522548283,1001,20
14,3,2.3370819214338057,1001,20
14,6,2.8258485142038183,1001,20
14,4,2.1618013644275305,1001,20
14,0,1.9517051708250461,1001,20
15,4,1.8058147708858052,1001,20
15,5,1.7782792621473837,1001,20
15,0,1.737382663682821,1001,20
15,3,3.0261478542121383,1001,20
15,1,2.074200240378433,1001,20
15,2,2.797146753994463,1001,20
15,6,3.0528970167233687,1001,20
16,2,2.4119373446190115,1001,20
16,0,1.6990559904350233,1001,20
16,4,2.6535130430218974,1001,20
16,6,1.7480139187444605,1001,20
16,5,2.8842241483716604,1001,20
16,1,1.7178814720174347,1001,20
16,3,2.891053204058585,1001,20
17,3,1.5250868617824165,1001,20
17,6,2.7942612667589493,1001,20
17,1,2.4672984663787125,1001,20
17,2,1.7331666335929594,1001,20
17,0,2.509859841673449,1001,20
17,5,1.583988864232725,1001,20
17,4,1.9223717062813686,1001,20
18,1,1.806773454273395,1001,20
18,2,1.615375208010961,1001,20
18,0,1.6834238623505473,1001,20
18,3,1.5772859008544586,1001,20
18,4,1.9059606131981273,1001,20
18,5,1.7808812804483627,1001,20
18,6,1.6623764890316621,1001,20
19,1,1.6529632620680939,1001,20
19,0,1.896976441162482,1001,20
19,2,1.872704671399841,1001,20
19,4,2.27447164470016,1001,20
19,5,2.293656077291886,1001,20
19,6,1.8897421665364744,1001,20
19,3,1.9870006297574263,1001,20
20,5,2.135250730747035,1001,20
20,0,1.5515864245711695,1001,20
20,1,1.6888158395471073,1001,20
20,3,2.06571432833688,1001,20
20,4,1.5616831092188355,1001,20
20,2,1.742748132448817,1001,20
20,6,1.8503927051616456,1001,20
21,1,1.6402177376530986,1001,20
21,6,2.440354162792987,1001,20
21,3,1.8078138117500488,1001,20
21,5,2.1350787854414,1001,20
21,4,1.7438663304708941,1001,20
21,2,1.5375632201148877,1001,20
21,0,1.8500921044692225,1001,20
22,6,1.4915987374923068,1001,20
22,2,1.5778012154774659,1001,20
22,0,1.6187026722516429,1001,20
22,5,1.6925950769451723,1001,20
22,3,1.5082963412530541,1001,20
22,1,1.689565755589446,1001,20
22,4,1.507492113359659,1001,20
23,3,1.4273882809356595,1001,20
23,6,1.8624894152288152,1001,20
23,2,1.5922157650174815,1001,20
23,4,1.7097746440469233,1001,20
23,1,1.5432182341579923,1001,20
23,5,1.5040381302812151,1001,20
23,0,2.0441756817947585,1001,20
24,3,1.8268434317688438,1001,20
24,1,1.5086749702209559,1001,20
24,2,1.67632379680716,1001,20
24,4,1.6716158984550369,1001,20
24,6,1.4057233271443215,1001,20
