seed,algorithm,mu,local_epochs,round,n_sampled,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6
123,fedprox,0.01,20,1,7,0.570780703316713,1.7554738416985525,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,0.01,20,2,7,0.48898492796165427,1.0952584271060148,0.6689930209371885,0.14285714285714285,0.11452466291175968,0.0,0.0,0.0,0.0,0.0,0.8016726403823178,0.0
123,fedprox,0.01,20,3,7,0.4157303232502652,1.206447322073867,0.6729810568295115,0.18899430000132572,0.16611630044592393,0.0,0.03773584905660377,0.017857142857142856,0.14285714285714285,0.0,0.8143639683505782,0.15
123,fedprox,0.01,20,4,7,0.3590030036323885,1.1106424159328578,0.6959122632103689,0.26989286005679447,0.24852721085816992,0.0,0.37209302325581395,0.08333333333333333,0.0,0.07936507936507936,0.8364779874213837,0.3684210526315789
123,fedprox,0.01,20,5,7,0.3103927522437155,1.0797352157347462,0.7098703888334995,0.33727293024716914,0.31750352095950246,0.0,0.4222222222222222,0.18309859154929578,0.11764705882352941,0.15942028985507245,0.8523316062176166,0.4878048780487805
123,fedprox,0.01,20,6,7,0.27188352291781237,1.0985115641729901,0.7168494516450648,0.32866430676735126,0.3187632977069383,0.0,0.3950617283950617,0.16417910447761194,0.13333333333333333,0.25157232704402516,0.8586251621271076,0.42857142857142855
123,fedprox,0.01,20,7,7,0.22920264936667675,1.2018125015622003,0.7168494516450648,0.3223283773635061,0.3222359586896828,0.0,0.41975308641975306,0.2127659574468085,0.14285714285714285,0.2251655629139073,0.8551099611901681,0.4
123,fedprox,0.01,20,8,7,0.19217871084438223,1.1812218728949755,0.7337986041874377,0.36917370453670223,0.3818464872721175,0.10810810810810811,0.44680851063829785,0.32558139534883723,0.125,0.32335329341317365,0.873485868102288,0.47058823529411764
123,fedprox,0.01,20,9,7,0.14106241220593865,1.0882209250601316,0.7357926221335992,0.4008058812508461,0.42981976759711377,0.21621621621621623,0.4444444444444444,0.3270440251572327,0.2727272727272727,0.32124352331606215,0.8753387533875339,0.5517241379310345
123,fedprox,0.01,20,10,7,0.13930943860559974,1.3443150553009209,0.7417746759720838,0.4163389598986789,0.45000264897918935,0.27450980392156865,0.5050505050505051,0.3221476510067114,0.3333333333333333,0.2929936305732484,0.8702594810379242,0.5517241379310345
123,fedprox,0.01,20,11,7,0.10454386940004955,1.4028244769109686,0.7437686939182453,0.41148189953810566,0.42756767661620304,0.2641509433962264,0.4946236559139785,0.2876712328767123,0.14285714285714285,0.3391812865497076,0.8762541806020067,0.5882352941176471
123,fedprox,0.01,20,12,7,0.09807442333665072,1.3542282389976448,0.7497507477567298,0.4529320311521717,0.4689462620158131,0.3492063492063492,0.5252525252525253,0.3803680981595092,0.25,0.2911392405063291,0.8805970149253731,0.6060606060606061
123,fedprox,0.01,20,13,7,0.08472447135212763,1.4224481297395046,0.7517447657028913,0.4427049742038033,0.4550108613390024,0.3492063492063492,0.5416666666666666,0.36363636363636365,0.13333333333333333,0.32926829268292684,0.8797297297297297,0.5882352941176471
123,fedprox,0.01,20,14,7,0.07818099970003288,1.4412583564951318,0.7427716849451645,0.41927914585994214,0.42660724859110755,0.2413793103448276,0.4897959183673469,0.36809815950920244,0.125,0.3125,0.8780487804878049,0.5714285714285714
123,fedprox,0.01,20,15,7,0.08594979374152895,1.2786579999705017,0.7507477567298105,0.4582978734032599,0.4735268760895975,0.31746031746031744,0.5,0.3821656050955414,0.2222222222222222,0.3867403314917127,0.8810996563573883,0.625
123,fedprox,0.01,20,16,7,0.05428531883746631,1.4351830814082032,0.7507477567298105,0.44757247415327045,0.45467364539160504,0.3283582089552239,0.5490196078431373,0.3741935483870968,0.14285714285714285,0.31901840490797545,0.8810333106730116,0.5882352941176471
123,fedprox,0.01,20,17,7,0.0715621021711293,1.456646627823591,0.744765702891326,0.4247700513508476,0.42342739368898147,0.34375,0.5102040816326531,0.3076923076923077,0.0,0.3522727272727273,0.8786440677966102,0.5714285714285714
