round,client_id,update_norm,n_samples,local_epochs
1,1,4.069686035330568,3504,20
1,0,4.275352573309586,3503,20
2,1,3.949278753812241,3504,20
2,0,4.238692879630469,3503,20
3,0,4.723820928405694,3503,20
3,1,4.201141667683357,3504,20
4,1,4.3136804074410895,3504,20
4,0,5.090284343535297,3503,20
5,0,4.916922115428236,3503,20
5,1,4.171614726375977,3504,20
6,1,3.809621217220554,3504,20
6,0,4.5155350804209125,3503,20
7,0,4.2267019252952585,3503,20
7,1,3.494324448778687,3504,20
8,0,3.7305537699814377,3503,20
8,1,3.4324238186165146,3504,20
9,0,2.486189230120013,3503,20
9,1,1.089964518951527,3504,20
10,1,0.8906235774618213,3504,20
10,0,0.7759457646308267,3503,20
11,0,0.6139014923503343,3503,20
11,1,2.4775557678049966,3504,20
12,0,2.5737982668444004,3503,20
12,1,0.7972205135782588,3504,20
13,1,0.6752083028706468,3504,20
13,0,0.6713676058773687,3503,20
14,1,0.6637704424106857,3504,20
14,0,0.8122669679417891,3503,20
15,0,0.6044440422558774,3503,20
15,1,0.44036112793940646,3504,20
16,1,1.2622518212736475,3504,20
16,0,0.6202366841570939,3503,20
17,1,0.42125832313957107,3504,20
17,0,0.5577354880917385,3503,20
18,0,0.9685060369965185,3503,20
18,1,0.4413061661068103,3504,20
19,0,0.415417461763826,3503,20
19,1,0.39969715274756945,3504,20
20,0,0.515055330270163,3503,20
20,1,0.4074987567262799,3504,20
21,1,0.5803855738671861,3504,20
21,0,0.4018594882410879,3503,20
22,0,0.4534779129987506,3503,20
22,1,0.4551919037382324,3504,20
23,0,0.6357542210669614,3503,20
23,1,0.5196752028591981,3504,20
24,1,0.593461990199482,3504,20
24,0,0.4734045363516526,3503,20
25,0,0.46037653190683514,3503,20
25,1,0.3698023891379203,3504,20
26,1,0.6613394899828178,3504,20
26,0,0.47303870482807847,3503,20
27,0,0.39391837538815205,3503,20
27,1,0.6161042280520214,3504,20
28,1,0.4944502621468023,3504,20
28,0,0.41236369828240377,3503,20
29,0,0.4320266678346284,3503,20
29,1,0.6047583745447979,3504,20
30,0,0.4042748990779984,3503,20
30,1,0.3765884886323177,3504,20
31,1,0.3573963929122511,3504,20
31,0,0.6393967139065044,3503,20
32,0,0.6889757286179903,3503,20
32,1,0.5278323481557342,3504,20
33,1,0.47023663210822536,3504,20
33,0,0.42486978319302043,3503,20
34,0,0.3842167656589805,3503,20
34,1,0.32686879598174634,3504,20
35,1,0.38767773301090147,3504,20
35,0,0.46813778019478935,3503,20
36,1,0.3676686913267574,3504,20
36,0,0.4142026229582543,3503,20
37,1,0.440965470670013,3504,20
37,0,0.47864980803334034,3503,20
38,1,0.784860334732325,3504,20
38,0,0.23646626566646636,3503,20
39,1,0.30696335850857237,3504,20
