round,client_id,update_norm,n_samples,local_epochs,tau
1,1,6.0949977256168975,2102,20,1320
1,0,8.021631455576918,4905,20,3080
2,1,5.433614337490602,2102,20,1320
2,0,8.590983759313687,4905,20,3080
3,0,9.56198757752816,4905,20,3080
3,1,6.480762882266121,2102,20,1320
4,1,5.595167122614111,2102,20,1320
4,0,7.735645670795912,4905,20,3080
5,1,3.5377408779033153,2102,20,1320
5,0,5.4839508702281154,4905,20,3080
6,0,3.4125704244804065,4905,20,3080
6,1,3.3311007475263694,2102,20,1320
7,0,2.778667050794393,4905,20,3080
7,1,3.1800071795185656,2102,20,1320
8,1,2.6116225421568218,2102,20,1320
8,0,2.720572297171048,4905,20,3080
9,0,3.3932059365032003,4905,20,3080
9,1,2.458034515829142,2102,20,1320
10,1,1.851218011807766,2102,20,1320
10,0,2.094743411204132,4905,20,3080
11,0,2.3689991191888713,4905,20,3080
11,1,2.267804391274042,2102,20,1320
12,0,2.3063481556336503,4905,20,3080
12,1,2.1831898737426547,2102,20,1320
13,1,3.213172484214066,2102,20,1320
13,0,3.2231314391471004,4905,20,3080
14,1,1.3654692137395883,2102,20,1320
14,0,1.9153108124448617,4905,20,3080
15,0,2.388688667229167,4905,20,3080
15,1,2.055222867380234,2102,20,1320
16,0,2.327505242902979,4905,20,3080
16,1,1.7815728353858755,2102,20,1320
17,0,2.930630049091548,4905,20,3080
17,1,1.8621723340679597,2102,20,1320
18,0,1.819733363033091,4905,20,3080
18,1,1.5373102420662588,2102,20,1320
19,1,2.2620101916448467,2102,20,1320
19,0,1.2518124197573215,4905,20,3080
20,1,1.1542841444574035,2102,20,1320
20,0,1.8868133566483405,4905,20,3080
21,1,2.133789625745631,2102,20,1320
21,0,3.3662767744952533,4905,20,3080
22,1,1.4675204383401557,2102,20,1320
22,0,1.6910639897513853,4905,20,3080
23,0,1.0475582474745657,4905,20,3080
23,1,1.82968168928314,2102,20,1320
24,0,2.7504308714445354,4905,20,3080
24,1,1.0321397771714205,2102,20,1320
25,0,0.5257459406079433,4905,20,3080
25,1,2.245861147848778,2102,20,1320
26,1,1.2406122848009387,2102,20,1320
26,0,2.620725442017994,4905,20,3080
27,1,1.9818137641761966,2102,20,1320
27,0,0.7383347538678675,4905,20,3080
28,0,2.1243460797021463,4905,20,3080
28,1,1.7175312683765795,2102,20,1320
29,1,1.9932601143405977,2102,20,1320
29,0,0.5777103822473698,4905,20,3080
30,0,2.7651961455654694,4905,20,3080
30,1,1.2180674087762169,2102,20,1320
31,0,1.0525617484223437,4905,20,3080
31,1,1.7764825629958123,2102,20,1320
32,1,1.6656719816835306,2102,20,1320
32,0,1.9912482451428315,4905,20,3080
33,1,1.764585995265684,2102,20,1320
33,0,0.5755568783036618,4905,20,3080
34,1,0.8750388246573205,2102,20,1320
34,0,2.3043458293460484,4905,20,3080
35,0,0.4181434812922236,4905,20,3080
35,1,1.711423722898192,2102,20,1320
36,0,2.1248239662218977,4905,20,3080
36,1,0.7148274755234518,2102,20,1320
37,0,2.0214553452338024,4905,20,3080
37,1,1.592765737836077,2102,20,1320
38,0,1.8016587315835546,4905,20,3080
38,1,1.4587021440001848,2102,20,1320
39,0,0.7841021511603383,4905,20,3080
39,1,1.4215843541826259,2102,20,1320
40,1,0.8892452017954016,2102,20,1320
40,0,1.8022352628722085,4905,20,3080
41,0,0.4876368731815058,4905,20,3080
41,1,1.8185843619551632,2102,20,1320
42,1,0.7724056580874871,2102,20,1320
42,0,2.52770690925309,4905,20,3080
43,0,0.3685669777608761,4905,20,3080
43,1,1.5248275190441056,2102,20,1320
44,0,2.185882652420324,4905,20,3080
44,1,0.6906014805592244,2102,20,1320
45,0,0.3962200815123973,4905,20,3080
45,1,2.0405645066495075,2102,20,1320
46,1,0.9685234108802497,2102,20,1320
46,0,2.293752831842148,4905,20,3080
47,1,1.8565726665414184,2102,20,1320
47,0,0.30289662796579925,4905,20,3080
48,0,2.3865387352543914,4905,20,3080
48,1,0.9156399898168565,2102,20,1320
49,0,0.34491635194304,4905,20,3080
49,1,1.812411635328739,2102,20,1320
50,0,1.5543334326513747,4905,20,3080
50,1,0.5470514338657204,2102,20,1320
51,0,0.31582660676192914,4905,20,3080
51,1,1.7136172002357177,2102,20,1320
52,1,0.5924903121188159,2102,20,1320
52,0,2.216464985402892,4905,20,3080
53,1,1.3859962471330125,2102,20,1320
53,0,0.379913817926596,4905,20,3080
54,0,2.4413823222820064,4905,20,3080
54,1,0.7679606372588185,2102,20,1320
55,1,1.6253130225848191,2102,20,1320
55,0,0.3114606973845377,4905,20,3080
56,0,2.7890731652675007,4905,20,3080
56,1,0.5804772277801098,2102,20,1320
57,0,0.2932997255646146,4905,20,3080
57,1,1.8572323646001616,2102,20,1320
58,0,1.6465315622275272,4905,20,3080
58,1,0.6256838241754639,2102,20,1320
59,0,0.31656969760454895,4905,20,3080
59,1,1.8442733691182935,2102,20,1320
60,1,1.0020329719528167,2102,20,1320
60,0,1.6882610164400786,4905,20,3080
61,1,1.6652669748105382,2102,20,1320
61,0,0.45504376937797697,4905,20,3080
62,0,1.8735827614790719,4905,20,3080
