round,client_id,update_norm,n_samples,local_epochs
1,1,1.0187531370597076,959,5
1,0,3.87246359608096,6048,20
2,0,3.7994168722008115,6048,20
2,1,0.8095865048974276,959,5
3,1,1.0480794071447155,959,5
3,0,4.22933569646394,6048,20
4,1,1.294105781745343,959,5
4,0,3.598257564226032,6048,20
5,0,1.6295892794510904,6048,20
5,1,1.4499125028951865,959,5
6,0,0.3451178317864063,6048,20
6,1,1.5615782510991025,959,5
7,1,1.517199861484551,959,5
7,0,0.21889962584654968,6048,20
8,0,0.17364223439474627,6048,20
8,1,1.4769738402261465,959,5
9,0,0.1498169533117218,6048,20
9,1,1.5201223265011634,959,5
10,0,0.14252545732798338,6048,20
10,1,1.5101338274907652,959,5
11,1,1.4767899251452987,959,5
11,0,0.13538091134580438,6048,20
12,0,0.13014906881703564,6048,20
12,1,1.5463033031033826,959,5
13,0,0.12971733366275015,6048,20
13,1,1.3599771029280454,959,5
14,0,0.1197991249540666,6048,20
14,1,1.327312441258896,959,5
15,0,0.9053338658451758,6048,20
15,1,1.3642559841721158,959,5
16,1,1.4119339023063688,959,5
16,0,0.10243802870328943,6048,20
17,1,1.1524270528359746,959,5
17,0,0.10501519068123927,6048,20
18,0,0.09245378948635462,6048,20
18,1,1.2859183084651802,959,5
19,0,0.09584673392528649,6048,20
19,1,1.322476514411395,959,5
20,0,0.09722130019952764,6048,20
20,1,1.2472374151785999,959,5
21,0,0.09886221319948083,6048,20
21,1,1.260531373594432,959,5
22,0,0.09294493527414775,6048,20
22,1,1.0016652677975308,959,5
23,0,0.08398483061066643,6048,20
23,1,1.0858065286788763,959,5
24,1,0.8298745216684608,959,5
24,0,0.0883379540627624,6048,20
25,0,0.07773453926314731,6048,20
25,1,1.0300037812985916,959,5
26,0,0.07715296554066893,6048,20
26,1,1.0908505736353489,959,5
27,0,0.07757006538071713,6048,20
27,1,0.7771477621021865,959,5
28,1,0.943753320292128,959,5
28,0,0.07214034758203541,6048,20
29,0,0.0707910134079256,6048,20
29,1,0.9417180425003868,959,5
30,1,1.0153811356741624,959,5
30,0,0.07406960505261015,6048,20
31,1,0.8065586169881099,959,5
31,0,0.07196591703586175,6048,20
32,0,0.06860058446736221,6048,20
32,1,1.116106384922184,959,5
33,1,0.8930966184871593,959,5
33,0,0.08081908438695397,6048,20
34,0,0.06995185635996404,6048,20
34,1,0.10184925743578832,959,5
35,0,0.04813913990810773,6048,20
35,1,0.7637331783591933,959,5
36,1,0.07871880660933886,959,5
36,0,0.06041191250459947,6048,20
37,0,0.037580560471381155,6048,20
37,1,0.9030441255279601,959,5
38,1,0.07760586795768273,959,5
38,0,0.05085795954086524,6048,20
39,1,0.8205683706794984,959,5
39,0,0.037334324562508736,6048,20
40,1,0.9163747325590755,959,5
40,0,0.04751497172090414,6048,20
41,1,1.0550507329454262,959,5
41,0,0.057257775943595005,6048,20
42,1,0.05499557236647857,959,5
42,0,0.060409008893998604,6048,20
43,0,0.03966636976615399,6048,20
43,1,0.08418257376054407,959,5
44,1,0.10852161665822997,959,5
44,0,0.03433387389529511,6048,20
45,1,0.07487352198304967,959,5
45,0,0.029108279154900423,6048,20
46,0,0.025200279984055645,6048,20
46,1,0.8897397718128398,959,5
47,0,0.036193225205617165,6048,20
47,1,0.042239582586357204,959,5
48,0,0.03143850480156145,6048,20
48,1,1.0779849958630843,959,5
49,0,0.04393905815175372,6048,20
49,1,0.04171748229444127,959,5
50,1,0.05093417427762848,959,5
50,0,0.030494607050616004,6048,20
51,0,0.02541147712859685,6048,20
51,1,0.04609570109707481,959,5
52,1,0.11716836467252949,959,5
52,0,0.023318558160873356,6048,20
53,1,0.044107455813204834,959,5
53,0,0.023276878117773417,6048,20
54,1,0.044858190043792726,959,5
54,0,0.02003117066932235,6048,20
55,0,0.021069211310658687,6048,20
55,1,0.044540682676084645,959,5
56,1,0.055854994990591475,959,5
56,0,0.017206134055476562,6048,20
57,1,0.0593389402194238,959,5
57,0,0.01652728811591696,6048,20
58,1,0.05352129783747554,959,5
58,0,0.015528868074639681,6048,20
59,0,0.014034355236394607,6048,20
59,1,0.061178791675105273,959,5
60,0,0.019105894746210293,6048,20
60,1,0.05794718296122516,959,5
61,1,0.045004940037848114,959,5
61,0,0.013337652931550531,6048,20
62,0,0.014647453048978078,6048,20
62,1,0.061177713210517126,959,5
63,0,0.01282877719064827,6048,20
63,1,0.9211654910238506,959,5
64,1,0.0286099346146986,959,5
64,0,0.02811588585095259,6048,20
65,0,0.0188208852505688,6048,20
65,1,0.039949527413839184,959,5
66,1,0.04590364646417414,959,5
66,0,0.016349396266287876,6048,20
67,1,0.9022561099279521,959,5
67,0,0.015510034502488097,6048,20
68,0,0.02757089017009869,6048,20
68,1,0.03180401150732524,959,5
69,1,0.037659126723367735,959,5
69,0,0.01864641077721078,6048,20
70,1,0.02714626351125324,959,5
70,0,0.020878862920521993,6048,20
71,0,0.015816475241985654,6048,20
71,1,0.0314388228313299,959,5
72,0,0.01340155579213286,6048,20
72,1,0.08319794013097924,959,5
73,0,0.012297209419510811,6048,20
73,1,0.03826739599719471,959,5
74,1,0.037581494687992205,959,5
74,0,0.02126290830385903,6048,20
75,1,0.03233577756707239,959,5
75,0,0.012784641790139483,6048,20
76,0,0.013319762574440546,6048,20
76,1,0.06176254416840234,959,5
77,0,0.01055036112097383,6048,20
77,1,0.05417801183650697,959,5
78,1,0.023816768974792926,959,5
78,0,0.01442511710850525,6048,20
79,1,0.044417473220289896,959,5
79,0,0.010199615137150118,6048,20
80,0,0.011460034778736488,6048,20
80,1,0.03508079947394024,959,5
