round,client_id,update_norm,n_samples,local_epochs
1,6,2.0258044629216765,673,20
1,0,3.882315370949533,964,20
1,1,4.2444596362260265,963,20
1,2,3.8618398520920136,1095,20
1,4,4.231902465265144,1110,20
1,3,3.869355662134444,1094,20
1,5,4.157442483517356,1108,20
2,2,3.3732196671979393,1095,20
2,5,3.8654642502181225,1108,20
2,0,3.7348487247672693,964,20
2,1,3.3249602776118024,963,20
2,6,0.2894368298035902,673,20
2,3,3.4621298395190663,1094,20
2,4,3.887144833080355,1110,20
3,2,3.7080101279907707,1095,20
3,5,3.770069015556388,1108,20
3,4,3.43709272448277,1110,20
3,0,3.6609639368748703,964,20
3,3,3.4882456921643517,1094,20
3,1,3.290666397711,963,20
3,6,0.5909815218884295,673,20
4,4,3.5713668641652103,1110,20
4,1,3.352078715614628,963,20
4,3,3.7335458025555655,1094,20
4,5,4.0659889679801875,1108,20
4,2,3.9452353681566357,1095,20
4,0,3.6450735310911386,964,20
4,6,0.5001469608401305,673,20
5,4,4.075963592970769,1110,20
5,5,4.535522028636541,1108,20
5,6,0.4795183550536702,673,20
5,1,3.601474746732772,963,20
5,0,3.61332270651483,964,20
5,3,4.258997787313306,1094,20
5,2,4.340011196486604,1095,20
6,4,4.562392459067329,1110,20
6,2,4.645942726778513,1095,20
6,1,3.832919655855902,963,20
6,6,0.4105519334468947,673,20
6,0,3.6287202201213105,964,20
6,3,4.610003497742733,1094,20
6,5,4.609461368930626,1108,20
7,2,4.154853392952438,1095,20
7,6,0.48949279253953376,673,20
7,0,3.6304843160458997,964,20
7,4,4.622553106747848,1110,20
7,1,3.5762285853591664,963,20
7,5,4.399564102755021,1108,20
7,3,4.73147348471474,1094,20
8,1,4.7388551660413105,963,20
8,3,4.525976136445547,1094,20
8,4,4.388194519464816,1110,20
8,0,3.665299797388896,964,20
8,2,4.480233637635626,1095,20
8,5,4.0878515729155875,1108,20
8,6,0.5330255991456997,673,20
9,4,3.060296235950616,1110,20
9,1,2.932145879834094,963,20
9,0,2.7469727288040486,964,20
9,2,4.054470975889913,1095,20
9,6,0.4458485036348081,673,20
9,3,4.165516482025713,1094,20
9,5,4.010251208376155,1108,20
10,6,0.5329108884519319,673,20
10,0,3.891048662873218,964,20
10,1,3.5554853677561113,963,20
10,3,3.705300729256435,1094,20
10,5,2.7934557309929886,1108,20
