round,client_id,update_norm,n_samples,local_epochs
1,0,0.46058152142814707,3506,20
1,1,0.46763063230072116,3501,20
2,0,0.27490261582185227,3506,20
2,1,0.31666604454468505,3501,20
3,1,0.28616785808620193,3501,20
3,0,0.24233835931963485,3506,20
4,1,0.23304424323455084,3501,20
4,0,0.22630793094277332,3506,20
5,0,0.19681364644369492,3506,20
5,1,0.20153825298160596,3501,20
6,1,0.1917971897404436,3501,20
6,0,0.23199470883502957,3506,20
7,1,0.19903912407010413,3501,20
7,0,0.2070413721045058,3506,20
8,0,0.1769775720459956,3506,20
8,1,0.21950625527679438,3501,20
9,0,0.20771332238455714,3506,20
9,1,0.2029453248965159,3501,20
10,0,0.1791393934855296,3506,20
10,1,0.18918094127899102,3501,20
11,1,0.27871845878646595,3501,20
11,0,0.19200343537883238,3506,20
12,0,0.2478428450610667,3506,20
12,1,0.3270336741331015,3501,20
13,0,0.20562699541129428,3506,20
13,1,0.20702629488875685,3501,20
14,0,0.22278005368581447,3506,20
14,1,0.2206319518557184,3501,20
15,1,0.22678135943868333,3501,20
15,0,0.21598969170342133,3506,20
16,0,0.20731711207798598,3506,20
16,1,0.19692704919412823,3501,20
17,0,0.19718177776511922,3506,20
17,1,0.18752742196319422,3501,20
18,1,0.20438216503383558,3501,20
18,0,0.19431838070162827,3506,20
19,1,0.18999173591467322,3501,20
19,0,0.21023729993566562,3506,20
20,0,0.19504850599435292,3506,20
20,1,0.22070066984886305,3501,20
21,1,0.19149621921834092,3501,20
21,0,0.18526846864115323,3506,20
22,1,0.2230949210747975,3501,20
22,0,0.19989947082081547,3506,20
23,0,0.21085942886266812,3506,20
23,1,0.20490601388090807,3501,20
24,0,0.20609085837598615,3506,20
24,1,0.40050159860397205,3501,20
25,1,0.27095246748574553,3501,20
25,0,0.2470215620137954,3506,20
26,0,0.18692745982676442,3506,20
26,1,0.18358108756366204,3501,20
27,1,0.17673862736057924,3501,20
27,0,0.19247035218964528,3506,20
28,1,0.18407594529394958,3501,20
28,0,0.18267905343508636,3506,20
29,0,0.18028650831679127,3506,20
29,1,0.2738684781495501,3501,20
30,1,0.20347148016229266,3501,20
30,0,0.21469969233695063,3506,20
31,1,0.21468607312466637,3501,20
31,0,0.17225713634925166,3506,20
32,1,0.1798771703112397,3501,20
32,0,0.21281869197649878,3506,20
33,0,0.22036227950010492,3506,20
33,1,0.19249901302871078,3501,20
34,0,0.22413107319403733,3506,20
34,1,0.24906585908421353,3501,20
35,0,0.20226483809249465,3506,20
35,1,0.20393815987772865,3501,20
36,0,0.20994369928833823,3506,20
36,1,0.18696635192384808,3501,20
37,1,0.22195952398488933,3501,20
37,0,0.21059989759628645,3506,20
38,1,0.21573334616375459,3501,20
38,0,0.20226682278102162,3506,20
39,1,0.218054746733115,3501,20
39,0,0.1894461101683472,3506,20
40,1,0.23151016946221628,3501,20
40,0,0.19287646700941705,3506,20
41,1,0.1801454013057157,3501,20
41,0,0.20319579100933796,3506,20
42,0,0.19844545479991796,3506,20
42,1,0.2560654223895506,3501,20
43,1,0.24982690131354887,3501,20
43,0,0.19564479477282246,3506,20
44,0,0.22357092873767703,3506,20
44,1,0.2093230003396803,3501,20
45,0,0.22115595939817437,3506,20
45,1,0.2818910638042504,3501,20
46,0,0.20907453772980233,3506,20
46,1,0.27772907081836984,3501,20
47,0,0.21278730337309987,3506,20
47,1,0.22893914503897125,3501,20
48,0,0.19669372581388747,3506,20
48,1,0.18819370359452353,3501,20
49,0,0.1994978969486908,3506,20
49,1,0.31256117773052877,3501,20
50,0,0.20858081386006497,3506,20
50,1,0.21934897719613503,3501,20
51,0,0.20301408351892364,3506,20
51,1,0.28156213503315336,3501,20
52,0,0.21678465583692347,3506,20
52,1,0.203734093690165,3501,20
53,0,0.2208592756269737,3506,20
53,1,0.19899567840064186,3501,20
54,0,0.21798888035242112,3506,20
54,1,0.23645516814317158,3501,20
55,1,0.28672647285526076,3501,20
55,0,0.23671317919062704,3506,20
56,0,0.19916547878019844,3506,20
56,1,0.2761698607950817,3501,20
57,0,0.2492818024185582,3506,20
57,1,0.2419516925751555,3501,20
58,0,0.23922984254277865,3506,20
58,1,0.3492114251222831,3501,20
59,1,0.4059083526708352,3501,20
59,0,0.2224981869859453,3506,20
60,1,0.2231476309802563,3501,20
60,0,0.22543880580095246,3506,20
61,1,0.2877654749442562,3501,20
61,0,0.21218051172331154,3506,20
62,0,0.22605243830302074,3506,20
62,1,0.34546812417850614,3501,20
63,1,0.37453923364518077,3501,20
63,0,0.23959887559018633,3506,20
64,0,0.25681347883342726,3506,20
64,1,0.26902319103643557,3501,20
65,1,0.30148116611142467,3501,20
65,0,0.21002449141771193,3506,20
66,1,0.4732913618789488,3501,20
66,0,0.21852842539224043,3506,20
67,1,0.3792225690522714,3501,20
67,0,0.23426383505804352,3506,20
68,0,0.24051214620550382,3506,20
68,1,0.23962596262448005,3501,20
69,1,0.2825264956686953,3501,20
69,0,0.21018532549193172,3506,20
70,0,0.2255090154256011,3506,20
70,1,0.4290258169769328,3501,20
71,0,0.2804711076370721,3506,20
71,1,0.39645370662561624,3501,20
72,0,0.30603000410448117,3506,20
72,1,0.3771085358747861,3501,20
73,1,0.26280780926793745,3501,20
73,0,0.2798880154792594,3506,20
74,0,0.2395807961164862,3506,20
74,1,0.42369677848850856,3501,20
75,0,0.24867671002432287,3506,20
75,1,0.3360243953173926,3501,20
76,0,0.20723085976935174,3506,20
76,1,0.21347426289874344,3501,20
77,0,0.2466910101541291,3506,20
77,1,0.22032198843794362,3501,20
78,1,0.20699478456197148,3501,20
78,0,0.24572835289639536,3506,20
79,1,0.23880644613266266,3501,20
79,0,0.22400999167226351,3506,20
80,1,0.24379686535248504,3501,20
80,0,0.2227665074434608,3506,20
81,0,0.21884273696487888,3506,20
81,1,0.22204075977247903,3501,20
82,1,0.29488781088073984,3501,20
82,0,0.23053053971026255,3506,20
