level,partition,label,js_divergence,algorithm,mu,selected_round,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular
L0,two_client_50_50_stratified_iid,IID 50/50,0.0,fedavg,0.0,19,0.6083781651587098,0.5889717465369184,0.557519656852496,0.5693430656934306,0.5608465608465608,0.5550239234449761,0.46153846153846156,0.47417840375586856,0.9008746355685131,0.7368421052631579
L0,two_client_50_50_stratified_iid,IID 50/50,0.0,fedprox,0.001,41,0.6194146671385551,0.6038722706210915,0.5819172467046984,0.5454545454545454,0.5870646766169154,0.5614849187935035,0.47619047619047616,0.4771084337349398,0.8961467889908257,0.7924528301886793
L0,two_client_50_50_stratified_iid,IID 50/50,0.0,fedprox,0.01,10,0.5982908372730547,0.5757920323463953,0.5278000892458724,0.556390977443609,0.5757575757575758,0.5788235294117647,0.4444444444444444,0.472289156626506,0.8936635105608157,0.6666666666666666
L0,two_client_50_50_stratified_iid,IID 50/50,0.0,fedprox,0.1,113,0.5983351981943297,0.5865325911449332,0.5606892567159308,0.5038167938931297,0.5360824742268041,0.5748218527315915,0.5238095238095238,0.46973365617433416,0.8915574963609898,0.6885245901639344
L0,two_client_50_50_stratified_iid,IID 50/50,0.0,fedprox,1.0,132,0.5442472649343466,0.5410573159853264,0.43815700048120093,0.5121951219512195,0.5148514851485149,0.5708333333333333,0.20689655172413793,0.42900302114803623,0.8973799126637555,0.6785714285714286
L2,two_client_50_50_label_skew_only,Label-skew 50/50,0.1037,fedavg,0.0,132,0.5489358046089473,0.5423231952340196,0.4767808136697533,0.5196850393700787,0.5145631067961165,0.4823848238482385,0.3829787234042553,0.3806970509383378,0.8955752212389381,0.6666666666666666
L2,two_client_50_50_label_skew_only,Label-skew 50/50,0.1037,fedprox,0.001,141,0.5701309821519082,0.548361329159736,0.5110037573805689,0.5285714285714286,0.5368421052631579,0.5,0.4444444444444444,0.34782608695652173,0.8924920690870638,0.7407407407407407
L2,two_client_50_50_label_skew_only,Label-skew 50/50,0.1037,fedprox,0.01,128,0.5664236326444361,0.5598116724984556,0.4968694349112561,0.6015037593984962,0.519774011299435,0.46153846153846156,0.3793103448275862,0.36553524804177545,0.8915408915408916,0.7457627118644068
L2,two_client_50_50_label_skew_only,Label-skew 50/50,0.1037,fedprox,0.1,66,0.5324797839801831,0.5237722423401927,0.4542618664763964,0.4925373134328358,0.4942528735632184,0.48663101604278075,0.35294117647058826,0.33242506811989103,0.8911516853932584,0.6774193548387096
L2,two_client_50_50_label_skew_only,Label-skew 50/50,0.1037,fedprox,1.0,135,0.48804965299093894,0.4604957810743409,0.43796904315197,0.3364485981308411,0.4648648648648649,0.41420118343195267,0.0975609756097561,0.40865384615384615,0.8869257950530035,0.8076923076923077
L4,two_client_90_10_rare_stress,Severe 90/10,0.3853,fedavg,0.0,97,0.5179682047532733,0.546453352070891,0.3879491270930339,0.4970414201183432,0.5395348837209303,0.5478260869565217,0.0975609756097561,0.3645320197044335,0.8775276611980161,0.7017543859649122
L4,two_client_90_10_rare_stress,Severe 90/10,0.3853,fedprox,0.001,121,0.4612935443431995,0.4815817371516213,0.2848097412480974,0.4536082474226804,0.4895833333333333,0.553014553014553,0.0,0.3744292237442922,0.878419452887538,0.48
L4,two_client_90_10_rare_stress,Severe 90/10,0.3853,fedprox,0.01,146,0.49344820234819037,0.506345962381882,0.3068764658882961,0.5359477124183006,0.5673076923076923,0.5495049504950495,0.07407407407407407,0.3465553235908142,0.8807476635514019,0.5
L4,two_client_90_10_rare_stress,Severe 90/10,0.3853,fedprox,0.1,145,0.4266392429814928,0.43747885738534836,0.15672990063233966,0.5180722891566265,0.5471698113207547,0.5608247422680412,0.0,0.08130081300813008,0.8902181562280085,0.3888888888888889
L4,two_client_90_10_rare_stress,Severe 90/10,0.3853,fedprox,1.0,149,0.3660349644645569,0.37637760014281324,0.03381642512077295,0.512396694214876,0.5135135135135135,0.5571725571725572,0.0,0.034782608695652174,0.8777127109886325,0.06666666666666667
