round,client_id,update_norm,n_samples,local_epochs
1,1,3.7532562624205537,963,20
1,0,3.7454149995714148,964,20
1,2,3.9400581602877813,1095,20
1,5,2.1083399697981164,1108,5
1,3,4.0057730587856275,1094,20
1,4,4.278695124325847,1110,20
1,6,2.09459547453192,673,5
2,1,3.2340515783618544,963,20
2,5,2.45274095503022,1108,5
2,6,0.18243758026964277,673,5
2,4,4.2440240949666075,1110,20
2,3,3.494377234094202,1094,20
2,2,3.5793873217717995,1095,20
2,0,3.4876476469951996,964,20
3,6,0.7139989649458868,673,5
3,0,3.369778924118367,964,20
3,3,3.528474772081542,1094,20
3,4,3.810243035293467,1110,20
3,1,3.1289663419106732,963,20
3,2,3.4954391139101197,1095,20
3,5,1.7018310266033285,1108,5
4,3,3.8118649280536516,1094,20
4,2,3.5311065365371053,1095,20
4,4,3.691738632351024,1110,20
4,1,3.230265837610579,963,20
4,5,1.6272674772827387,1108,5
4,6,0.25537719583001817,673,5
4,0,3.5255699053949088,964,20
5,4,3.9535535399458213,1110,20
5,3,4.081070007126495,1094,20
5,5,1.4947260244247687,1108,5
5,2,4.191978848778407,1095,20
5,1,3.3811653601636853,963,20
5,0,3.9968297034992997,964,20
5,6,0.4337576476313068,673,5
6,4,4.196265429547402,1110,20
6,6,0.4006111980159813,673,5
6,0,3.8265330848872225,964,20
6,1,3.6934107316920954,963,20
6,3,4.434519609371239,1094,20
6,5,1.639683076159189,1108,5
6,2,4.471225976395648,1095,20
7,4,4.366956541618874,1110,20
7,5,1.5786794512748628,1108,5
7,3,4.577145163753848,1094,20
7,0,4.072686789413619,964,20
7,1,3.830923802426237,963,20
7,6,0.35531629364030193,673,5
7,2,4.626795834197544,1095,20
8,6,0.3798633413044611,673,5
8,5,1.6809888025990365,1108,5
8,1,3.5540879133479386,963,20
8,0,3.8887165336692338,964,20
8,2,4.287837867078788,1095,20
8,3,4.395891023375987,1094,20
8,4,4.397311803712657,1110,20
9,5,1.81829881490178,1108,5
9,6,0.42035853124623807,673,5
9,1,3.787086805851011,963,20
9,0,3.9748109279335986,964,20
9,3,3.8125813282102534,1094,20
9,4,4.031989242832599,1110,20
9,2,4.082100597407722,1095,20
10,0,4.434841090560021,964,20
10,4,3.8770144441867105,1110,20
10,3,4.046789289710462,1094,20
10,1,2.8427877219774857,963,20
10,2,3.9491714406906624,1095,20
10,5,1.940914286455408,1108,5
10,6,0.4149476553298652,673,5
11,6,0.4900819487708971,673,5
11,0,2.695651832411423,964,20
11,5,1.9659295850412646,1108,5
11,2,3.7726650527426107,1095,20
11,4,2.774671135453851,1110,20
11,1,2.8610082410162003,963,20
11,3,2.720034269499492,1094,20
12,6,0.497018023012514,673,5
12,5,2.0204062922599952,1108,5
12,3,3.318040885780952,1094,20
12,2,4.053378459322835,1095,20
12,0,2.2024413819869633,964,20
12,1,2.2313499098855942,963,20
12,4,2.5096937736332965,1110,20
13,4,3.0847880456071115,1110,20
13,0,2.002452735112154,964,20
13,3,3.259856890354186,1094,20
13,5,2.1226826002890435,1108,5
13,1,2.3593976897906512,963,20
13,2,3.2566674008097243,1095,20
13,6,0.36866538037761565,673,5
14,6,0.38142504910349956,673,5
14,2,3.3316691444943456,1095,20
14,5,2.1874011908118995,1108,5
14,4,3.1270334726004028,1110,20
14,3,2.3063186787679486,1094,20
14,1,2.392327272884019,963,20
14,0,2.785976317520284,964,20
15,5,2.1664384942669277,1108,5
15,0,2.5706349918724305,964,20
15,4,3.1488242331147323,1110,20
15,1,2.2201803902287547,963,20
15,2,2.3443222538106334,1095,20
15,3,2.101621075965458,1094,20
15,6,0.4400065168493124,673,5
16,4,2.4374505446426156,1110,20
16,6,0.45086950012730365,673,5
16,2,2.520593389480252,1095,20
16,5,2.167306239649066,1108,5
16,1,2.235135407383579,963,20
16,0,4.828711093238064,964,20
16,3,2.7848080301102844,1094,20
17,6,0.6237733148761675,673,5
17,5,2.1570902472876132,1108,5
17,4,2.155216330730035,1110,20
17,2,2.188146893904839,1095,20
17,1,2.2217753647404828,963,20
17,3,3.042549378166507,1094,20
17,0,2.0090457808727518,964,20
18,5,2.1795066257123796,1108,5
18,3,2.4306278357095903,1094,20
18,0,2.492265795683472,964,20
18,2,2.6001610766024355,1095,20
18,1,2.3266325160574652,963,20
18,6,0.37803708903174754,673,5
18,4,2.564755786184412,1110,20
19,2,2.4204506467522293,1095,20
19,5,2.1024517330577615,1108,5
19,3,2.7057259356486254,1094,20
19,6,0.40852108531884546,673,5
19,1,1.5479780427643408,963,20
19,0,1.9170432817926297,964,20
19,4,1.6898054904790136,1110,20
20,4,1.560281164239406,1110,20
20,3,2.227032521991143,1094,20
20,6,0.370756993513907,673,5
20,1,1.9628389255911762,963,20
