round,client_id,update_norm,n_samples,local_epochs
1,1,3.730793277923999,1001,20
1,0,3.75952956710448,1001,20
1,6,1.9904340427154876,1001,5
1,2,3.7081618987944434,1001,20
1,3,3.70886148440517,1001,20
1,4,3.7625177277577446,1001,20
1,5,1.8886470607308614,1001,5
2,4,3.376986337506111,1001,20
2,5,1.2658120270019309,1001,5
2,3,3.5452384468594977,1001,20
2,0,3.7296724816845255,1001,20
2,1,3.3090864061504477,1001,20
2,6,1.2645867760740686,1001,5
2,2,3.397942799309345,1001,20
3,4,3.6471825828066162,1001,20
3,5,1.3781756736233672,1001,5
3,3,3.7461547369800514,1001,20
3,0,3.997070550516978,1001,20
3,2,3.809654080055794,1001,20
3,1,3.591004855792238,1001,20
3,6,1.2413957924472832,1001,5
4,1,3.976452946042274,1001,20
4,3,3.8747492432930786,1001,20
4,4,4.1414479580399854,1001,20
4,6,1.367658817808913,1001,5
4,2,4.311272396509947,1001,20
4,0,4.530431902245574,1001,20
4,5,1.5628305128707265,1001,5
5,6,1.5422927600104672,1001,5
5,0,4.836968825324289,1001,20
5,3,4.491806065058821,1001,20
5,5,1.6585571023995758,1001,5
5,1,4.637277985454309,1001,20
5,4,4.585702994099295,1001,20
5,2,4.5071113795979265,1001,20
6,2,5.066332184439185,1001,20
6,0,5.221674346184903,1001,20
6,5,1.8513444625868603,1001,5
6,4,4.984660467501216,1001,20
6,1,4.8663464663688325,1001,20
6,3,4.990102966267469,1001,20
6,6,1.7985077755558672,1001,5
7,1,5.13205898119246,1001,20
7,2,4.9732289015110185,1001,20
7,6,1.9240556085716827,1001,5
7,3,5.010502703550636,1001,20
7,4,5.233719675382648,1001,20
7,0,5.240174600763021,1001,20
7,5,2.0598526634192735,1001,5
8,5,2.3240914337468306,1001,5
8,4,5.07474262850915,1001,20
8,3,5.025040498974012,1001,20
8,1,5.050964156307965,1001,20
8,2,4.974843068820739,1001,20
8,0,4.510622982573692,1001,20
8,6,2.2187147096252113,1001,5
9,3,4.70528325468506,1001,20
9,1,4.5259412059502715,1001,20
9,6,2.3828852746530735,1001,5
9,2,4.13298885981242,1001,20
9,5,2.5880599329981866,1001,5
9,4,4.913770887274641,1001,20
9,0,4.981688677809373,1001,20
10,4,4.220828544576304,1001,20
10,5,2.6035555323439703,1001,5
10,3,3.471050413488346,1001,20
10,1,4.93982297554304,1001,20
10,6,2.523704885214296,1001,5
10,2,4.621048357778065,1001,20
10,0,4.51068315673205,1001,20
11,6,2.5585587857720165,1001,5
11,1,4.522371970261741,1001,20
11,4,4.134878969187747,1001,20
11,0,3.8299594120336633,1001,20
11,5,2.845519965522857,1001,5
11,2,3.3294254618734374,1001,20
11,3,4.230442119979941,1001,20
12,5,2.8712389707602117,1001,5
12,3,4.4024163081736365,1001,20
12,1,4.271093101935262,1001,20
12,2,3.8831824442106813,1001,20
12,4,3.1818465072167186,1001,20
12,6,2.6294339696577156,1001,5
12,0,3.5988521251401733,1001,20
13,3,2.404859751834439,1001,20
13,4,3.1975697591098093,1001,20
13,5,3.315004457794492,1001,5
13,2,4.183115643689262,1001,20
13,0,3.4457951459804907,1001,20
13,6,2.6198325382757126,1001,5
13,1,3.762824454860314,1001,20
14,6,2.68771318287349,1001,5
14,2,3.544976638298217,1001,20
14,4,4.311282384171086,1001,20
14,0,3.7266805871979676,1001,20
14,1,2.6354965181445165,1001,20
14,5,2.809088167689438,1001,5
14,3,3.592334646116145,1001,20
15,0,2.6544538488364995,1001,20
15,2,2.554191722680981,1001,20
15,4,3.9023192139688967,1001,20
15,3,2.7591101496040804,1001,20
15,5,3.003194420356644,1001,5
15,6,2.778487345552399,1001,5
15,1,2.4826103282162983,1001,20
16,2,2.5021218548824105,1001,20
16,6,2.9132271559709104,1001,5
16,1,2.6759588322143673,1001,20
16,3,3.6807350717680767,1001,20
16,0,2.5075146996412494,1001,20
16,5,2.930786049402079,1001,5
16,4,2.4008556986445018,1001,20
17,2,3.2279486559751382,1001,20
17,6,2.8799272813658887,1001,5
17,1,2.856693567502002,1001,20
17,5,3.0918020368864982,1001,5
17,0,2.937244258637028,1001,20
17,3,2.9241376980836615,1001,20
17,4,2.510352407968476,1001,20
18,4,2.7395199586643515,1001,20
18,6,2.8983821190934873,1001,5
18,5,2.9645162416804203,1001,5
18,0,2.5607730073699897,1001,20
18,1,2.436232999114894,1001,20
18,2,2.8346158134376807,1001,20
18,3,2.499514451858778,1001,20
19,3,2.400947249633266,1001,20
19,0,3.351931693571229,1001,20
19,1,2.6366057305854422,1001,20
19,5,2.8715952839011982,1001,5
19,6,2.7005585022386676,1001,5
19,2,2.8835455047387315,1001,20
19,4,2.7427924308066207,1001,20
20,4,3.1299793340317787,1001,20
20,2,2.853156044591636,1001,20
20,0,2.9043024849151644,1001,20
20,3,3.3143072277048082,1001,20
20,1,3.040032870860097,1001,20
20,6,2.640174244243396,1001,5
20,5,2.866206717322677,1001,5
