round,client_id,update_norm,n_samples,local_epochs
1,0,3.1235262610355448,1001,20
1,3,3.031480945870072,1001,20
1,1,3.051665694175887,1001,20
1,5,1.7395841549198736,1001,5
1,6,1.8581350660061748,1001,5
1,2,3.2737343437878894,1001,20
1,4,3.3177710111704184,1001,20
2,1,3.169481319278784,1001,20
2,6,1.442719276073881,1001,5
2,0,3.1415942065403573,1001,20
2,5,1.3806989112690933,1001,5
2,3,3.2076363510461103,1001,20
2,4,3.3784337566915856,1001,20
2,2,3.2050362057768327,1001,20
3,3,3.3718077941411075,1001,20
3,1,3.467853519989915,1001,20
3,4,3.47895027265769,1001,20
3,6,1.3680677179275733,1001,5
3,0,3.269679542488047,1001,20
3,5,1.2856046108515045,1001,5
3,2,3.3361962371756904,1001,20
4,2,3.748109423419014,1001,20
4,3,3.933598087453247,1001,20
4,1,3.8586826067247237,1001,20
4,6,1.4924398994634174,1001,5
4,0,3.6548638747047337,1001,20
4,5,1.3965545244948208,1001,5
4,4,3.760512958266915,1001,20
5,2,4.101433823711354,1001,20
5,4,4.028307233587888,1001,20
5,3,4.150314709973426,1001,20
5,5,1.5750665380689894,1001,5
5,6,1.6659094794948412,1001,5
5,1,4.172361821737965,1001,20
5,0,4.034569345328505,1001,20
6,1,4.081283456311483,1001,20
6,2,4.161809916203956,1001,20
6,5,1.825758305482248,1001,5
6,0,4.266355492734779,1001,20
6,4,4.311037184936043,1001,20
6,6,1.8775911491003796,1001,5
6,3,4.358931164442749,1001,20
7,1,3.921414144253832,1001,20
7,5,2.0076021472888064,1001,5
7,6,1.9986839261613831,1001,5
7,2,4.362703723996755,1001,20
7,4,4.393097857952066,1001,20
7,3,4.485934488565681,1001,20
7,0,4.249058121986713,1001,20
8,3,4.177811105774701,1001,20
8,0,4.2218608735804715,1001,20
8,1,3.9263858017388746,1001,20
8,4,4.30306105535087,1001,20
8,6,2.138168325710556,1001,5
8,5,2.2527328687379513,1001,5
8,2,3.861153873283005,1001,20
9,3,4.005592151861127,1001,20
9,4,3.833808105791268,1001,20
9,0,3.240694415701593,1001,20
9,5,2.2765177840734534,1001,5
9,6,2.3060100330712063,1001,5
9,1,3.8497952327826375,1001,20
9,2,3.4152366680122506,1001,20
10,4,3.727008197627148,1001,20
10,5,2.414578284303303,1001,5
10,1,3.6855823400177377,1001,20
10,2,3.7450650703344888,1001,20
10,3,3.783382338642889,1001,20
10,0,3.169202586262283,1001,20
10,6,2.4674350742480193,1001,5
11,0,3.0832156031675417,1001,20
11,1,2.7317014423574077,1001,20
11,2,2.6911354976677906,1001,20
11,6,2.4732382959073416,1001,5
11,4,2.7680198410551182,1001,20
11,5,2.4385191102587296,1001,5
11,3,3.2797227099488544,1001,20
12,4,2.5881968256766177,1001,20
12,5,2.534103333409078,1001,5
12,2,2.915418982173576,1001,20
12,0,2.6874709897212288,1001,20
12,3,2.6091095708766794,1001,20
12,6,2.6071325523924878,1001,5
12,1,1.871316791884152,1001,20
13,0,2.2565621992227336,1001,20
13,1,3.210319007946093,1001,20
13,4,2.2950224630031015,1001,20
13,3,2.993756545437999,1001,20
13,2,2.6823148144313476,1001,20
13,6,2.7137627254454184,1001,5
13,5,2.643207991079908,1001,5
14,3,3.525056397596097,1001,20
14,4,2.2431303104407685,1001,20
14,0,3.1477926851515106,1001,20
14,6,2.730633659824719,1001,5
14,5,2.711949098382764,1001,5
14,2,2.6412482328091444,1001,20
14,1,2.089479506421823,1001,20
15,4,1.5208580045653866,1001,20
15,6,2.830149297297722,1001,5
15,2,1.7134756552844814,1001,20
15,5,2.644141328544138,1001,5
15,3,1.9245511723375734,1001,20
15,0,1.8921841791545795,1001,20
15,1,1.8663139830303608,1001,20
16,5,2.617374419099591,1001,5
16,0,3.070896080017985,1001,20
16,4,2.8048221245118534,1001,20
16,1,1.9943846133916996,1001,20
16,6,2.764374983598771,1001,5
16,3,2.9847795278364555,1001,20
16,2,1.6212055772391274,1001,20
17,6,2.5531195162035196,1001,5
17,3,1.7243521011547034,1001,20
17,0,1.620128428289566,1001,20
17,2,1.764811863671925,1001,20
17,4,2.496961686717952,1001,20
17,1,1.95062671109821,1001,20
17,5,2.6966540730283106,1001,5
18,3,2.074077410762729,1001,20
18,6,2.800917155804787,1001,5
18,4,2.335884382745792,1001,20
18,5,2.7122168045939956,1001,5
18,1,1.5187012678166987,1001,20
18,0,1.6973056225225183,1001,20
18,2,3.396791519421572,1001,20
19,5,2.5894532196182585,1001,5
19,0,1.7351156498248312,1001,20
19,6,2.6197827140725587,1001,5
19,4,1.6737033585530674,1001,20
19,3,1.4202505258001565,1001,20
19,2,1.7789260434995706,1001,20
19,1,2.29000453066782,1001,20
20,3,1.6027604651993435,1001,20
20,2,2.232752801037173,1001,20
20,0,1.8059137721556109,1001,20
20,1,1.4651351238844728,1001,20
20,5,2.772786930907529,1001,5
20,4,1.8006385586826459,1001,20
20,6,2.9139864010123304,1001,5
21,1,1.4605348393633963,1001,20
21,0,1.903895802152609,1001,20
21,6,2.563043295921956,1001,5
21,4,2.4989649979098187,1001,20
21,3,1.9593472378911208,1001,20
21,2,1.4795008591500698,1001,20
21,5,2.5804842887165202,1001,5
22,1,1.7577377021404101,1001,20
22,0,1.8322346303987005,1001,20
22,5,2.4468690577455767,1001,5
22,4,2.087433220989287,1001,20
22,3,1.500356356019506,1001,20
22,2,1.7291457032728337,1001,20
22,6,2.4687609548935288,1001,5
23,6,2.3511226276386425,1001,5
23,0,1.4869230741003023,1001,20
23,5,2.5268187289848907,1001,5
23,3,1.4555789964631405,1001,20
23,1,1.5629158223606137,1001,20
23,2,1.433697483957987,1001,20
23,4,1.9352738354415369,1001,20
24,6,2.6842194125349743,1001,5
24,1,1.5450759801751646,1001,20
24,0,1.5480476949850666,1001,20
24,4,2.0717408724042574,1001,20
24,5,2.4862752645188375,1001,5
24,2,1.4728926841317544,1001,20
24,3,1.547784739566119,1001,20
25,5,2.1501837282310396,1001,5
25,0,1.9002386467999464,1001,20
25,4,1.5737642877669522,1001,20
25,2,1.3880988084068966,1001,20
25,6,2.5421483035454355,1001,5
25,3,1.998808423704308,1001,20
25,1,1.512238121870165,1001,20
26,5,2.1924995863285344,1001,5
26,2,1.4196488845596136,1001,20
26,3,1.6472125476919228,1001,20
26,4,2.306903459479872,1001,20
26,0,1.411941348690241,1001,20
26,6,2.75281803071636,1001,5
26,1,1.9438326180492855,1001,20
27,6,2.574778560081657,1001,5
27,2,1.3713245990497445,1001,20
27,1,1.5799951505794,1001,20
27,3,1.6599061745045987,1001,20
27,4,1.2287714576112012,1001,20
27,5,2.4848125642248124,1001,5
27,0,1.5520906103774632,1001,20
28,4,1.6840258558476286,1001,20
28,3,1.8700468691264,1001,20
28,6,2.4353935539324674,1001,5
28,2,1.5605561983591199,1001,20
28,5,2.614675880720057,1001,5
28,0,1.5754965264971719,1001,20
28,1,1.530450110952318,1001,20
29,4,1.4028420481097723,1001,20
29,1,1.6480623518534763,1001,20
29,2,1.6854344642573031,1001,20
29,6,2.3364745491188366,1001,5
29,0,1.4206539524410993,1001,20
29,3,1.4888244319255268,1001,20
29,5,2.391439106673819,1001,5
30,2,1.376467379598197,1001,20
30,6,2.675035654226024,1001,5
30,3,1.750646329098712,1001,20
30,0,1.4008974729555657,1001,20
30,1,1.9494757582151092,1001,20
30,5,2.2476776535785263,1001,5
30,4,1.4840457826090532,1001,20
31,1,1.4484631574921722,1001,20
31,3,1.509728166534653,1001,20
31,2,1.43536450102667,1001,20
31,6,2.7116399650249083,1001,5
31,0,1.585527623987757,1001,20
31,5,2.162729006594013,1001,5
31,4,1.6861190158374448,1001,20
32,2,1.4582156423303338,1001,20
32,6,2.032258551467913,1001,5
32,4,1.3921756298727417,1001,20
32,3,1.4151776645722312,1001,20
32,5,2.36782256364871,1001,5
32,0,1.472798534413304,1001,20
32,1,1.5829528525726098,1001,20
33,2,1.4753961427536766,1001,20
33,6,1.5950808145705577,1001,5
33,1,1.458425845271945,1001,20
33,0,1.7008931763125323,1001,20
33,4,1.4417826791012147,1001,20
33,5,2.421054710932761,1001,5
33,3,1.993832601266173,1001,20
34,0,1.539149074815092,1001,20
34,3,1.773998916065004,1001,20
34,5,1.9810730166816681,1001,5
34,4,1.6117305701768496,1001,20
34,1,1.615550112439736,1001,20
34,2,1.7682067015287384,1001,20
34,6,2.1740340893414682,1001,5
35,5,2.1848792175888674,1001,5
35,1,1.6273730906889783,1001,20
35,4,1.9928523990731284,1001,20
35,3,1.8629879586657436,1001,20
35,6,2.2504296224255858,1001,5
35,2,1.5175443689278838,1001,20
35,0,1.5021398068495004,1001,20
36,2,1.746261512931192,1001,20
36,1,1.6073735016978365,1001,20
36,6,1.8478175492742295,1001,5
36,3,1.576370319498643,1001,20
36,4,0.7419662596203801,1001,20
36,0,1.6055504958437217,1001,20
36,5,2.2001548043418673,1001,5
37,0,1.9466599078786806,1001,20
37,2,1.4100692375169115,1001,20
37,1,1.6146827994516288,1001,20
37,3,1.5800441967236278,1001,20
37,4,1.3395936956087444,1001,20
37,5,2.2380360021137258,1001,5
