round,client_id,update_norm,n_samples,local_epochs
1,1,3.088713732635944,1001,20
1,3,3.091552920101211,1001,20
1,5,3.103752906940804,1001,20
1,0,1.8619422389837195,1001,6
1,6,2.9953330143597974,1001,18
1,2,2.0299504232874916,1001,7
1,4,1.5704814659430206,1001,4
2,5,2.957623023159094,1001,20
2,6,1.713236522252805,1001,7
2,0,2.8297828653405515,1001,20
2,4,2.863635334483167,1001,20
2,2,2.8166056495127982,1001,18
2,3,0.9978149159495793,1001,3
2,1,1.8721301172014937,1001,9
3,6,3.0635859506515066,1001,18
3,2,3.022713920213886,1001,20
3,0,2.915315734623631,1001,18
3,3,3.0413615833045324,1001,20
3,1,2.760329030064119,1001,17
3,5,2.817771829399697,1001,16
3,4,3.1335331958782717,1001,20
4,3,2.9885538243679393,1001,16
4,0,3.3350710627508615,1001,20
4,4,3.3485659609869884,1001,20
4,2,3.3475328706000256,1001,20
4,6,0.8634169326751675,1001,2
4,1,2.586116538994056,1001,13
4,5,0.8344729570113671,1001,2
5,4,0.6210564254206195,1001,1
5,1,2.9566935695501746,1001,15
5,3,3.9012455322364232,1001,20
5,6,3.8132419321223687,1001,20
5,5,3.6620674229504235,1001,20
5,0,3.1403626837366505,1001,16
5,2,3.281264238306784,1001,17
6,0,2.2402765034552465,1001,8
6,3,2.0137105649224445,1001,6
6,6,4.067736825927718,1001,20
6,2,2.346257400271651,1001,8
6,1,4.215126290440476,1001,20
6,4,4.046320333280566,1001,20
6,5,4.038688402037928,1001,19
7,3,4.212207227924686,1001,20
7,0,3.8228861795999,1001,17
7,5,1.4876434690631561,1001,3
7,6,4.195838034703711,1001,20
7,2,2.50514124340172,1001,8
7,4,4.31355337650606,1001,20
7,1,1.238096513207624,1001,2
8,1,4.407458556090806,1001,20
8,6,3.641661718898547,1001,15
8,0,3.7378085686126847,1001,15
8,3,3.1675139145018845,1001,10
8,4,4.3708546030317965,1001,20
8,2,4.286421464033045,1001,20
8,5,3.4172866637252843,1001,13
9,2,3.029394336182617,1001,9
9,3,2.921715405567295,1001,8
9,6,3.986066120699635,1001,18
9,0,3.2415660397515658,1001,10
9,5,4.406015391562128,1001,20
9,1,4.429102835227559,1001,20
9,4,4.335159300412157,1001,20
10,2,4.2143728261833635,1001,20
10,0,2.0994428963049123,1001,4
10,5,3.978784673622299,1001,20
10,4,3.638794697529243,1001,13
10,6,2.530363567936533,1001,6
10,1,4.263882730483454,1001,20
10,3,2.1461567274515554,1001,4
11,0,3.843254804954703,1001,20
11,6,3.1973756626765315,1001,12
11,2,3.999359628844252,1001,20
11,3,3.4472784761462494,1001,11
11,4,2.0397522936484456,1001,3
11,5,4.001280611629623,1001,20
11,1,3.173603700936285,1001,8
12,3,3.8342284853315722,1001,20
12,6,1.9086822932477685,1001,2
12,0,3.7169866545701953,1001,15
12,5,3.5202481385674704,1001,20
12,1,3.2663551992147397,1001,11
12,2,3.7979495423898424,1001,20
12,4,3.4464660769842146,1001,16
13,0,2.9730798906023237,1001,10
13,5,2.96787327869923,1001,9
13,1,2.8972413146377507,1001,20
13,4,3.1200543964349094,1001,20
13,2,3.379907397328386,1001,12
13,3,3.9161256397997817,1001,14
13,6,3.7695735168090425,1001,20
14,0,3.109231951645299,1001,20
14,2,3.0210311851765788,1001,10
14,4,2.004845147970684,1001,20
14,6,3.0027676758222714,1001,16
14,3,3.7327845576813,1001,20
14,1,2.034042724503361,1001,2
14,5,2.821551746274808,1001,7
15,3,2.626917623110895,1001,8
15,2,2.6457112352461243,1001,20
15,1,3.3444495903699303,1001,13
15,5,3.186203813049399,1001,12
15,0,2.364707226555308,1001,20
15,6,2.861290728392423,1001,20
15,4,2.0180408160942465,1001,2
16,4,2.4271439680058733,1001,20
16,0,2.310219553453082,1001,10
16,2,3.1540684487638737,1001,9
16,1,2.26172967211412,1001,20
16,3,3.108234501000769,1001,11
16,6,1.5276880725027238,1001,20
16,5,2.413798999235309,1001,6
17,6,2.850372354071858,1001,11
17,5,2.3418197404382552,1001,20
17,0,1.9773107064759796,1001,20
17,2,2.774175482800008,1001,20
17,4,2.630658883518726,1001,4
17,3,2.1317626741573372,1001,9
17,1,2.992953051585319,1001,17
18,5,2.6006414891421796,1001,5
18,3,1.7384919417859095,1001,1
18,4,2.891020638871627,1001,15
18,6,2.3095745472254046,1001,20
18,0,1.7649716924872232,1001,20
18,2,1.6734337451224688,1001,18
18,1,2.603317815442442,1001,20
19,1,2.1989466469251164,1001,2
19,0,2.3617809763296953,1001,12
19,5,1.6167034126903688,1001,20
19,2,2.1995385190342924,1001,20
19,3,2.9980491897020642,1001,10
19,6,1.8619430025417614,1001,17
19,4,1.6634930271897759,1001,20
20,5,2.6662113785789017,1001,6
20,2,1.4417021088697053,1001,20
20,1,2.2250806207943317,1001,2
20,4,1.5504077936668261,1001,20
20,6,1.4070947962092835,1001,20
20,3,1.7564135752392709,1001,13
20,0,1.8951859179163844,1001,16
21,1,2.0395574510103307,1001,18
21,5,1.6660629693631448,1001,20
21,4,3.0037654996941616,1001,15
21,3,1.805623193312348,1001,20
21,0,1.9135780200094876,1001,20
21,2,2.0078791545837276,1001,16
21,6,2.0282767124624725,1001,14
22,2,2.9436907668846017,1001,6
22,0,1.800313991513272,1001,20
22,5,1.6516946562620303,1001,20
22,4,2.355351558237645,1001,16
22,3,1.8217284494151076,1001,20
22,6,2.517923070284709,1001,10
22,1,2.3752740457286414,1001,18
23,2,1.9814590357201365,1001,19
23,4,2.704100028183945,1001,20
23,5,1.598419618279784,1001,20
23,6,1.7736103373445407,1001,17
23,0,1.6284910494547835,1001,20
23,3,1.708559079343394,1001,14
23,1,2.2522044798711924,1001,6
24,1,2.3078585348739584,1001,9
24,4,1.6886773716237147,1001,20
24,3,1.5533347275729679,1001,20
24,0,1.9344392285540424,1001,17
24,2,1.7089723230976983,1001,1
