round,client_id,update_norm,n_samples,local_epochs
1,6,1.3590308386603343,673,20
1,2,3.036726891909157,1095,20
1,1,2.840726068983909,963,20
1,3,3.0715568271300917,1094,20
2,3,2.685091112017506,1094,20
2,6,0.26527891400935427,673,20
2,1,2.6792379477009405,963,20
2,5,3.1844996198643587,1108,20
3,1,2.8163560197096276,963,20
3,4,3.0007110648067794,1110,20
3,5,2.963070061264194,1108,20
3,2,2.737877339635343,1095,20
4,4,3.3032888922443107,1110,20
4,2,3.227599556495508,1095,20
4,6,0.40595401937897957,673,20
4,0,2.826768719628431,964,20
5,4,3.7294862698587106,1110,20
5,1,3.2496599944396825,963,20
5,6,0.24430837045184187,673,20
5,3,3.249821716550143,1094,20
6,6,0.3371055896886792,673,20
6,3,3.5755710185213254,1094,20
6,0,3.156687083505663,964,20
6,4,3.585680796220174,1110,20
7,5,3.755390220438588,1108,20
7,4,3.385474320290656,1110,20
7,3,3.603951556194252,1094,20
7,6,0.33949422068604074,673,20
8,5,3.778740174181091,1108,20
8,3,3.59134865184786,1094,20
8,1,3.258323616513117,963,20
8,0,3.6432563360549977,964,20
9,0,3.375653193236785,964,20
9,1,2.877568581140364,963,20
9,4,2.959845226375067,1110,20
9,3,2.2106366877338224,1094,20
10,3,2.7619501168609477,1094,20
10,6,0.4017733033863023,673,20
10,1,3.2160132980442637,963,20
10,2,4.219756901330341,1095,20
11,5,3.858038772725203,1108,20
11,4,3.425110321144939,1110,20
11,1,3.1668262703819976,963,20
11,6,0.38253066030390626,673,20
12,2,3.637844471439024,1095,20
12,4,1.514181363404791,1110,20
12,6,0.403350753395005,673,20
12,1,2.1844401963899385,963,20
13,1,1.4967328496431904,963,20
13,4,1.368038006619358,1110,20
13,5,3.2014685827952043,1108,20
13,2,2.593861167773018,1095,20
14,3,2.4743686180616784,1094,20
14,4,1.8097232900061209,1110,20
14,1,1.902297348707727,963,20
14,0,3.071075972839276,964,20
15,5,1.924912519373955,1108,20
15,4,1.4798646682224887,1110,20
15,0,3.1652806989066864,964,20
15,6,0.44245971786963506,673,20
16,2,2.6842708604973318,1095,20
16,1,1.2795311835266208,963,20
16,4,1.199011598346089,1110,20
16,6,0.5270812875006261,673,20
17,0,2.2098501043245,964,20
17,6,0.4013517517977452,673,20
17,2,2.1596613936973212,1095,20
17,4,1.2593872591751698,1110,20
18,1,1.1837616014179104,963,20
18,6,0.39936621277781337,673,20
18,3,2.556441606807758,1094,20
18,2,1.2407911631978088,1095,20
19,2,2.1877321162522962,1095,20
19,4,1.482751853317816,1110,20
19,1,1.2979212610523305,963,20
19,0,1.587882242602672,964,20
20,0,2.1766442399995913,964,20
20,4,2.078893630889513,1110,20
20,3,1.6632168761987343,1094,20
20,5,2.877640648587264,1108,20
21,3,1.5178379064961482,1094,20
21,5,1.4677192638604732,1108,20
21,4,1.250854536440468,1110,20
21,0,1.25380722696276,964,20
22,6,0.621663698014454,673,20
22,0,1.3479510349367503,964,20
