round,client_id,update_norm,n_samples,local_epochs
1,1,3.7391939503666447,963,20
1,0,3.4088644342124192,964,16
1,6,2.0465249106987504,673,20
1,2,2.203541664162514,1095,5
1,4,4.258504324872801,1110,20
1,3,2.055653917003398,1094,4
1,5,1.4331581379080394,1108,1
2,6,0.24114358863409802,673,20
2,5,3.613640837718187,1108,16
2,1,3.5691736313937095,963,20
2,4,2.7256896004783195,1110,8
2,3,2.637116782635396,1094,10
2,2,3.8643560744754533,1095,20
2,0,2.3946627695790412,964,10
3,2,1.8903014590309462,1095,6
3,0,3.5856213841447095,964,20
3,6,0.6236949896907332,673,20
3,1,2.514207496178369,963,10
3,3,3.56473270991356,1094,20
3,5,1.4377942484495851,1108,3
3,4,1.1061534470472107,1110,1
4,3,3.7201954328088758,1094,20
4,0,1.809830114652902,964,8
4,6,0.49285392938168054,673,20
4,4,1.3146547634054722,1110,2
4,2,1.6385490124509043,1095,5
4,1,1.47987525559134,963,3
4,5,3.7424105392367952,1108,20
5,1,3.060704475780258,963,16
5,3,4.119885504692921,1094,20
5,5,3.86833717124328,1108,20
5,0,3.2695558730393444,964,20
5,6,0.3967867236424816,673,3
5,2,2.726199353785736,1095,12
5,4,1.4034588898605054,1110,3
6,3,2.432346827241313,1094,9
6,2,4.182798801458203,1095,20
6,1,3.4563367077576315,963,18
6,5,4.1944066399638995,1108,20
6,0,3.67231452132615,964,20
6,4,1.5321890954815331,1110,3
6,6,0.37917676547415724,673,15
7,5,4.351581214782482,1108,20
7,2,4.518838014364632,1095,20
7,4,1.9292860733448878,1110,7
7,3,1.6158260868117666,1094,4
7,0,3.6697351177329285,964,20
7,6,0.44141713428316515,673,11
7,1,3.388864426427883,963,18
8,4,1.861423966660481,1110,6
8,0,3.675602522746303,964,20
8,5,4.526198880430145,1108,20
8,3,4.613724491573058,1094,20
8,6,0.4137888351351632,673,16
8,1,1.3966298905368795,963,3
8,2,2.1127972739465677,1095,6
9,0,3.7977051498038095,964,20
9,2,1.1183413787929999,1095,1
9,3,4.722634663582171,1094,20
9,4,4.586004646415814,1110,20
9,1,2.090107223831071,963,7
9,6,0.3965938825750707,673,10
9,5,2.153873681512016,1108,6
10,3,3.723705632955243,1094,13
