round,client_id,update_norm,n_samples,local_epochs,tau
1,2,2.45552419009897,1095,7,245
1,4,1.8886457606664289,1110,4,140
1,6,2.0258021174240075,673,18,396
1,5,4.160940388451907,1108,20,700
1,0,2.5413310728242866,964,6,186
1,3,3.8274001617989395,1094,20,700
1,1,4.09658318913769,963,20,620
2,3,1.992522651662973,1094,3,105
2,1,2.6324888056236575,963,9,279
2,0,3.521699122223311,964,20,620
2,5,2.5740700152146743,1108,20,700
2,6,0.1609287418911035,673,7,154
2,4,2.8446122525241395,1110,20,700
2,2,3.2460505407662428,1095,18,630
3,1,3.106545508980591,963,17,527
3,3,2.9080081434073333,1094,20,700
3,6,1.0315592303425765,673,18,396
3,5,3.701484160034253,1108,16,560
3,4,4.1164963594324115,1110,20,700
3,2,3.017585687094068,1095,20,700
3,0,3.469145902570196,964,18,558
4,0,3.259137549022709,964,20,620
4,2,3.4834311785575967,1095,20,700
4,3,3.029787930026746,1094,16,560
4,6,0.42646940601049027,673,2,44
4,5,1.290965191668382,1108,2,70
4,1,2.5012040928510846,963,13,403
4,4,3.4750703524819393,1110,20,700
5,3,4.085437716884335,1094,20,700
5,5,3.4145648523001126,1108,20,700
5,6,0.3654777023844152,673,20,440
5,4,0.7842950066398271,1110,1,35
5,0,3.402544938262701,964,16,496
5,1,2.9844043328486007,963,15,465
5,2,3.767096487013266,1095,17,595
6,1,3.2752983585739477,963,20,620
6,5,3.664210117920189,1108,19,665
6,4,3.650265008758091,1110,20,700
6,3,2.1773437496956105,1094,6,210
6,6,2.0985895230784988,673,20,440
6,0,2.405973378728959,964,8,248
6,2,2.3985806779371783,1095,8,280
7,4,3.898162160953812,1110,20,700
7,2,1.8548305811541868,1095,8,280
7,5,2.0167160888535434,1108,3,105
7,6,0.3403981386062545,673,20,440
7,3,3.5005800779651417,1094,20,700
7,1,1.1314268257796656,963,2,62
7,0,2.9278444901690945,964,17,527
8,5,2.720951780979768,1108,13,455
8,2,4.179508170836443,1095,20,700
8,0,2.7857852950930204,964,15,465
8,4,3.850493204634082,1110,20,700
8,3,2.9034086363392055,1094,10,350
8,6,0.8264444787985472,673,15,330
8,1,3.172808802570726,963,20,620
9,3,2.0810257120789513,1094,8,280
9,2,2.281832913558083,1095,9,315
9,6,0.38617717999575146,673,18,396
9,1,4.098573464428859,963,20,620
9,0,2.437653082998435,964,10,310
9,5,4.165225439384234,1108,20,700
9,4,3.9353286171260518,1110,20,700
10,1,4.179158399824969,963,20,620
10,5,4.472239530708464,1108,20,700
10,4,3.256368847539104,1110,13,455
10,3,1.3922729549549095,1094,4,140
10,0,2.0132029651196475,964,4,124
10,6,0.426272163127229,673,6,132
10,2,4.311191814991753,1095,20,700
11,4,2.3499186111723116,1110,3,105
11,1,2.020881234715463,963,8,248
11,5,4.624258680299365,1108,20,700
11,2,4.328114499795202,1095,20,700
11,6,0.37534430377459305,673,12,264
11,3,3.0010762456803515,1094,11,385
11,0,3.7814794543015258,964,20,620
12,0,3.6095977108229116,964,15,465
12,2,4.564061928388184,1095,20,700
12,5,4.391310601799252,1108,20,700
12,6,0.816112205339669,673,2,44
12,1,2.984789755439549,963,11,341
12,3,4.699965281981641,1094,20,700
12,4,3.8168452399819333,1110,16,560
13,4,5.421105887327074,1110,20,700
13,5,4.700512198459102,1108,9,315
13,0,3.387421126399163,964,10,310
13,1,4.331322761698855,963,20,620
13,2,4.193622590226937,1095,12,420
13,6,0.0008206189483062127,673,20,440
13,3,4.430664699060099,1094,14,490
14,3,4.7221996312790955,1094,20,700
14,4,3.8173549569403935,1110,20,700
14,2,3.1345260931563033,1095,10,350
14,5,2.759815446850409,1108,7,245
14,6,0.7366587040431885,673,16,352
14,1,1.5857398860014666,963,2,62
14,0,3.32250677794586,964,20,620
15,0,3.673315801444094,964,20,620
15,2,4.460375178388972,1095,20,700
15,6,0.5600843617852466,673,20,440
15,3,3.2105225061720946,1094,8,280
15,1,2.788292244573151,963,13,403
15,5,3.680355186454198,1108,12,420
15,4,2.6150698962112124,1110,2,70
16,4,4.2282462428038485,1110,20,700
16,2,3.4650748065646946,1095,9,315
16,5,2.3481088750103276,1108,6,210
16,6,1.2043217007062794,673,20,440
16,1,4.290087230128305,963,20,620
16,3,3.8929389121471383,1094,11,385
16,0,3.5333974674874935,964,10,310
17,6,0.4296404078822171,673,11,242
17,1,3.6757039301991146,963,17,527
17,3,3.1872791222455454,1094,9,315
17,2,3.865801896414517,1095,20,700
17,5,3.6454977665964274,1108,20,700
17,4,2.590863141533374,1110,4,140
17,0,3.1385953009459713,964,20,620
18,6,0.46787307399407524,673,20,440
18,5,2.2133049274046424,1108,5,175
18,0,3.6456728771326143,964,20,620
18,1,2.950386502769453,963,20,620
18,4,2.9600327109208497,1110,15,525
18,2,3.7719932688898674,1095,18,630
18,3,1.9561520013412004,1094,1,35
19,3,4.0419924189439245,1094,10,350
19,2,5.067321310124121,1095,20,700
19,4,6.630821329135861,1110,20,700
19,5,6.954256312920814,1108,20,700
19,6,4.343370020777192,673,17,374
19,0,5.4500614509792875,964,12,372
19,1,5.111536253489827,963,2,62
20,3,4.5540980757601845,1094,13,455
20,1,1.0591281046030376,963,2,62
20,0,3.0740556861437205,964,16,496
20,4,5.469863407830637,1110,20,700
20,5,3.350924800689038,1108,6,210
20,2,5.237549782296635,1095,20,700
20,6,0.21400530126282405,673,20,440
21,4,4.229420504223054,1110,15,525
21,6,1.0173033176581179,673,14,308
21,0,3.8115593357021407,964,20,620
21,3,4.612318878749651,1094,20,700
21,1,3.783568718993488,963,18,558
21,2,4.428332802417313,1095,16,560
21,5,4.629066701564526,1108,20,700
22,6,0.24783000253641022,673,10,220
22,2,2.586147717929364,1095,6,210
22,3,4.2867213112471125,1094,20,700
22,4,4.0690660476669995,1110,16,560
22,0,3.361645263418589,964,20,620
22,5,3.6927444797309583,1108,20,700
22,1,3.405717682407103,963,18,558
23,2,3.737508160000243,1095,19,665
23,3,3.7608073129551074,1094,14,490
23,5,3.762701440080868,1108,20,700
23,1,2.1679934424848835,963,6,186
23,0,3.3389695388311758,964,20,620
23,6,0.47664353964832745,673,17,374
23,4,4.446138993220186,1110,20,700
24,0,2.9096032680192763,964,17,527
24,4,4.214650795693576,1110,20,700
24,1,3.0152993266455934,963,9,279
24,2,2.1723056010716317,1095,1,35
24,5,3.2105382348748734,1108,9,315
24,6,0.5325469681882614,673,20,440
24,3,3.3563435130826274,1094,20,700
25,1,5.947509462589323,963,20,620
25,0,5.191872006357087,964,2,62
25,4,6.201370489132701,1110,20,700
25,3,4.586166177938536,1094,20,700
25,2,2.6984675037985943,1095,6,210
25,5,5.723917413800262,1108,15,525
25,6,4.204387483234528,673,11,242
26,3,3.650216501377867,1094,6,210
26,1,3.340597462088913,963,16,496
26,0,3.9144282894778764,964,20,620
26,4,5.328532305064531,1110,20,700
26,2,5.649576797796537,1095,20,700
26,5,4.8236998132863596,1108,16,560
26,6,0.30388445364787114,673,12,264
27,2,4.322812958258482,1095,20,700
27,1,4.831150931963258,963,20,620
27,3,4.812982350304147,1094,20,700
27,4,3.662431496774782,1110,10,350
27,0,1.7761717317626178,964,2,62
27,5,4.260538029935176,1108,15,525
27,6,0.6514012772726707,673,18,396
28,6,0.6921079596385167,673,20,440
28,5,3.296613673822441,1108,6,210
28,1,3.8249458966260206,963,20,620
28,2,3.293388893255063,1095,7,245
