round,client_id,update_norm,n_samples,local_epochs,tau
1,6,2.025797674055116,673,18,396
1,5,4.24014532500292,1108,20,700
1,3,3.846223032926286,1094,20,700
1,4,1.884892578520304,1110,4,140
1,2,2.4781547789135114,1095,7,245
1,1,4.273000602581536,963,20,620
1,0,2.5625760980887278,964,6,186
2,4,3.0452605014682734,1110,20,700
2,1,2.331170522834687,963,9,279
2,3,1.9508779768494426,1094,3,105
2,0,3.592965622046066,964,20,620
2,6,0.1779226187127129,673,7,154
2,5,2.8366454989021896,1108,20,700
2,2,3.1758843517026887,1095,18,630
3,6,1.0206021710192166,673,18,396
3,4,4.1318425540454236,1110,20,700
3,2,3.1296348290653664,1095,20,700
3,1,3.050777994941862,963,17,527
3,0,3.4333653803385458,964,18,558
3,3,2.9299574712946326,1094,20,700
3,5,3.571319539652881,1108,16,560
4,0,3.241219100893592,964,20,620
4,4,3.657433321345479,1110,20,700
4,6,0.4136370908831199,673,2,44
4,3,2.9808348712024855,1094,16,560
4,5,1.3273926140852847,1108,2,70
4,2,3.5186589179406966,1095,20,700
4,1,2.3568231598062797,963,13,403
5,2,3.896910902519667,1095,17,595
5,4,0.742832272689581,1110,1,35
5,5,3.5730419241949716,1108,20,700
5,0,3.3680803919634648,964,16,496
5,6,0.38872835003246414,673,20,440
5,3,4.2009553375728474,1094,20,700
5,1,2.9665320002896642,963,15,465
6,2,2.2240346721954056,1095,8,280
6,0,2.1182807329431,964,8,248
6,4,3.6279305979378274,1110,20,700
6,1,3.3459884327385057,963,20,620
6,3,2.0678813574089014,1094,6,210
6,5,3.708207400184229,1108,19,665
6,6,1.4129226462344948,673,20,440
7,0,2.8614479777958097,964,17,527
7,3,3.4934607792179238,1094,20,700
7,1,1.1355226045772433,963,2,62
7,4,3.938872863561528,1110,20,700
7,6,0.4088358340362175,673,20,440
7,5,1.9605203618520635,1108,3,105
7,2,1.8762473445853256,1095,8,280
8,1,3.187513625946708,963,20,620
8,0,2.9101958074326792,964,15,465
8,3,2.925425976713644,1094,10,350
8,6,0.5111784587310755,673,15,330
8,4,3.81338182120103,1110,20,700
8,2,4.302238063382974,1095,20,700
8,5,2.7922761883136564,1108,13,455
9,3,2.211803399438691,1094,8,280
9,0,2.213035168825574,964,10,310
9,6,0.43801956130744146,673,18,396
9,5,4.228147348744749,1108,20,700
9,4,3.907248128173047,1110,20,700
9,1,3.461329558440989,963,20,620
9,2,2.368449940487327,1095,9,315
10,1,3.638155737505964,963,20,620
10,4,3.281984514604486,1110,13,455
10,0,1.4688277707944448,964,4,124
10,6,0.3688414246172796,673,6,132
10,2,4.2967171282011085,1095,20,700
10,3,1.4259747687046425,1094,4,140
10,5,4.525481825241596,1108,20,700
11,0,3.3790166246508684,964,20,620
11,3,2.97794710048929,1094,11,385
11,6,0.33911245997456324,673,12,264
11,1,2.04518902591283,963,8,248
11,4,2.03134359292554,1110,3,105
11,5,4.4923772614014235,1108,20,700
11,2,4.289453261283479,1095,20,700
12,5,4.3345732110329855,1108,20,700
12,4,3.708761020182122,1110,16,560
12,3,4.745880261179571,1094,20,700
12,6,0.46444862048137886,673,2,44
12,0,3.565452781695278,964,15,465
12,2,4.60165362406799,1095,20,700
12,1,3.035556202025315,963,11,341
13,1,3.9214739090601314,963,20,620
13,5,4.217817185669127,1108,9,315
13,3,4.124359277358146,1094,14,490
13,2,3.6249674109948935,1095,12,420
13,0,2.9222368489588684,964,10,310
13,4,5.256059714689793,1110,20,700
