round,cid,tau,a_i,a_eff,p_i,raw_update_norm,contribution_norm,amp_vs_fedavg
1,0,186,186.0,429.27743684886536,0.13757670900528043,0.8480646684421678,0.26927684157125736,2.3079432088648675
1,5,700,700.0,429.27743684886536,0.15812758669901528,1.4003769773894712,0.13579776658837334,0.6132534812126648
1,6,396,396.0,429.27743684886536,0.09604681033252462,0.7208216686169711,0.07505051150704543,1.0840339314365286
1,3,700,700.0,429.27743684886536,0.15612958470101326,1.38205294360315,0.13232743886114134,0.6132534812126648
1,2,245,245.0,429.27743684886536,0.156272299129442,0.9169963803251819,0.2510854813067523,1.7521528034647567
1,4,140,140.0,429.27743684886536,0.1584130155558727,0.6907286385744955,0.3355122262157801,3.066267406063324
1,1,620,620.0,429.27743684886536,0.1374339945768517,1.3352257225691038,0.12705601578020387,0.6923829626594603
2,0,620,620.0,474.85642928500073,0.13757670900528043,1.1336520527102147,0.11945252329070168,0.7658974665887108
2,2,630,630.0,474.85642928500073,0.156272299129442,1.002907462399779,0.11813120595182412,0.7537403639444457
2,1,279,279.0,474.85642928500073,0.1374339945768517,0.715786027147005,0.16743085889775755,1.7019943701971352
2,5,700,700.0,474.85642928500073,0.15812758669901528,1.2210689311384795,0.13098214749878856,0.678366327550001
2,3,105,105.0,474.85642928500073,0.15612958470101326,0.4853366301715975,0.3426898948802527,4.522442183666674
2,6,154,154.0,474.85642928500073,0.09604681033252462,0.054698201688575615,0.016199350292995945,3.0834833070454595
2,4,700,700.0,474.85642928500073,0.1584130155558727,1.2778557322258481,0.1373210037436464,0.678366327550001
3,2,700,700.0,605.3519337805052,0.156272299129442,0.8629887647596283,0.1166264449322125,0.8647884768292932
3,6,396,396.0,605.3519337805052,0.09604681033252462,0.21738697234162666,0.03191752511906251,1.5286664994457202
3,3,700,700.0,605.3519337805052,0.15612958470101326,0.8879095497371311,0.11988471786853384,0.8647884768292932
3,0,558,558.0,605.3519337805052,0.13757670900528043,1.0330449465448748,0.15418348902876086,1.0848600963808337
3,1,527,527.0,605.3519337805052,0.1374339945768517,0.9591139231113258,0.15141248389794312,1.1486753961679415
3,4,700,700.0,605.3519337805052,0.1584130155558727,1.209947115283613,0.1657551931476845,0.8647884768292932
3,5,560,560.0,605.3519337805052,0.15812758669901528,1.0521893779147136,0.17985456407963676,1.0809855960366164
4,2,700,700.0,463.690737833595,0.156272299129442,0.9196002560046387,0.09519441430702673,0.6624153397622785
4,4,700,700.0,463.690737833595,0.1584130155558727,1.0698608531267078,0.1122660749221837,0.6624153397622785
4,3,560,560.0,463.690737833595,0.15612958470101326,0.8452342673132808,0.10927044061848613,0.8280191747028482
4,6,44,44.0,463.690737833595,0.09604681033252462,0.08669601186803391,0.08775215913646264,10.538425859854431
4,0,620,620.0,463.690737833595,0.13757670900528043,0.9803253372997413,0.10086764362977656,0.747888286828379
4,1,403,403.0,463.690737833595,0.1374339945768517,0.7264846558114801,0.11487988454407135,1.1505973643513523
4,5,70,70.0,463.690737833595,0.15812758669901528,0.3597032069147292,0.37677522135061753,6.624153397622786
5,1,465,465.0,492.9119451976594,0.1374339945768517,0.8773892231442777,0.1278211896903451,1.060025688597117
5,0,496,496.0,492.9119451976594,0.13757670900528043,0.8762202061274539,0.11979697364839119,0.9937740830597972
5,4,35,35.0,492.9119451976594,0.1584130155558727,0.12876300605056254,0.28726536483062914,14.08319843421884
5,3,700,700.0,492.9119451976594,0.15612958470101326,1.0500954368004511,0.11544769828737932,0.704159921710942
5,5,700,700.0,492.9119451976594,0.15812758669901528,0.9147682009877949,0.1018567946494473,0.704159921710942
5,2,595,595.0,492.9119451976594,0.156272299129442,0.8894485252970126,0.11514768161473278,0.8284234373069906
5,6,440,440.0,492.9119451976594,0.09604681033252462,0.21895093589184694,0.023558434047462197,1.1202544209037715
6,4,700,700.0,454.1761096046811,0.1584130155558727,0.9484334995744857,0.09748190159464966,0.648823013720973
6,6,440,440.0,454.1761096046811,0.09604681033252462,0.17201022770276297,0.017053315498904483,1.0322184309197298
6,3,210,210.0,454.1761096046811,0.15612958470101326,0.5355652920061954,0.18084338183881404,2.16274337906991
6,1,620,620.0,454.1761096046811,0.1374339945768517,0.8820962630105805,0.08880608981268201,0.7325421122656146
6,2,280,280.0,454.1761096046811,0.156272299129442,0.6002801865102204,0.15216061854536933,1.6220575343024324
6,0,248,248.0,454.1761096046811,0.13757670900528043,0.5367559692390301,0.13523665007290747,1.8313552806640365
6,5,665,665.0,454.1761096046811,0.15812758669901528,0.9133867938822094,0.09864271375360703,0.6829715933904978
7,0,527,527.0,403.8238903953189,0.13757670900528043,0.7959656781597254,0.08391133895426524,0.7662692417368481
7,3,700,700.0,403.8238903953189,0.15612958470101326,0.9971664113598665,0.0898145739668346,0.5768912719933128
7,1,62,62.0,403.8238903953189,0.1374339945768517,0.2702048740225161,0.2418731536771573,6.513288554763209
7,4,700,700.0,403.8238903953189,0.1584130155558727,0.9972925821759798,0.09113966301868218,0.5768912719933128
7,6,440,440.0,403.8238903953189,0.09604681033252462,0.16139334777716388,0.014226822362559595,0.9177815690802703
7,2,280,280.0,403.8238903953189,0.156272299129442,0.4719518223780124,0.10636864971053192,1.442228179983282
7,5,105,105.0,403.8238903953189,0.15812758669901528,0.37220424493565263,0.22635582453249706,3.8459418132887517
8,3,350,350.0,527.7508206079634,0.15612958470101326,0.6939631986257346,0.16337384020706872,1.507859487451324
8,1,620,620.0,527.7508206079634,0.1374339945768517,0.849856913212375,0.09942078982384801,0.8512110009805861
8,4,700,700.0,527.7508206079634,0.1584130155558727,0.9801944179795572,0.11706685831982357,0.753929743725662
8,5,455,455.0,527.7508206079634,0.15812758669901528,0.7098353334838204,0.13019154382660225,1.1598919134240955
8,2,700,700.0,527.7508206079634,0.156272299129442,1.027790039768328,0.12109251063344145,0.753929743725662
8,6,330,330.0,527.7508206079634,0.09604681033252462,0.15858729875124117,0.024359385358070636,1.5992449109332225
8,0,465,465.0,527.7508206079634,0.13757670900528043,0.7415876915767102,0.1157932900654518,1.1349480013074482
9,3,280,280.0,480.41287284144425,0.15612958470101326,0.5355363420422398,0.1434599770306799,1.7157602601480153
9,0,310,310.0,480.41287284144425,0.13757670900528043,0.5465994055004822,0.11653785321824506,1.54971894464982
9,4,700,700.0,480.41287284144425,0.1584130155558727,1.0028056358179964,0.10902453004331492,0.686304104059206
9,1,620,620.0,480.41287284144425,0.1374339945768517,0.8194160808725651,0.08726128392949929,0.77485947232491
9,5,700,700.0,480.41287284144425,0.15812758669901528,1.001508696715903,0.10868734093310674,0.686304104059206
9,6,396,396.0,480.41287284144425,0.09604681033252462,0.15133268864014346,0.017633362869843773,1.2131638203066775
9,2,315,315.0,480.41287284144425,0.156272299129442,0.585255353845335,0.1394862758311563,1.5251202312426801
10,4,455,455.0,428.96275153418003,0.1584130155558727,0.7656584287501508,0.11434945915262816,0.9427752780970989
10,1,620,620.0,428.96275153418003,0.1374339945768517,1.0211379789393749,0.09709715200183136,0.6918754057002904
10,0,124,124.0,428.96275153418003,0.13757670900528043,0.36739661118587624,0.174854961437222,3.459377028501452
10,3,140,140.0,428.96275153418003,0.15612958470101326,0.34663519767565465,0.16582477263742001,3.0640196538155715
10,5,700,700.0,428.96275153418003,0.15812758669901528,1.0591590746172144,0.10263379240838699,0.6128039307631143
10,6,132,132.0,428.96275153418003,0.09604681033252462,0.12906193007472186,0.04028345887105297,3.249717814652879
10,2,700,700.0,428.96275153418003,0.156272299129442,1.0091477480459035,0.09664030667361007,0.6128039307631143
11,0,620,620.0,441.56072498929643,0.13757670900528043,0.831348759468664,0.0814567198598033,0.7121947177246717
11,1,248,248.0,441.56072498929643,0.1374339945768517,0.4757855189113163,0.11642443692200859,1.780486794311679
11,3,385,385.0,441.56072498929643,0.15612958470101326,0.669048518205358,0.11980433308229393,1.1469109739981727
11,6,264,264.0,441.56072498929643,0.09604681033252462,0.13006592586634738,0.02089454865657681,1.672578503747335
11,4,105,105.0,441.56072498929643,0.1584130155558727,0.3794398578135532,0.25277548297097024,4.205340237993299
11,2,700,700.0,441.56072498929643,0.156272299129442,1.0807758513625585,0.10653934728211382,0.6308010356989949
11,5,700,700.0,441.56072498929643,0.15812758669901528,1.0642808021422554,0.10615886555595949,0.6308010356989949
12,2,700,700.0,533.146139574711,0.156272299129442,1.1095777073955047,0.13206506616350963,0.7616373422495871
12,0,465,465.0,533.146139574711,0.13757670900528043,0.7375381610555054,0.11633830406612321,1.1465508377950775
12,4,560,560.0,533.146139574711,0.1584130155558727,0.8649034006617832,0.13044177740023621,0.9520466778119839
12,6,44,44.0,533.146139574711,0.09604681033252462,0.14366053582676103,0.16719143336335135,12.116957717607068
12,5,700,700.0,533.146139574711,0.15812758669901528,1.0696222869503424,0.12882089590907847,0.7616373422495871
12,1,341,341.0,533.146139574711,0.1374339945768517,0.6087728728913026,0.13081012221904256,1.5634784151751056
12,3,700,700.0,533.146139574711,0.15612958470101326,1.0982454003354316,0.13059688745356748,0.7616373422495871
13,4,700,700.0,472.9556158127586,0.1584130155558727,1.0765037872486294,0.11522023851688436,0.6756508797325123
13,2,420,420.0,472.9556158127586,0.156272299129442,0.788989788472331,0.13884315706341818,1.1260847995541872
13,3,490,490.0,472.9556158127586,0.15612958470101326,0.8824612433724429,0.1329857637593824,0.9652155424750175
13,0,310,310.0,472.9556158127586,0.13757670900528043,0.5479638768754531,0.11501527941591524,1.5256632768153504
13,1,620,620.0,472.9556158127586,0.1374339945768517,0.8984889483260704,0.09419668218505536,0.7628316384076752
13,5,315,315.0,472.9556158127586,0.15812758669901528,0.6713078689093732,0.15938197847789462,1.5014463994055829
13,6,440,440.0,472.9556158127586,0.09604681033252462,0.0368602546101863,0.003805476002384716,1.0748991268471786
14,5,245,245.0,441.243328100471,0.15812758669901528,0.5697420758658284,0.16225496824051247,1.8009931759202897
14,2,350,350.0,441.243328100471,0.156272299129442,0.7022121722136858,0.13834404261483393,1.2606952231442028
14,6,352,352.0,441.243328100471,0.09604681033252462,0.15072566875617607,0.018147034059395602,1.2535321821036107
14,0,620,620.0,441.243328100471,0.13757670900528043,0.8023457962590329,0.07855845978199745,0.7116827872588242
14,3,700,700.0,441.243328100471,0.15612958470101326,1.1267388541982641,0.11088903058322278,0.6303476115721014
14,4,700,700.0,441.243328100471,0.1584130155558727,1.0691165099412583,0.10675691348258713,0.6303476115721014
14,1,62,62.0,441.243328100471,0.1374339945768517,0.27910172444372494,0.2729877453020734,7.1168278725882415
15,4,70,70.0,413.5534465534466,0.1584130155558727,0.33942639364913824,0.3176655181323511,5.907906379334951
15,3,280,280.0,413.5534465534466,0.15612958470101326,0.6584020640936276,0.15182734635225095,1.4769765948337377
15,2,700,700.0,413.5534465534466,0.156272299129442,1.14494967684579,0.10570657588612721,0.5907906379334951
15,6,440,440.0,413.5534465534466,0.09604681033252462,0.15629850016852867,0.014109665740854352,0.9398941967123786
15,0,620,620.0,413.5534465534466,0.13757670900528043,0.8101734425517304,0.07434690166338238,0.66702168798943
15,1,403,403.0,413.5534465534466,0.1374339945768517,0.7032064009317374,0.09917531380574245,1.0261872122914306
15,5,420,420.0,413.5534465534466,0.15812758669901528,0.8136527356374307,0.12668613480992266,0.9846510632224919
16,2,315,315.0,423.5500214071643,0.156272299129442,0.7096114866082633,0.1491065744125947,1.3446032425624264
16,4,700,700.0,423.5500214071643,0.1584130155558727,1.0274352715930304,0.098480898024068,0.6050714591530919
16,0,310,310.0,423.5500214071643,0.13757670900528043,0.617033543793592,0.11598363209976044,1.3662903916360138
16,3,385,385.0,423.5500214071643,0.15612958470101326,0.7888928097953621,0.13550246033209878,1.1001299257328943
16,6,440,440.0,423.5500214071643,0.09604681033252462,0.16713756576377994,0.01545286643940121,0.9626136850162825
16,1,620,620.0,423.5500214071643,0.1374339945768517,0.9247317805282207,0.08682063773033057,0.6831451958180069
16,5,210,210.0,423.5500214071643,0.15812758669901528,0.5006971357956046,0.15968648569382013,2.0169048638436395
17,2,700,700.0,472.4071642643071,0.156272299129442,1.0634644025497186,0.11215622784592554,0.6748673775204387
17,0,620,620.0,472.4071642643071,0.13757670900528043,0.795048507587845,0.08334188689857289,0.7619470391359792
17,3,315,315.0,472.4071642643071,0.15612958470101326,0.6819383067516739,0.15967473823915904,1.4997052833787528
17,1,527,527.0,472.4071642643071,0.1374339945768517,0.7735862438138661,0.09530348194908585,0.8964082813364461
17,4,140,140.0,472.4071642643071,0.1584130155558727,0.4407478788133295,0.23559687832590057,3.3743368876021935
17,5,700,700.0,472.4071642643071,0.15812758669901528,1.0302254572601457,0.10994066394695474,0.6748673775204387
17,6,242,242.0,472.4071642643071,0.09604681033252462,0.12677210401617622,0.02376882725408379,1.9520957201004425
18,4,525,525.0,427.5224775224775,0.1584130155558727,0.8502349531164995,0.1096805111982321,0.8143285286142429
18,1,620,620.0,427.5224775224775,0.1374339945768517,0.8820425771230214,0.08358935668511742,0.6895523831007702
18,5,175,175.0,427.5224775224775,0.15812758669901528,0.4841936453757443,0.18704565874437346,2.4429855858427287
18,2,630,630.0,427.5224775224775,0.156272299129442,0.9900107848050136,0.10498816161745826,0.6786071071785358
18,3,35,35.0,427.5224775224775,0.15612958470101326,0.3932518133944094,0.7499751047749308,12.214927929213644
18,6,440,440.0,427.5224775224775,0.09604681033252462,0.18788270411788435,0.017533799079709783,0.9716419943692671
18,0,620,620.0,427.5224775224775,0.13757670900528043,0.7878082149556459,0.0747364879256835,0.6895523831007702
19,5,700,700.0,481.235336092479,0.15812758669901528,1.306145129828655,0.14199025772529947,0.6874790515606842
19,6,374,374.0,481.235336092479,0.09604681033252462,0.4646253800427849,0.05742113637718132,1.2867254975734732
19,4,700,700.0,481.235336092479,0.1584130155558727,1.345004761385393,0.14647859047367434,0.6874790515606842
19,2,700,700.0,481.235336092479,0.156272299129442,1.1583108848896717,0.12444189283134342,0.6874790515606842
19,3,350,350.0,481.235336092479,0.15612958470101326,0.7978792393387112,0.1712820429331434,1.3749581031213685
19,1,62,62.0,481.235336092479,0.1374339945768517,0.5976793179266241,0.6375705040644578,7.761860259556112
19,0,372,372.0,481.235336092479,0.13757670900528043,0.9108050439113196,0.16210070837389143,1.2936433765926854
20,5,210,210.0,443.54502640216924,0.15812758669901528,0.6413832830062838,0.21421195174620264,2.112119173343663
20,1,62,62.0,443.54502640216924,0.1374339945768517,0.26400328805108325,0.25956703110306456,7.153952038744666
20,0,496,496.0,443.54502640216924,0.13757670900528043,0.6947127486861479,0.0854685276179569,0.8942440048430832
20,3,455,455.0,443.54502640216924,0.15612958470101326,1.0289110499178293,0.15659913286355978,0.9748242338509214
20,2,700,700.0,443.54502640216924,0.156272299129442,1.1891485738573964,0.11774915379895827,0.633635752003099
20,6,440,440.0,443.54502640216924,0.09604681033252462,0.13928275326906747,0.01348544639659437,1.0080568781867483
20,4,700,700.0,443.54502640216924,0.1584130155558727,1.0423451584910572,0.10462659422940919,0.633635752003099
21,4,525,525.0,582.2274867989154,0.1584130155558727,0.8600234309066975,0.15108959112972353,1.1090047367598388
21,5,700,700.0,582.2274867989154,0.15812758669901528,0.8092776414229438,0.1064387705183314,0.8317535525698792
21,1,558,558.0,582.2274867989154,0.1374339945768517,0.7862770451121895,0.11275304314500749,1.0434184351235043
21,6,308,308.0,582.2274867989154,0.09604681033252462,0.1145522832281572,0.020798340529826417,1.8903489831133615
21,2,560,560.0,582.2274867989154,0.156272299129442,0.9874576450571229,0.1604372302154918,1.0396919407123488
21,0,620,620.0,582.2274867989154,0.13757670900528043,0.793913210921879,0.1025696704595793,0.9390765916111539
21,3,700,700.0,582.2274867989154,0.15612958470101326,1.057262519381036,0.13729752404803885,0.8317535525698792
22,6,220,220.0,524.624518338804,0.09604681033252462,0.10391279776350212,0.023800050983620726,2.3846569015400183
22,0,620,620.0,524.624518338804,0.13757670900528043,0.9029347322225348,0.10511342063931779,0.8461685779658129
22,4,560,560.0,524.624518338804,0.1584130155558727,0.7828904010768063,0.11618562165652249,0.9368294970335787
22,3,700,700.0,524.624518338804,0.15612958470101326,0.9651887119452346,0.11294005167132648,0.7494635976268629
22,2,210,210.0,524.624518338804,0.156272299129442,0.6028628236136697,0.23535844918119203,2.498211992089543
22,1,558,558.0,524.624518338804,0.1374339945768517,0.8067416277547113,0.10424206865406611,0.9401873088509033
22,5,700,700.0,524.624518338804,0.15812758669901528,0.7999813442995237,0.094806485105904,0.7494635976268629
23,6,374,374.0,548.7847866419295,0.09604681033252462,0.131915283694562,0.018591247121834756,1.467339001716389
23,2,665,665.0,548.7847866419295,0.156272299129442,0.7631509031806666,0.09841761634873605,0.8252402806645556
23,3,490,490.0,548.7847866419295,0.15612958470101326,0.8488189445422283,0.14842472459778952,1.1199689523304683
23,0,620,620.0,548.7847866419295,0.13757670900528043,0.7772803175203228,0.09465268996803945,0.8851367526482734
23,1,186,186.0,548.7847866419295,0.1374339945768517,0.5055932924263994,0.2050145066520846,2.950455842160911
23,5,700,700.0,548.7847866419295,0.15812758669901528,0.7474470479978347,0.09265995763173317,0.7839782666313279
23,4,700,700.0,548.7847866419295,0.1584130155558727,0.7458084815292142,0.09262371643398314,0.7839782666313279
24,4,700,700.0,428.56714713857565,0.1584130155558727,0.6879814678561985,0.06672497767728357,0.6122387816265367
24,3,700,700.0,428.56714713857565,0.15612958470101326,0.7859094703309228,0.07512397555345685,0.6122387816265367
24,5,315,315.0,428.56714713857565,0.15812758669901528,0.7026650421058099,0.15116954744037725,1.360530625836748
24,6,440,440.0,428.56714713857565,0.09604681033252462,0.13745959619712925,0.012859503770130305,0.9740162434967629
24,2,35,35.0,428.56714713857565,0.156272299129442,0.4024213958693425,0.7700410837525578,12.244775632530732
24,1,279,279.0,428.56714713857565,0.1374339945768517,0.5047428111214608,0.1065562638573875,1.536082964654393
24,0,527,527.0,428.56714713857565,0.13757670900528043,0.6882261774103626,0.07699887230661663,0.8132203930523257
25,2,210,210.0,452.99614671043236,0.156272299129442,0.6265297801384087,0.21120244105637673,2.157124508144916
25,3,700,700.0,452.99614671043236,0.15612958470101326,0.9659742382574831,0.09759941545819288,0.6471373524434748
25,4,700,700.0,452.99614671043236,0.1584130155558727,1.0649444755250081,0.109172761055162,0.6471373524434748
25,1,620,620.0,452.99614671043236,0.1374339945768517,1.1618373269581295,0.11666546412674313,0.730638946307149
25,0,62,62.0,452.99614671043236,0.13757670900528043,0.638386291211871,0.6416988885552208,7.30638946307149
25,6,242,242.0,452.99614671043236,0.09604681033252462,0.46459061633100657,0.08352808455072305,1.8718849037621172
25,5,525,525.0,452.99614671043236,0.15812758669901528,1.0072980537375695,0.13743610613079357,0.8628498032579663
26,5,560,560.0,520.4395604395604,0.15812758669901528,0.8862904550906049,0.13024647833671396,0.9293563579277865
26,0,620,620.0,520.4395604395604,0.13757670900528043,0.7996595800514333,0.09234825060904404,0.8394186458702587
26,2,700,700.0,520.4395604395604,0.156272299129442,0.9358323150696957,0.10873072922516452,0.7434850863422292
26,4,700,700.0,520.4395604395604,0.1584130155558727,0.9353098830354255,0.1101586604183417,0.7434850863422292
26,3,210,210.0,520.4395604395604,0.15612958470101326,0.8155784666393916,0.31557454297937604,2.478283621140764
26,1,496,496.0,520.4395604395604,0.1374339945768517,0.7657183299287942,0.11042104121105151,1.0492733073378233
