round,a_eff,mean_tau,global_update_norm,straggler_share,dominating_cid,max_contribution_share,server_lr
1,438.72827172827175,438.72827172827175,0.92192574462552,0.2487931590401873,0,0.2487931590401873,1.0
2,466.51519908662766,466.51519908662766,0.5850640797764605,0.03350661973143872,2,0.2751281971196364,1.0
3,502.7992007992008,502.7992007992008,0.5188902185280981,0.27648092254624324,1,0.27648092254624324,1.0
4,415.31811046096755,415.31811046096755,0.5396917593744367,0.37883638107366396,4,0.37883638107366396,1.0
5,481.0323961752533,481.0323961752533,0.4093305204360837,0.2346578722207745,5,0.2346578722207745,1.0
6,431.23861852433276,431.23861852433276,0.4139567926875187,0.3453319546541989,5,0.3453319546541989,1.0
7,477.1975167689453,477.1975167689453,0.5186659228720191,0.3591915102119338,2,0.3591915102119338,1.0
8,503.59954331382903,503.59954331382903,0.5208897408213986,0.16743900995762848,5,0.3141867530292472,1.0
9,466.88054802340514,466.88054802340514,0.46278886077505477,0.08631354577960773,2,0.31131041343090793,1.0
10,466.3368060510917,466.3368060510917,0.33394559328825923,0.23999299759936166,3,0.23999299759936166,1.0
11,444.27329813044093,444.27329813044093,0.3027178561248451,0.22585466233611795,5,0.22585466233611795,1.0
12,534.4671043242472,534.4671043242472,0.3316655338556412,0.17474075505236003,5,0.17474075505236003,1.0
13,427.8214642500356,427.8214642500356,0.589227793575358,0.33517738667659785,4,0.3664828929246179,1.0
14,512.2621664050235,512.2621664050235,0.5384895982182696,0.2153012468024184,0,0.2153012468024184,1.0
15,457.41273012701583,457.41273012701583,0.31063461685195604,0.2248856866153313,2,0.2248856866153313,1.0
16,424.01969459112314,424.01969459112314,0.4029169372445847,0.34445061913650726,1,0.34445061913650726,1.0
17,507.88468674182957,507.88468674182957,0.38798976955746806,0.23998851840399787,3,0.23998851840399787,1.0
18,476.02854288568574,476.02854288568574,0.30169610453416673,0.2496802606371883,3,0.2496802606371883,1.0
19,484.1669758812616,484.1669758812616,0.31178288390073006,0.26325609258833904,4,0.26325609258833904,1.0
20,488.7418295989725,488.7418295989725,0.33857410529958093,0.3436491216693512,5,0.3436491216693512,1.0
21,501.1280148423005,501.1280148423005,0.2796270040648914,0.05069976609272132,5,0.19666756523249437,1.0
22,507.57371200228346,507.57371200228346,0.7791175560887832,0.5998846090921504,5,0.5998846090921504,1.0
