round,client_id,update_norm,n_samples,local_epochs,tau
1,3,0.8592704863017886,1094,7,245
1,2,1.209016202635973,1095,15,525
1,6,0.4186311775877614,673,1,22
1,4,1.408195210165116,1110,20,700
1,1,1.3363192818327234,963,20,620
1,5,1.3372511471440156,1108,18,630
1,0,1.3334309066657613,964,20,620
2,1,1.2312130546508064,963,20,620
2,3,0.6292476968139259,1094,1,35
2,2,1.190419299759271,1095,20,700
2,6,1.8664679624222588e-05,673,15,330
2,4,0.9303233372270755,1110,6,210
2,0,1.2069801732850467,964,20,620
2,5,1.1438046168755047,1108,12,420
3,4,1.234239610206643,1110,15,525
3,5,1.3954466305289048,1108,20,700
3,6,0.774378585165939,673,10,220
3,0,0.9484207742512477,964,6,186
3,3,1.1087180612163032,1094,20,700
3,1,1.3301234637965729,963,20,620
3,2,0.9822804081910668,1095,14,490
4,3,0.9447859104187175,1094,20,700
4,5,0.4136151174112087,1108,2,70
4,0,0.7985110948793424,964,16,496
4,2,0.9173969417886224,1095,20,700
4,1,0.9327768057696895,963,20,620
4,4,0.7080020986184691,1110,8,280
4,6,0.05998285510283185,673,10,220
5,5,0.18421284327821297,1108,2,70
5,1,0.9538211481204057,963,16,496
5,6,0.265329267725758,673,9,198
5,0,0.8941986017540631,964,17,527
5,4,0.8968454661113382,1110,20,700
5,3,0.9952518056689004,1094,20,700
5,2,0.96746259907982,1095,20,700
6,2,0.9548356574935609,1095,20,700
6,0,0.4111258782873408,964,3,93
6,6,0.14024929981245857,673,20,440
6,3,0.45519266807189795,1094,4,140
6,1,0.9374036287556734,963,20,620
6,5,0.3321129619009088,1108,4,140
6,4,0.8322864915145638,1110,18,630
7,0,0.8318232695715497,964,20,620
7,3,0.750729423639895,1094,15,525
7,2,0.9132261714795082,1095,20,700
7,6,0.28812072213390505,673,20,440
7,1,0.7986989597706466,963,17,527
7,5,0.40681627812551435,1108,4,140
7,4,0.7164101359961451,1110,13,455
8,5,0.848403762819848,1108,19,665
8,0,0.5052836871411507,964,7,217
8,1,0.78974489265397,963,15,465
8,3,0.9716542138019967,1094,20,700
8,6,0.2018082804202717,673,20,440
8,2,0.9528194058066022,1095,20,700
8,4,0.7729363323792722,1110,17,595
9,0,0.7462818234513134,964,17,527
9,3,0.9949444848301674,1094,20,700
9,5,0.9324559086386071,1108,20,700
9,4,0.8287588160964082,1110,17,595
9,2,0.7418770362346708,1095,14,490
9,6,0.5394130960191593,673,3,66
9,1,0.8927472286953678,963,20,620
10,1,0.7167197060839422,963,8,248
10,5,0.5405816722763183,1108,5,175
10,0,0.9672412921329567,964,20,620
10,6,0.06766877909037998,673,20,440
10,2,0.9602147092850798,1095,20,700
10,4,0.7851139122120478,1110,13,455
10,3,0.31521427366448124,1094,1,35
11,0,0.5482343275660041,964,7,217
11,3,0.5470086460428604,1094,8,280
11,1,0.53349853262434,963,6,186
11,6,0.30085444938608924,673,3,66
11,4,1.0149046027506623,1110,20,700
11,2,0.9958066998136955,1095,20,700
11,5,1.0200190223887933,1108,20,700
12,0,0.5757973809171764,964,12,372
12,5,0.9108350253785661,1108,17,595
12,2,0.41820750316986144,1095,3,105
12,1,0.8577223494170814,963,19,589
12,3,1.071493546498462,1094,20,700
12,6,0.061917190096826565,673,20,440
12,4,1.0078091789455461,1110,20,700
13,0,0.7746951375174931,964,16,496
13,3,0.9929409024243838,1094,19,665
13,4,1.0245222435256196,1110,20,700
13,1,0.9496704752611224,963,20,620
13,2,0.2916193315498325,1095,4,140
13,6,0.20842239252198788,673,8,176
13,5,1.00322844162507,1108,20,700
14,6,0.042384024723978134,673,2,44
14,5,0.9435606476039544,1108,18,630
14,3,0.8499234062303347,1094,15,525
14,4,0.37589916357657616,1110,3,105
14,2,1.018347807622615,1095,20,700
14,1,0.9454270421207248,963,20,620
14,0,0.8761653707345135,964,20,620
15,3,0.7424947016590226,1094,11,385
15,2,1.066189482823038,1095,20,700
15,6,0.17841335024361551,673,20,440
15,5,0.742192067359239,1108,13,455
15,4,1.0131263296207715,1110,20,700
15,0,0.8492677362550796,964,15,465
15,1,0.9221749453685957,963,14,434
16,3,0.5358893147403613,1094,7,245
16,0,0.9094600078093575,964,20,620
16,4,0.9492916505288748,1110,17,595
16,1,0.7497032742262038,963,12,372
16,5,1.0419672660784456,1108,20,700
16,2,0.21263624243049073,1095,1,35
16,6,0.1575807420221897,673,20,440
17,4,1.154453505462804,1110,20,700
17,1,0.46005871023974837,963,3,93
17,2,0.9954078047967336,1095,18,630
17,3,0.9746458787445941,1094,17,595
17,6,0.16653677489780336,673,20,440
17,0,1.013919290908881,964,20,620
17,5,0.5240989753068236,1108,4,140
18,1,0.23696993567641056,963,1,31
18,4,1.0977166587264715,1110,20,700
18,0,0.9340589523642912,964,20,620
18,6,0.15824462326565908,673,2,44
18,3,0.8892610479455696,1094,13,455
18,5,1.0334186073296734,1108,20,700
18,2,0.8468667507135336,1095,12,420
19,4,1.2047827011771741,1110,20,700
19,5,0.8561455318255612,1108,11,385
19,2,0.8577683665818985,1095,12,420
19,0,0.9350898900787493,964,20,620
19,3,0.6694232911549155,1094,8,280
19,1,0.8630648309454859,963,18,558
19,6,0.04438487217134279,673,20,440
20,3,0.5541172275869298,1094,7,245
20,4,1.0969301600976495,1110,20,700
20,5,1.0551322097525633,1108,20,700
20,1,0.7269158336655699,963,14,434
20,6,0.09411409317740231,673,1,22
20,0,0.8976109983586522,964,20,620
20,2,1.0367597802077277,1095,19,665
21,2,0.8732301309975348,1095,13,455
21,1,0.44426770378786806,963,5,155
21,5,0.4581023292752407,1108,4,140
21,0,0.686318447954727,964,11,341
21,6,0.010911344468430362,673,20,440
21,4,1.0842814950245891,1110,20,700
21,3,0.9777492820945972,1094,20,700
22,2,0.9900758196074152,1095,20,700
22,0,0.8952073485670583,964,20,620
22,5,0.4418792395165115,1108,5,175
22,4,0.7413889372657548,1110,10,350
22,3,1.0041927623239475,1094,20,700
22,6,0.16816054445868997,673,16,352
22,1,0.7079716081605631,963,15,465
23,2,0.9282119757498873,1095,18,630
23,4,0.25023066887707895,1110,1,35
23,5,0.9661212654271963,1108,20,700
23,3,0.7941394017088179,1094,13,455
23,0,0.9786764255388987,964,20,620
23,1,0.7998511637564989,963,18,558
23,6,0.0879645478891989,673,20,440
24,4,0.8230611476769567,1110,15,525
24,3,1.011799897631514,1094,20,700
24,2,1.0223665915462357,1095,20,700
24,5,0.9009940749800768,1108,17,595
24,6,0.2877630702115681,673,1,22
24,0,1.324625445230467,964,20,620
24,1,0.7221588845696616,963,10,310
25,4,0.8554111966605155,1110,5,175
25,3,0.8907055350167026,1094,12,420
25,0,0.7492945059279966,964,10,310
25,6,0.0005234004872153187,673,20,440
25,1,0.4699443652380671,963,2,62
25,2,1.037012503052205,1095,20,700
25,5,1.1670794241708997,1108,20,700
26,4,0.9184410255132293,1110,20,700
26,0,0.7219677801993236,964,13,403
26,6,0.2828076103121617,673,20,440
26,5,0.8642773991241903,1108,13,455
26,2,0.8707770174087764,1095,19,665
26,1,0.7841947516408284,963,20,620
26,3,0.7396083055981288,1094,8,280
27,0,0.3170756137298289,964,1,31
27,4,0.7768997785844614,1110,14,490
27,3,0.6202876692803173,1094,20,700
27,2,0.7522558093773505,1095,20,700
27,6,0.08588283347223011,673,9,198
27,1,0.7244072956895775,963,20,620
27,5,0.6792815006888596,1108,15,525
28,3,0.8010144546706662,1094,5,175
28,0,0.5640756926125491,964,8,248
28,5,0.9371369969212143,1108,17,595
28,6,0.19826400324950771,673,20,440
28,2,1.050328977896429,1095,20,700
28,1,0.82498921680152,963,8,248
28,4,0.9556912178616143,1110,20,700
29,3,0.4897262760000847,1094,4,140
29,6,0.13165617955278233,673,20,440
29,2,0.766066096061126,1095,20,700
29,5,0.645970817202616,1108,18,630
29,1,0.39527180688460084,963,4,124
29,4,0.7665659616263388,1110,15,525
29,0,0.7462565780813274,964,20,620
30,1,0.2978121152520192,963,3,93
30,5,0.6699543959522599,1108,20,700
30,6,0.09398284514584568,673,1,22
30,4,0.7109131837880646,1110,20,700
30,2,0.7267288257799185,1095,18,630
30,3,0.4383692408309987,1094,3,105
30,0,0.6717728124058436,964,20,620
31,4,0.6481653564954547,1110,8,280
31,6,0.008215795851181453,673,13,286
31,3,0.5636877776819078,1094,20,700
31,2,0.7043197754384014,1095,20,700
31,1,0.5465770907214377,963,19,589
31,0,0.6220284532098989,964,20,620
31,5,0.6816103191406401,1108,14,490
32,3,0.5415483441208339,1094,20,700
32,1,0.7228459314365299,963,17,527
32,2,0.5688920313981459,1095,15,525
32,0,0.5348440262964513,964,20,620
32,5,0.5624635544817557,1108,20,700
32,6,0.09061537576135947,673,14,308
32,4,0.29317253050041253,1110,1,35
33,3,0.7036741046765203,1094,8,280
33,1,0.7039463792454899,963,17,527
33,0,0.809704415349374,964,20,620
33,5,0.633139477143178,1108,9,315
33,4,0.5334988554601061,1110,20,700
33,2,0.8937545736573947,1095,20,700
33,6,0.18716146722477892,673,10,220
34,2,0.6003842493545989,1095,20,700
34,6,0.06638099813672409,673,20,440
34,4,0.48344541231888366,1110,5,175
34,3,0.5173285330163974,1094,9,315
34,1,0.5614921476051248,963,20,620
34,5,0.5274320656389374,1108,6,210
34,0,0.537285503780609,964,15,465
35,2,0.5266871061566298,1095,4,140
35,0,0.5305892655929292,964,15,465
35,5,0.4630125294817722,1108,20,700
35,1,0.5518098350712032,963,19,589
35,6,0.15799479229943966,673,20,440
35,3,0.47012163453944283,1094,20,700
35,4,0.39571123492398363,1110,9,315
36,1,0.6652199460406287,963,14,434
36,0,0.5785502494961663,964,20,620
36,5,0.5197777748478198,1108,20,700
36,4,0.3981676059157113,1110,7,245
36,2,0.46650908339163055,1095,20,700
36,6,0.08731068704311755,673,1,22
36,3,0.44874297021172366,1094,19,665
37,2,0.5612276269295774,1095,20,700
37,3,0.5048603110224972,1094,12,420
37,5,0.5390717772637199,1108,20,700
37,1,0.6640719767241943,963,14,434
37,6,0.006891643753401202,673,12,264
37,0,0.5495169655929416,964,20,620
37,4,0.4177731560502999,1110,18,630
38,6,0.06463939992769968,673,9,198
38,5,0.47026600838256316,1108,4,140
38,0,0.5653972850745066,964,20,620
38,4,0.3731651216373211,1110,20,700
38,3,0.4350107292259026,1094,20,700
38,1,0.35629053911532693,963,7,217
38,2,0.4384549968378891,1095,14,490
39,3,0.502056158376278,1094,20,700
39,6,0.09241592169944224,673,6,132
39,2,0.532827867771816,1095,20,700
39,0,0.4738717250431716,964,12,372
39,1,0.39393834186264365,963,18,558
39,5,0.3383608940511711,1108,9,315
39,4,0.42402108838414804,1110,20,700
40,3,0.5700959629299737,1094,20,700
40,5,0.3889183314874691,1108,6,210
40,4,0.45094388266649843,1110,20,700
40,0,0.4480159902383436,964,7,217
40,6,0.05245599311393632,673,18,396
40,2,0.5239176545342115,1095,20,700
40,1,0.4249863823147275,963,13,403
41,0,0.3341749136824566,964,8,248
41,4,0.4014798441593126,1110,10,350
41,1,0.3327313467132061,963,20,620
41,2,0.4783651613639091,1095,20,700
41,5,0.323472933104373,1108,20,700
41,3,0.4624250442963389,1094,6,210
41,6,0.11513972683359827,673,15,330
42,0,0.34056981961971095,964,1,31
42,2,0.5641248587499111,1095,20,700
42,4,0.4339873883155881,1110,17,595
42,1,0.3697158583911827,963,11,341
42,5,0.43946024502105896,1108,18,630
42,3,0.36900409219296987,1094,20,700
42,6,0.07960031508605636,673,20,440
43,1,0.5521874800371667,963,20,620
43,2,0.873100742244504,1095,14,490
43,6,0.15632577227931274,673,8,176
43,5,0.39697084972335395,1108,1,35
43,4,0.7348718098993858,1110,11,385
43,0,0.4670405374740841,964,20,620
43,3,0.8591307908469608,1094,20,700
44,2,0.8245334608723154,1095,20,700
44,6,0.4812390846093962,673,7,154
44,0,0.7246904835004238,964,6,186
44,3,0.7749405615085388,1094,20,700
44,5,0.5387800817992023,1108,6,210
44,4,0.6315064551683255,1110,20,700
44,1,0.825377698433421,963,12,372
45,1,0.39721965692626543,963,9,279
45,0,0.3566281515637564,964,20,620
45,5,0.41927797209058454,1108,20,700
45,2,0.5213792965501061,1095,10,350
45,4,0.4390421902484966,1110,4,140
45,6,0.03627095393922358,673,20,440
45,3,0.5679846619738693,1094,8,280
46,6,0.14535308937977257,673,8,176
46,4,0.33418250512176734,1110,20,700
46,5,0.37734835966475383,1108,20,700
46,3,0.39491091434750614,1094,20,700
46,2,0.47263015272218084,1095,8,280
46,0,0.41916660854921567,964,11,341
46,1,0.6034439035803054,963,14,434
47,0,0.3369415490777554,964,19,589
47,4,0.4144583260530162,1110,20,700
47,1,0.5697903143558002,963,20,620
47,5,0.4213765405807981,1108,16,560
47,2,0.38183726641355226,1095,12,420
47,6,0.057220808542016804,673,17,374
47,3,0.4150477144328634,1094,20,700
48,3,0.3649381467975267,1094,20,700
48,0,0.34650382884367353,964,6,186
48,2,0.34418113745102435,1095,20,700
48,6,0.08337178876554029,673,12,264
48,5,0.38487729464538123,1108,20,700
48,1,0.35053026057046305,963,6,186
48,4,0.4060994018478352,1110,10,350
49,0,0.18567766895626675,964,7,217
49,2,0.504745490607223,1095,16,560
49,4,0.48447448791080194,1110,14,490
49,1,0.523023511954468,963,20,620
49,6,0.08059421384994339,673,7,154
49,5,0.36557130178342284,1108,20,700
49,3,0.414044736237036,1094,20,700
50,1,0.2791227847598981,963,1,31
50,2,0.42713378160459947,1095,20,700
50,0,0.325174454691653,964,12,372
50,6,0.05301407521953735,673,2,44
50,3,0.4194154905349543,1094,20,700
50,5,0.3810139565214653,1108,20,700
50,4,0.41694888859722734,1110,10,350
51,5,0.5927008443980618,1108,6,210
51,0,0.46219322126891016,964,16,496
51,1,0.38450178076858305,963,5,155
51,2,0.6236561577036349,1095,12,420
51,4,0.5983238750106996,1110,20,700
51,6,0.16592330758871013,673,20,440
51,3,0.6490767249749857,1094,20,700
52,1,0.3792384849529391,963,5,155
52,3,0.42968689616508315,1094,20,700
