round,client_id,update_norm,n_samples,local_epochs,tau
1,4,4.397875703612575,1110,20,700
1,0,2.850496639193641,964,10,310
1,2,2.8860391625296216,1095,9,315
1,5,3.632179480036643,1108,14,490
1,1,4.0050690045450965,963,20,620
1,6,1.933386713145489,673,1,22
1,3,3.9703848928024414,1094,20,700
2,3,5.577987185461641,1094,20,700
2,0,3.604847302472584,964,1,31
2,4,5.437686728825226,1110,20,700
2,2,4.611702788885829,1095,15,525
2,6,3.0136921490061584e-05,673,15,330
2,1,4.365867170063939,963,12,372
2,5,5.501324861547325,1108,20,700
3,2,3.9466572918017753,1095,20,700
3,3,1.9954263084701298,1094,3,105
3,4,3.1071236183273134,1110,9,315
3,6,0.9299163134900076,673,12,264
3,5,3.4863348813186135,1108,12,420
3,0,3.387441477810316,964,20,620
3,1,3.2922592745245054,963,20,620
4,5,1.5044971603769837,1108,2,70
4,0,2.7233749050505494,964,13,403
4,2,3.642559885457,1095,20,700
4,3,3.605796581635893,1094,20,700
4,1,3.500717841373274,963,19,589
4,4,3.9762523577575926,1110,20,700
4,6,0.44481420414974004,673,6,132
5,2,3.6168163536789635,1095,20,700
5,4,3.2493704726029433,1110,16,560
5,0,3.3276343398545145,964,19,589
5,1,3.560511312180907,963,20,620
5,5,1.2672930651298764,1108,3,105
5,3,3.046517707240462,1094,15,525
5,6,0.4336289756803858,673,20,440
6,6,0.4931585554064246,673,20,440
6,5,3.0215548388959883,1108,16,560
6,0,3.2262415653131473,964,20,620
6,1,3.681614083203436,963,20,620
6,4,3.5949406050641883,1110,19,665
6,3,2.7428997321276998,1094,13,455
6,2,1.8893042298916707,1095,5,175
7,3,2.8304594926349833,1094,15,525
7,1,2.121683907915976,963,8,248
7,0,3.304276842742174,964,20,620
7,4,1.077323090042491,1110,2,70
7,6,0.46248577988522455,673,20,440
7,2,3.3962814471401943,1095,20,700
7,5,2.6773609377261036,1108,12,420
8,1,3.5769685358069645,963,20,620
8,6,0.48564573204257416,673,20,440
8,2,3.220100897540573,1095,17,595
8,5,3.301354498762636,1108,18,630
8,0,2.8629586897478956,964,17,527
8,4,3.623858350325476,1110,20,700
8,3,3.4373485086621267,1094,19,665
9,3,3.5072344517780016,1094,20,700
9,5,2.1162379752462996,1108,9,315
9,2,3.1042219011054497,1095,16,560
9,6,0.4252076596979681,673,20,440
9,4,0.7732925741229929,1110,1,35
9,1,3.7129332837840616,963,20,620
9,0,2.8137155389445123,964,16,496
10,6,0.6908569611558437,673,1,22
10,5,2.448899149470425,1108,12,420
10,2,3.737721210125549,1095,20,700
10,3,1.8830394062140539,1094,2,70
10,4,3.603736519648603,1110,20,700
10,0,2.3343168740492297,964,10,310
10,1,3.7823134513877,963,20,620
11,4,4.28544604067567,1110,20,700
11,0,2.449640044586767,964,12,372
11,3,2.223087180229078,1094,10,350
