round,client_id,update_norm,n_samples,local_epochs,tau
1,1,4.332819639429143,963,20,620
1,0,2.5641838581772274,964,6,186
1,5,4.183473545063586,1108,20,700
1,4,1.884732326484485,1110,4,140
1,3,3.8977283342302482,1094,20,700
1,2,2.465697544808978,1095,7,245
1,6,2.025803414605632,673,18,396
2,0,3.4348537932806593,964,20,620
2,1,2.6497928950830785,963,9,279
2,6,0.168971289854077,673,7,154
2,5,2.811228262840955,1108,20,700
2,3,1.997500843162124,1094,3,105
2,2,3.208946607762344,1095,18,630
2,4,2.951473329765802,1110,20,700
3,1,3.1812643816331616,963,17,527
3,3,2.606767041365462,1094,20,700
3,2,2.6995796800836884,1095,20,700
3,5,3.717925799052034,1108,16,560
3,4,4.075302079736975,1110,20,700
3,0,3.3960460548483256,964,18,558
3,6,0.6002976093461213,673,18,396
4,5,1.2851930937199711,1108,2,70
4,1,2.1365121366283697,963,13,403
4,3,2.5341303909094606,1094,16,560
4,6,0.570702821824293,673,2,44
4,0,2.804232695961475,964,20,620
4,2,2.97938816118431,1095,20,700
4,4,3.4078219745766742,1110,20,700
5,1,2.925718824903708,963,15,465
5,3,4.285918517560483,1094,20,700
5,5,3.038026226308671,1108,20,700
5,6,0.35523894466094336,673,20,440
5,0,3.160828117966942,964,16,496
5,4,1.1036816137828291,1110,1,35
5,2,4.017725716217559,1095,17,595
6,3,2.992959517931023,1094,6,210
6,0,2.7947464149102514,964,8,248
6,2,3.044060936143593,1095,8,280
6,4,3.1373555062294924,1110,20,700
6,5,3.2337903262258925,1108,19,665
6,1,3.2648806168497093,963,20,620
6,6,2.5112491441610785,673,20,440
7,6,0.7220889729059922,673,20,440
7,5,2.2505678463981065,1108,3,105
7,0,2.427104587919738,964,17,527
7,4,3.9682538279479953,1110,20,700
7,2,1.659071320961581,1095,8,280
7,1,1.0507547585973076,963,2,62
7,3,2.94364921481607,1094,20,700
8,2,3.6609699456088998,1095,20,700
8,1,2.4244687243080474,963,20,620
8,0,2.5283804027591907,964,15,465
8,4,3.626528757409272,1110,20,700
8,3,3.0468035039250227,1094,10,350
8,5,3.217630941106474,1108,13,455
8,6,0.3224663011606311,673,15,330
9,5,3.6930382094344885,1108,20,700
9,3,2.825479760012166,1094,8,280
9,0,2.8586616477985882,964,10,310
9,6,0.1409395591184386,673,18,396
9,1,3.281412989231527,963,20,620
9,2,2.7840190090998966,1095,9,315
9,4,3.951699302151456,1110,20,700
10,6,0.7750569235716874,673,6,132
10,0,1.8641929346536312,964,4,124
10,2,2.700519896412556,1095,20,700
10,3,1.0976917271628155,1094,4,140
10,1,2.971089436790793,963,20,620
10,4,2.7312071515805507,1110,13,455
10,5,3.223582221407373,1108,20,700
11,5,3.3619970135222923,1108,20,700
11,0,2.5654718266458483,964,20,620
11,2,2.956001996007343,1095,20,700
11,1,1.7142593206731986,963,8,248
11,3,2.0632606559166167,1094,11,385
11,6,0.9096350702901476,673,12,264
11,4,1.8498778495623227,1110,3,105
12,5,2.9183363619175506,1108,20,700
12,2,3.543538744356684,1095,20,700
12,0,2.389677406520471,964,15,465
12,3,3.5598712960294385,1094,20,700
12,1,2.207743547498465,963,11,341
12,4,2.4334421609376786,1110,16,560
12,6,0.45093049633447724,673,2,44
13,2,4.02099800926098,1095,12,420
13,3,3.834198675345591,1094,14,490
13,4,3.35189578729328,1110,20,700
13,1,3.6360768609906966,963,20,620
13,0,2.8274436380362005,964,10,310
13,5,3.879163121874083,1108,9,315
13,6,0.03538116651763005,673,20,440
14,5,2.238925059241337,1108,7,245
14,0,2.8105225974759978,964,20,620
14,1,1.432226648184654,963,2,62
14,6,0.3668239334891094,673,16,352
14,2,2.3920431489212306,1095,10,350
14,3,3.259156208387521,1094,20,700
14,4,3.2323851152881113,1110,20,700
15,6,2.0074539860858573,673,20,440
15,5,3.587973541966217,1108,12,420
15,0,2.721820027828986,964,20,620
15,4,2.7790521156812504,1110,2,70
15,1,2.103885857902787,963,13,403
15,2,3.7047219459689438,1095,20,700
15,3,2.6869085169591536,1094,8,280
16,0,3.1255190343185975,964,10,310
16,5,1.4095143267882562,1108,6,210
16,6,1.2864321198337005,673,20,440
16,2,2.7208230102151396,1095,9,315
16,4,2.969257780326179,1110,20,700
16,3,2.66460093504032,1094,11,385
16,1,3.885354210323934,963,20,620
17,1,3.3987953972995024,963,17,527
17,3,2.3793842290502885,1094,9,315
17,6,0.4737509431794869,673,11,242
17,2,3.2446016524392713,1095,20,700
17,4,1.400938583677609,1110,4,140
17,0,3.599882417263713,964,20,620
17,5,2.9732943105524146,1108,20,700
18,4,2.714834113676967,1110,15,525
18,0,3.3102147352536044,964,20,620
18,3,1.2079238994388712,1094,1,35
18,1,3.427970906581815,963,20,620
18,2,2.8143561604472813,1095,18,630
18,6,0.5719152119515623,673,20,440
18,5,1.8784215801280495,1108,5,175
19,5,5.57974596045461,1108,20,700
19,1,4.4893899782746765,963,2,62
19,0,5.066725919556556,964,12,372
19,4,5.357317776910943,1110,20,700
19,3,2.1115077088991905,1094,10,350
19,2,2.9763134118967494,1095,20,700
19,6,3.2060622039829316,673,17,374
20,2,4.587076246406534,1095,20,700
20,1,0.7593707755633976,963,2,62
20,4,4.1169002876449685,1110,20,700
20,0,2.7740396714024627,964,16,496
20,5,2.9284548070966934,1108,6,210
20,3,3.8148879733472194,1094,13,455
20,6,0.9941655191262952,673,20,440
21,4,2.8444366858055976,1110,15,525
21,6,0.8438105350676786,673,14,308
21,2,3.692650443423305,1095,16,560
21,0,2.9028831465909763,964,20,620
21,5,3.6115582710574334,1108,20,700
21,1,2.630599969726062,963,18,558
21,3,4.036484205914424,1094,20,700
22,0,4.075302044904223,964,20,620
22,4,2.773100688616405,1110,16,560
22,3,3.585602407227531,1094,20,700
22,6,0.5452395464049316,673,10,220
22,1,3.7080265541480797,963,18,558
22,5,3.071064172407322,1108,20,700
22,2,2.3213553744568607,1095,6,210
23,0,3.4763053767427436,964,20,620
23,6,0.41272234239426114,673,17,374
23,3,2.428323522199698,1094,14,490
23,2,2.8976736575996065,1095,19,665
23,1,2.653126594947888,963,6,186
23,4,3.304798791995784,1110,20,700
23,5,3.3344366694590635,1108,20,700
24,4,3.552717710289238,1110,20,700
24,2,1.6670209621705425,1095,1,35
24,1,1.980931439353396,963,9,279
24,0,2.47475619906108,964,17,527
24,6,0.35465367642122114,673,20,440
24,3,3.0857101658825457,1094,20,700
24,5,2.7804020772575675,1108,9,315
25,6,3.9441331789195213,673,11,242
25,5,5.894521080341484,1108,15,525
25,4,6.074437257356131,1110,20,700
25,1,5.694049190275719,963,20,620
25,0,5.068593738913435,964,2,62
25,3,3.1406190055542456,1094,20,700
25,2,2.134900353305531,1095,6,210
26,0,2.992322949115873,964,20,620
26,2,4.08677446646585,1095,20,700
26,5,3.5238379456600626,1108,16,560
26,1,2.331937938413061,963,16,496
26,4,3.807543519622008,1110,20,700
26,3,3.253215409951467,1094,6,210
26,6,0.7393664819307085,673,12,264
27,4,3.0766546556314522,1110,10,350
27,1,3.49491275744326,963,20,620
27,2,3.656941985598424,1095,20,700
27,5,3.361895799130117,1108,15,525
27,0,2.4673550087643386,964,2,62
27,6,0.2331347248033112,673,18,396
27,3,3.5848456551612125,1094,20,700
28,3,3.123346089007626,1094,20,700
28,2,2.1305414162654848,1095,7,245
28,1,2.752390110882441,963,20,620
28,4,2.3552218567455783,1110,7,245
28,0,1.4725876299498482,964,4,124
28,5,2.2018194533811086,1108,6,210
28,6,0.7854262793463714,673,20,440
29,6,0.9082745865578846,673,17,374
29,5,2.732288752457485,1108,17,595
29,3,1.7676768302319528,1094,2,70
29,0,3.280611336726172,964,20,620
29,1,3.310762919104397,963,20,620
29,2,2.100295269993844,1095,4,140
29,4,2.7154727150249,1110,20,700
30,4,3.9466317015690335,1110,20,700
30,1,2.898984200653328,963,9,279
30,2,2.6389106780971257,1095,20,700
30,0,3.5226512101180267,964,17,527
30,5,4.094001888588211,1108,20,700
30,3,2.5921273810263585,1094,19,665
30,6,1.022412116882458,673,15,330
31,0,3.046868307717241,964,20,620
31,3,2.2263689503060244,1094,10,350
31,4,3.68336784518516,1110,19,665
31,6,0.2992488624428124,673,4,88
31,5,3.9327008845258415,1108,20,700
31,1,2.8924098449920104,963,20,620
31,2,1.9857597866620516,1095,9,315
32,4,3.872010144268529,1110,20,700
32,2,3.4600693212621243,1095,20,700
32,1,2.22574809071948,963,13,403
32,0,2.7023786832519425,964,19,589
