round,client_id,update_norm,n_samples,local_epochs,tau
1,5,2.193033959139694,1108,6,210
1,6,1.9900531864427542,673,14,308
1,3,4.123176837461361,1094,20,700
1,1,4.017410246189663,963,20,620
1,2,2.7321111322186145,1095,9,315
1,4,4.069121618857654,1110,20,700
1,0,2.244170643516027,964,5,155
2,5,3.9920089508466785,1108,20,700
2,1,2.3355640059179974,963,6,186
2,2,2.497823636683803,1095,4,140
2,0,3.508489692207882,964,20,620
2,3,3.6196835892442802,1094,20,700
2,6,0.09991850955921919,673,4,88
2,4,3.8695540475309884,1110,19,665
3,6,1.1015766773969595,673,7,154
3,4,3.0925162495490834,1110,14,490
3,2,3.469080382643409,1095,20,700
3,1,1.6801586001237803,963,4,124
3,0,2.9512829975927746,964,15,465
3,3,3.5923684020172857,1094,20,700
3,5,3.912135983509915,1108,20,700
4,2,2.0856631528934106,1095,6,210
4,5,2.7310884885745246,1108,12,420
4,0,3.0621982016437266,964,16,496
4,4,1.5179062466465774,1110,2,70
4,1,3.721840446460034,963,20,620
4,3,3.707404611025132,1094,20,700
4,6,0.35928772749173216,673,20,440
5,5,1.4187383759411099,1108,4,140
5,3,3.904012572351065,1094,20,700
5,4,2.1321605949870657,1110,10,350
5,6,0.5969520540690358,673,20,440
5,0,3.232503055183517,964,16,496
5,1,3.830108297983384,963,20,620
5,2,3.489784469215584,1095,18,630
6,0,3.6543857497950416,964,20,620
6,4,2.699497753995968,1110,14,490
6,1,1.3399012339179939,963,3,93
6,6,0.39051762923362626,673,20,440
6,2,3.824815347262873,1095,18,630
6,5,0.8243088928904743,1108,1,35
6,3,4.313354451715397,1094,20,700
7,3,4.5183018783391,1094,20,700
7,2,1.4077053231840653,1095,3,105
7,5,3.9925841286920436,1108,20,700
7,4,4.174433543465512,1110,20,700
7,1,2.983645322632821,963,14,434
7,6,0.4367416472807266,673,5,110
7,0,2.8980423136036455,964,14,434
8,1,3.8689268650593838,963,20,620
8,3,4.179419291973925,1094,18,630
8,2,4.399072655691305,1095,20,700
8,4,4.3899844010792775,1110,20,700
8,5,1.622920359512161,1108,3,105
8,6,0.20826105351443444,673,1,22
8,0,3.6347390066484997,964,19,589
9,5,3.432298042123794,1108,13,455
9,4,4.796217046657075,1110,20,700
9,0,4.141800156387835,964,20,620
9,1,3.5888890925249113,963,20,620
9,6,0.4315977930341906,673,2,44
9,2,1.9299368625369555,1095,4,140
9,3,4.095976001882626,1094,16,560
10,1,2.828507778106135,963,10,310
10,4,4.616175077068429,1110,20,700
10,0,2.2967535215370445,964,8,248
10,2,4.2387634397884835,1095,18,630
10,6,0.30952021435180826,673,20,440
10,3,2.147506143834303,1094,5,175
10,5,4.5092056085220555,1108,20,700
11,5,2.325193702867107,1108,6,210
11,0,3.4060213290419217,964,20,620
11,6,0.5249514414303829,673,20,440
11,3,2.953514231664653,1094,9,315
11,1,2.9053523715695277,963,11,341
11,4,4.460489866823999,1110,20,700
11,2,3.7424216558734025,1095,14,490
12,3,3.8738143153103284,1094,16,560
12,4,4.130015887191045,1110,20,700
12,2,4.754371765540227,1095,20,700
12,6,0.43552933601143756,673,20,440
12,5,3.1591413362622847,1108,11,385
12,1,3.4746054389985574,963,15,465
12,0,3.125083976175789,964,14,434
13,2,4.35731832374867,1095,19,665
13,1,3.976396146265955,963,20,620
13,4,1.1608005378386865,1110,1,35
13,3,1.2967819706806785,1094,1,35
13,5,3.621697423322995,1108,20,700
13,0,2.9789843159752105,964,20,620
13,6,0.5563841878624799,673,15,330
14,0,2.475352908956765,964,9,279
14,5,3.254584389831531,1108,17,595
14,1,3.7872451633697746,963,20,620
14,6,0.3518204166706685,673,20,440
14,3,3.622614033239207,1094,20,700
14,4,3.2349511696686823,1110,11,385
14,2,3.4873125862837293,1095,15,525
15,5,2.5511548136245743,1108,20,700
15,4,2.9949847369879334,1110,13,455
15,2,2.897128126932995,1095,7,245
15,1,2.434211955847589,963,20,620
15,6,0.36401410927415273,673,20,440
15,3,3.0789137177580495,1094,9,315
15,0,2.2549748668560476,964,14,434
16,6,0.4728199797059054,673,10,220
16,3,1.9049997876676599,1094,4,140
16,4,3.0979190559782253,1110,20,700
16,1,1.9736631178989525,963,2,62
16,0,1.929650257938228,964,20,620
16,5,3.5966191081587064,1108,20,700
16,2,2.7587621395013207,1095,12,420
17,6,0.33471195408098553,673,20,440
17,4,2.901886199298617,1110,13,455
17,1,2.79011187589282,963,14,434
17,0,1.8310125253287945,964,19,589
17,2,2.8344249713590517,1095,20,700
17,3,2.390273883097121,1094,6,210
17,5,3.5683123765068365,1108,20,700
18,5,3.530770879653007,1108,20,700
18,4,2.7949011749736146,1110,9,315
18,2,2.6100892802054227,1095,20,700
18,0,3.3851518027628487,964,14,434
18,6,0.5061656598628413,673,16,352
