level,partition,label,js_divergence,algorithm,mu,seed,mean_ratio,mean_max,mean_avg,macro_f1,file
L0,two_client_50_50_stratified_iid,IID 50/50,0.0,fedprox,0.01,42,1.1132838756836678,0.3880729975497404,0.35650868084801013,0.6053882403046201,client_update_norms_fedprox_mu0.01_E20_s42.csv
L0,two_client_50_50_stratified_iid,IID 50/50,0.0,fedavg,0.0,42,1.1732905160291784,0.6332670969238636,0.5625468973055401,0.6083781651587098,client_update_norms_fedavg_mu0.0_E20_s42.csv
L1,two_client_86_14_quantity_only_stratified,Quantity 86/14,0.0,fedprox,0.01,42,1.5762811153402008,0.496766684383006,0.3722755723293518,0.5905620952700735,client_update_norms_fedprox_mu0.01_E20_s42.csv
L1,two_client_86_14_quantity_only_stratified,Quantity 86/14,0.0,fedavg,0.0,42,1.4381598764926498,0.7655953651444146,0.4851241380641889,0.5880905919627543,client_update_norms_fedavg_mu0.0_E20_s42.csv
L1,two_client_86_14_quantity_only_stratified,Quantity 86/14,0.0,fednova,0.0,42,1.3409451891141835,0.5533464556755857,0.37758092370408175,0.5927494011981063,client_update_norms_fednova_mu0.0_E20_s42.csv
L2,two_client_50_50_label_skew_only,Label-skew 50/50,0.1037,fedprox,0.01,42,1.194742666534122,0.6312683285060202,0.5432961124076436,0.5367441930120614,client_update_norms_fedprox_mu0.01_E20_s42.csv
L2,two_client_50_50_label_skew_only,Label-skew 50/50,0.1037,fedavg,0.0,42,1.3827695223017629,1.8734099473300687,1.4438184032160932,0.5489358046089473,client_update_norms_fedavg_mu0.0_E20_s42.csv
L3,two_client_70_30_rare_enriched,Mixed 70/30,0.1206,fedprox,0.01,42,1.4626509872892386,0.8329910490217588,0.6153675719837604,0.5089874403794757,client_update_norms_fedprox_mu0.01_E20_s42.csv
L3,two_client_70_30_rare_enriched,Mixed 70/30,0.1206,fedavg,0.0,42,1.5083804787999155,2.13305260832811,1.4747405103631348,0.5119859930616646,client_update_norms_fedavg_mu0.0_E20_s42.csv
L3,two_client_70_30_rare_enriched,Mixed 70/30,0.1206,fednova,0.0,42,1.480082027174223,1.952598372498786,1.3982648789532905,0.5268946406845013,client_update_norms_fednova_mu0.0_E20_s42.csv
L4,two_client_90_10_rare_stress,Severe 90/10,0.3853,fedprox,0.01,42,1.5805627838223477,1.6430649316794828,1.0260050926728879,0.4922805538101406,client_update_norms_fedprox_mu0.01_E20_s42.csv
L4,two_client_90_10_rare_stress,Severe 90/10,0.3853,fedavg,0.0,42,1.6071959046016433,3.152224701704296,2.00733234656661,0.5179682047532733,client_update_norms_fedavg_mu0.0_E20_s42.csv
L4,two_client_90_10_rare_stress,Severe 90/10,0.3853,fednova,0.0,42,1.6790737481045406,3.489049322855355,2.1138222670779583,0.5061880785004599,client_update_norms_fednova_mu0.0_E20_s42.csv
