algorithm,loss_type,seed,macro_f1,balanced_accuracy,rare_avg_f1,f1_actinic,f1_basal,f1_benign_kerat,f1_dermato,f1_melanoma,f1_mel_nevi,f1_vascular,file,condition
fedavg,focal,42,0.46941271049217076,0.458493691735343,0.3584954904198508,0.46938775510204084,0.3870967741935484,0.49746192893401014,0.16129032258064516,0.25705329153605017,0.8564560439560439,0.6571428571428571,test_at_best_fedavg_mu0.0_E20_loss-focal_s42.json,fedavg_focal
fedprox,class_weighted_ce,456,0.515383178173538,0.5162781207853214,0.36223092540657187,0.5369127516778524,0.5402843601895735,0.5636743215031316,0.1935483870967742,0.32171581769436997,0.8801180376244928,0.5714285714285714,test_at_best_fedprox_mu0.01_E20_loss-class_weighted_ce_s456.json,fedprox_class_weighted_ce
fedprox,focal,42,0.4602738302246875,0.4893548696066098,0.2522617479139218,0.5528455284552846,0.5309734513274337,0.5242718446601942,0.07272727272727272,0.017391304347826087,0.8570407433881344,0.6666666666666666,test_at_best_fedprox_mu0.01_E20_loss-focal_s42.json,fedprox_focal
fedprox,ce,42,0.46203597454429296,0.5025894123383395,0.28178763440860216,0.4838709677419355,0.52,0.5343137254901961,0.0,0.39375,0.8507042253521127,0.45161290322580644,test_at_best_fedprox_mu0.01_E20_s42.json,fedprox_ce
fedprox,class_weighted_ce,123,0.4880332112491444,0.5158897825182998,0.31660029287901786,0.4966442953020134,0.5258215962441315,0.5677966101694916,0.06060606060606061,0.3258145363408521,0.8761690983913206,0.5633802816901409,test_at_best_fedprox_mu0.01_E20_loss-class_weighted_ce_s123.json,fedprox_class_weighted_ce
fedavg,focal,123,0.4653752353246424,0.5029319437870241,0.30544925456429883,0.4496124031007752,0.5081081081081081,0.5263157894736842,0.25,0.017699115044247787,0.8572425828970331,0.6486486486486487,test_at_best_fedavg_mu0.0_E20_loss-focal_s123.json,fedavg_focal
fedavg,class_weighted_ce,456,0.5313171955711359,0.5360247317313425,0.4041950776024417,0.5324675324675324,0.5308056872037915,0.5581395348837209,0.27586206896551724,0.2033898305084746,0.8852223816355811,0.7333333333333333,test_at_best_fedavg_mu0.0_E20_loss-class_weighted_ce_s456.json,fedavg_class_weighted_ce
fedprox,focal,456,0.5016075895461797,0.5503235621682361,0.3507936507936508,0.5035971223021583,0.5727272727272728,0.526148969889065,0.2857142857142857,0.0,0.8563988095238095,0.7666666666666667,test_at_best_fedprox_mu0.01_E20_loss-focal_s456.json,fedprox_focal
fedavg,focal,456,0.4666603264694215,0.5127695751668664,0.28624244893350487,0.4659090909090909,0.5381165919282511,0.543046357615894,0.1724137931034483,0.0411522633744856,0.8608228980322004,0.6451612903225806,test_at_best_fedavg_mu0.0_E20_loss-focal_s456.json,fedavg_focal
fedavg,class_weighted_ce,123,0.49413079237441193,0.5205764229581153,0.33679587592371346,0.4819277108433735,0.5125628140703518,0.5641025641025641,0.25,0.11522633744855967,0.8899348298334541,0.6451612903225806,test_at_best_fedavg_mu0.0_E20_loss-class_weighted_ce_s123.json,fedavg_class_weighted_ce
fedprox,focal,123,0.466456163691192,0.5190951338477496,0.309755378720896,0.5034013605442177,0.5060240963855421,0.47928994082840237,0.20512820512820512,0.0,0.8472116119174943,0.7241379310344828,test_at_best_fedprox_mu0.01_E20_loss-focal_s123.json,fedprox_focal
fedprox,ce,123,0.49444745569652504,0.5005253867694938,0.2980722245866238,0.5419354838709678,0.5428571428571428,0.5919282511210763,0.0,0.3659147869674185,0.8901946382666177,0.5283018867924528,test_at_best_fedprox_mu0.01_E20_s123.json,fedprox_ce
fedprox,ce,456,0.47812516753364226,0.4885714794184066,0.2919582222610672,0.5371428571428571,0.5242718446601942,0.5330296127562643,0.08,0.3468950749464668,0.8765571913929785,0.4489795918367347,test_at_best_fedprox_mu0.01_E20_s456.json,fedprox_ce
fedavg,class_weighted_ce,42,0.4903417257145824,0.49565260355976964,0.36061222512835417,0.45714285714285713,0.5258215962441315,0.4832904884318766,0.1935483870967742,0.2882882882882883,0.8843004627981488,0.6,test_at_best_fedavg_mu0.0_E20_loss-class_weighted_ce_s42.json,fedavg_class_weighted_ce
fedavg,ce,42,0.47807133210689784,0.5185333041039301,0.29145499309433737,0.5133689839572193,0.5252525252525253,0.5603271983640081,0.0,0.351288056206089,0.8731856378915203,0.5230769230769231,test_at_best_fedavg_mu0.0_E20_s42.json,fedavg_ce
fedavg,ce,456,0.476635410380637,0.49093600736242016,0.28288659793814436,0.5119047619047619,0.5663716814159292,0.5265486725663717,0.0,0.28865979381443296,0.882962962962963,0.56,test_at_best_fedavg_mu0.0_E20_s456.json,fedavg_ce
fedprox,class_weighted_ce,42,0.5060548870270566,0.5113599416098624,0.359018862981399,0.5294117647058824,0.5291005291005291,0.5299145299145299,0.22727272727272727,0.22478386167146974,0.8769007965242578,0.625,test_at_best_fedprox_mu0.01_E20_loss-class_weighted_ce_s42.json,fedprox_class_weighted_ce
fedavg,ce,123,0.47504334753985056,0.49952572636742787,0.28170594837261503,0.4864864864864865,0.5412844036697247,0.5683297180043384,0.0,0.36363636363636365,0.8840849795005591,0.48148148148148145,test_at_best_fedavg_mu0.0_E20_s123.json,fedavg_ce
