seed,algorithm,mu,local_epochs,round,n_sampled,train_loss,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_f1_class_0,val_f1_class_1,val_f1_class_2,val_f1_class_3,val_f1_class_4,val_f1_class_5,val_f1_class_6
42,fedprox,0.01,20,1,2,0.4596296289802165,1.1108897868562435,0.7347956131605184,0.36490476736378374,0.3243123811857255,0.39473684210526316,0.5394736842105263,0.4642857142857143,0.0,0.0,0.8716904276985743,0.0
42,fedprox,0.01,20,2,2,0.3187337610321567,1.3942447981591952,0.7337986041874377,0.3499448638792901,0.3239226598001335,0.4642857142857143,0.5157232704402516,0.42038216560509556,0.0,0.0,0.8670674682698731,0.0
42,fedprox,0.01,20,3,2,0.20350752355845136,1.434656210518549,0.744765702891326,0.37592953494592835,0.34053419305676164,0.4583333333333333,0.5333333333333333,0.5125628140703518,0.0,0.0,0.8795098706603132,0.0
42,fedprox,0.01,20,4,2,0.10638685777267973,1.6727493254993397,0.7497507477567298,0.348556907573301,0.3305048881232474,0.2413793103448276,0.6260869565217392,0.5701357466063348,0.0,0.0,0.8759322033898305,0.0
42,fedprox,0.01,20,5,2,0.024176450068463886,1.882924646822548,0.7567298105682951,0.3884074941451991,0.3555401728513474,0.410958904109589,0.639344262295082,0.5520361990950227,0.0,0.0,0.8864418444597385,0.0
42,fedprox,0.01,20,6,2,0.01228014224874058,1.8944102585137426,0.7567298105682951,0.39301954875725365,0.3600379351490141,0.4473684210526316,0.6333333333333333,0.5555555555555556,0.0,0.0,0.8840082361015786,0.0
42,fedprox,0.01,20,7,2,0.008283450317067136,1.8634313644464326,0.7607178464606181,0.39907305808945154,0.36544382514238344,0.46153846153846156,0.6495726495726496,0.5596330275229358,0.0,0.0,0.8873626373626373,0.0
42,fedprox,0.01,20,8,2,0.008699256395171395,1.781552139450522,0.7617148554336989,0.4107755632345796,0.3726316502234162,0.49382716049382713,0.6608695652173913,0.5663716814159292,0.0,0.0,0.8873531444367657,0.0
42,fedprox,0.01,20,9,2,0.007523233110622053,1.7256330339644748,0.7617148554336989,0.4107755632345796,0.37221460243236787,0.4819277108433735,0.6608695652173913,0.5765765765765766,0.0,0.0,0.8861283643892339,0.0
42,fedprox,0.01,20,10,2,0.006125640160593955,1.7031229185321157,0.7597208374875374,0.40369930615832256,0.36715633956881294,0.4634146341463415,0.6491228070175439,0.5714285714285714,0.0,0.0,0.8861283643892339,0.0
