round,client_id,update_norm,n_samples,local_epochs
1,1,0.836005228730735,958,20
1,0,4.76572749379586,6049,20
2,0,4.734502511306532,6049,20
2,1,1.075965270159209,958,20
3,0,4.1854773110726375,6049,20
3,1,1.0358126054743706,958,20
4,0,1.790996770077447,6049,20
4,1,1.0277600541628849,958,20
5,0,0.24125877229567286,6049,20
5,1,0.994338919743541,958,20
6,1,0.9310664985969757,958,20
6,0,0.14767226242334638,6049,20
7,0,0.11907336621011025,6049,20
7,1,0.8721150197776607,958,20
8,1,0.8268173648856711,958,20
8,0,0.10232831596708498,6049,20
9,0,0.09172681432364264,6049,20
9,1,0.7828582036780282,958,20
10,1,0.7540470748082904,958,20
10,0,0.08523490588897427,6049,20
11,1,0.7222430980925172,958,20
11,0,0.08308377577515959,6049,20
12,1,0.6974801204798063,958,20
12,0,0.07961163545019893,6049,20
13,1,0.6737140397033813,958,20
13,0,0.07464954761366856,6049,20
14,1,0.6502609898579588,958,20
14,0,0.07254815541584295,6049,20
15,1,0.6294820508075963,958,20
15,0,0.07041400800118758,6049,20
16,0,0.06842750358645175,6049,20
16,1,0.6113534837547632,958,20
17,1,0.5946603073309428,958,20
17,0,0.06733940754838535,6049,20
18,0,0.06510592952169283,6049,20
18,1,0.5740724868106669,958,20
19,0,0.06382890349954702,6049,20
19,1,0.5642661796385094,958,20
20,1,0.5529560502444082,958,20
20,0,0.06322304706614844,6049,20
21,1,0.5337339128737323,958,20
21,0,0.06228439457802788,6049,20
22,0,0.05988770581199903,6049,20
22,1,0.5220866050708116,958,20
23,1,0.5138042439354407,958,20
23,0,0.05984596448092371,6049,20
24,1,0.5001723274065821,958,20
24,0,0.058464195029330056,6049,20
25,1,0.487654767319793,958,20
25,0,0.057253667382513626,6049,20
26,0,0.061487187238713804,6049,20
26,1,0.47878772807149744,958,20
27,1,0.46929683055577104,958,20
27,0,0.05575021686529045,6049,20
28,1,0.45973983540050073,958,20
28,0,0.05461269897652221,6049,20
29,0,0.05359490393619794,6049,20
29,1,0.45264923149374664,958,20
30,0,0.056558286509590654,6049,20
30,1,0.4405054324757125,958,20
31,1,0.43313245639958936,958,20
31,0,0.053269441786812366,6049,20
32,1,0.42128955752360525,958,20
32,0,0.05137037049777626,6049,20
33,1,0.4110043605861615,958,20
33,0,0.05273013649940271,6049,20
34,1,0.4000499859989883,958,20
34,0,0.04984470341963492,6049,20
35,0,0.05171841783908663,6049,20
35,1,0.3895953168111725,958,20
36,0,0.050727719244840014,6049,20
36,1,0.38109354630693165,958,20
37,0,0.04641569005771036,6049,20
37,1,0.37368439787511465,958,20
38,1,0.36405238678998886,958,20
38,0,0.0501605478328896,6049,20
39,1,0.3566900829091804,958,20
39,0,0.048891778384537614,6049,20
40,1,0.3481451378394006,958,20
40,0,0.04730417263592851,6049,20
41,1,0.33731598836250465,958,20
41,0,0.04634506936005568,6049,20
42,1,0.334622450619294,958,20
42,0,0.04719468677287037,6049,20
43,1,0.32939185217575656,958,20
43,0,0.04528550307345117,6049,20
44,1,0.3181799727909811,958,20
44,0,0.04611237830205359,6049,20
45,1,0.3141318877103603,958,20
45,0,0.04413474515309507,6049,20
46,0,0.04417084183318614,6049,20
46,1,0.3063786557833198,958,20
47,0,0.04294445120419877,6049,20
47,1,0.3055490336671705,958,20
48,0,0.04379763297022146,6049,20
48,1,0.2969700226903476,958,20
49,0,0.040852249862780375,6049,20
49,1,0.29547762227580754,958,20
50,0,0.04359054586658094,6049,20
50,1,0.2891129474480443,958,20
51,1,0.28785641994608696,958,20
51,0,0.041745148673859575,6049,20
52,1,0.28274643580837183,958,20
52,0,0.0411698499616807,6049,20
53,1,0.2799478635543281,958,20
53,0,0.04177324322499779,6049,20
54,1,0.27506927204596643,958,20
54,0,0.04202482163860624,6049,20
55,0,0.04125168834204041,6049,20
55,1,0.27224858730900364,958,20
56,1,0.2672377684267525,958,20
56,0,0.041452624600410076,6049,20
57,0,0.03939436831286984,6049,20
57,1,0.26766113853122026,958,20
58,0,0.03960784545352313,6049,20
58,1,0.2642483899192563,958,20
59,1,0.2617052895805227,958,20
59,0,0.03874739075392731,6049,20
60,0,0.039979895007780854,6049,20
60,1,0.2600966350740186,958,20
61,0,0.03978326700720637,6049,20
61,1,0.2590909834941868,958,20
62,1,0.2539212302215888,958,20
62,0,0.03927807548130037,6049,20
63,0,0.04108494268616611,6049,20
63,1,0.2538731921593481,958,20
64,0,0.03874198891004436,6049,20
64,1,0.2518472060503904,958,20
65,0,0.03663661625914628,6049,20
65,1,0.2502392976721415,958,20
66,1,0.2465336931686909,958,20
66,0,0.03829480371333474,6049,20
67,0,0.03711582628209354,6049,20
67,1,0.24904103137456196,958,20
68,1,0.23900482948290652,958,20
68,0,0.037463352603420805,6049,20
69,1,0.24169638267693305,958,20
69,0,0.037384262503201066,6049,20
70,0,0.036013590298854765,6049,20
70,1,0.23978061952622573,958,20
71,1,0.24108813740355503,958,20
71,0,0.03675398379390102,6049,20
72,1,0.233187768701701,958,20
72,0,0.037632327470541925,6049,20
73,0,0.036621647879352466,6049,20
73,1,0.23804556960978032,958,20
74,0,0.035863434242134215,6049,20
74,1,0.23127207929245697,958,20
75,0,0.03448037970971725,6049,20
75,1,0.2306520450994699,958,20
76,0,0.0352354068600078,6049,20
76,1,0.2293766606632801,958,20
77,1,0.226130643755916,958,20
77,0,0.03559330046705565,6049,20
78,1,0.22659649138849725,958,20
78,0,0.03429793464556173,6049,20
79,1,0.22807570277302194,958,20
79,0,0.034321594670292076,6049,20
80,0,0.035335141869244614,6049,20
80,1,0.2277772352562801,958,20
81,1,0.22873721983255263,958,20
81,0,0.03568070478474606,6049,20
82,0,0.03381107621570534,6049,20
82,1,0.2201560416207144,958,20
83,1,0.22432578000226647,958,20
83,0,0.03630843217642991,6049,20
84,0,0.03382041863074479,6049,20
84,1,0.22500973077276673,958,20
85,0,0.034346502474119,6049,20
85,1,0.21937934614620286,958,20
86,1,0.22262189209286168,958,20
86,0,0.03343277976724411,6049,20
87,1,0.21809509343656458,958,20
87,0,0.03355715548953556,6049,20
88,1,0.21847439535649016,958,20
88,0,0.03371472020087262,6049,20
89,0,0.032948665577467444,6049,20
89,1,0.2188778323637182,958,20
90,0,0.03438135798284998,6049,20
90,1,0.21750947709740373,958,20
91,0,0.03591992781260044,6049,20
