round,client_id,update_norm,n_samples,local_epochs
1,1,2.3403600443639503,958,20
1,0,4.76692806362503,6049,20
2,0,4.674671060234834,6049,20
2,1,2.285601056182636,958,20
3,0,4.2818664117125955,6049,20
3,1,2.30190094733118,958,20
4,0,1.2782385774236111,6049,20
4,1,2.2034622330171474,958,20
5,1,2.0493341326051318,958,20
5,0,0.2271284339542631,6049,20
6,1,1.8131513593435664,958,20
6,0,0.16311713678832462,6049,20
7,0,0.14572299446077466,6049,20
7,1,1.6186388378171763,958,20
8,1,1.477848834923581,958,20
8,0,0.1310612439775085,6049,20
9,0,0.12538490437438554,6049,20
9,1,1.3781276803905869,958,20
10,1,1.2717685035178454,958,20
10,0,0.12637590609914384,6049,20
11,1,1.1650598380402704,958,20
11,0,0.12772092039302835,6049,20
12,0,0.12231419602626162,6049,20
12,1,1.042956183860744,958,20
13,1,1.1873295777245958,958,20
13,0,0.11233773109282956,6049,20
14,0,0.1290961066459838,6049,20
14,1,0.8932428379050664,958,20
15,1,0.9122977535006864,958,20
15,0,0.10233239648613834,6049,20
16,1,0.98366240091257,958,20
16,0,0.10466345305934871,6049,20
17,1,0.9184800464234374,958,20
17,0,0.11779834769227206,6049,20
18,0,0.11003728027159916,6049,20
18,1,0.916876220753097,958,20
19,0,0.11316842427949227,6049,20
19,1,0.8284630444013514,958,20
20,0,0.10500205242594673,6049,20
20,1,0.8487098988731718,958,20
21,0,0.10636348003281408,6049,20
21,1,0.8900470864395967,958,20
22,0,0.10930289383578629,6049,20
22,1,0.8922581967340633,958,20
23,1,0.7230981107152294,958,20
23,0,0.1122944595798474,6049,20
24,1,0.8032725790964959,958,20
24,0,0.09702289427222013,6049,20
25,1,0.7712912369091436,958,20
25,0,0.11831363314246152,6049,20
26,1,0.782725789910389,958,20
26,0,0.11332413281221992,6049,20
27,1,0.8829675871058158,958,20
27,0,0.09505399553474075,6049,20
28,0,0.10977363750034391,6049,20
28,1,0.8356829364711411,958,20
29,1,0.811571728427929,958,20
29,0,0.10148386929777947,6049,20
30,1,0.8455508397247175,958,20
30,0,0.10244006011277701,6049,20
31,0,0.10668700297191433,6049,20
31,1,0.8858392406273621,958,20
32,1,0.8449047589791575,958,20
32,0,0.10704070971234156,6049,20
33,0,0.10814170219407908,6049,20
33,1,0.8576777666019518,958,20
34,1,0.8585311214167064,958,20
34,0,0.11170084011043813,6049,20
35,0,0.12191358012918076,6049,20
35,1,0.8474106796711783,958,20
36,1,0.8381832986095976,958,20
36,0,0.10958820631654557,6049,20
37,0,2.4036980701473865,6049,20
37,1,0.8922431047739384,958,20
38,0,0.11427068362401994,6049,20
38,1,1.0306478668436534,958,20
39,0,0.10408516904840955,6049,20
39,1,0.9239318586653308,958,20
40,1,0.856825531087154,958,20
40,0,0.10050729995372247,6049,20
41,0,0.09253342160586343,6049,20
41,1,0.8013986270654724,958,20
42,1,0.8690654736383265,958,20
42,0,0.08942282417816294,6049,20
43,1,0.7928337228335839,958,20
43,0,0.10300763161418386,6049,20
44,1,0.770860800992084,958,20
44,0,0.09553821214291278,6049,20
45,1,0.7082740341188836,958,20
45,0,0.8520606341937641,6049,20
46,0,1.1991749725826395,6049,20
46,1,0.713843893391212,958,20
47,1,0.8708025500270515,958,20
