round,client_id,update_norm,n_samples,local_epochs,tau
1,1,0.4561056432563608,958,20,1920
1,0,4.764039098923981,6049,20,12100
2,1,0.5118370423324551,958,20,1920
2,0,4.770119948241319,6049,20,12100
3,1,0.36976267628063003,958,20,1920
3,0,4.526772719436941,6049,20,12100
4,1,0.3866636857004859,958,20,1920
4,0,2.3764204058178877,6049,20,12100
5,1,0.35096477641915086,958,20,1920
5,0,0.4198131096963231,6049,20,12100
6,0,0.30873905184446365,6049,20,12100
6,1,0.29692611709836614,958,20,1920
7,1,0.2761653286991221,958,20,1920
7,0,0.2578912080288728,6049,20,12100
8,1,0.250783477674936,958,20,1920
8,0,0.2353893348137475,6049,20,12100
9,1,0.23324874636767629,958,20,1920
9,0,0.22638861016937856,6049,20,12100
10,1,0.22197465213444711,958,20,1920
10,0,0.20267096568651044,6049,20,12100
11,1,0.20855067485371062,958,20,1920
11,0,0.19018167609516867,6049,20,12100
12,0,0.19322624017745874,6049,20,12100
12,1,0.20227291116874968,958,20,1920
13,1,0.1970178063849417,958,20,1920
13,0,0.17107754472434528,6049,20,12100
14,1,0.18710552547716697,958,20,1920
14,0,1.6571034779612903,6049,20,12100
15,0,0.1597614657988493,6049,20,12100
15,1,0.26651191010378217,958,20,1920
16,1,0.1897150625240733,958,20,1920
16,0,0.2693943879494272,6049,20,12100
17,0,0.15961426575024937,6049,20,12100
17,1,0.21740363330193258,958,20,1920
18,1,0.17944439372506388,958,20,1920
18,0,0.9442623039028991,6049,20,12100
19,1,0.2341527992049547,958,20,1920
19,0,0.17020510904917796,6049,20,12100
20,0,1.0957757499461127,6049,20,12100
20,1,0.17928936816734184,958,20,1920
21,1,0.24250080030034443,958,20,1920
21,0,0.15063054803278442,6049,20,12100
22,0,0.1972524768857847,6049,20,12100
22,1,0.17878571168965937,958,20,1920
23,0,0.15463844210465072,6049,20,12100
23,1,0.1937560508575065,958,20,1920
24,1,0.16946287314648223,958,20,1920
24,0,0.1936591042072616,6049,20,12100
25,0,0.14918198109713157,6049,20,12100
25,1,0.17294586837882814,958,20,1920
