round,client_id,update_norm,n_samples,local_epochs,tau
1,1,1.1685034001325894,958,20,1920
1,0,4.7096135515072355,6049,20,12100
2,1,1.0069922624726362,958,20,1920
2,0,5.030731060313907,6049,20,12100
3,1,0.8383505462877855,958,20,1920
3,0,4.531855279281584,6049,20,12100
4,1,0.8084308200256904,958,20,1920
4,0,1.9244805419868523,6049,20,12100
5,1,0.5858995824483937,958,20,1920
5,0,1.0696822114618492,6049,20,12100
6,0,0.3296458053487883,6049,20,12100
6,1,0.4545847266985117,958,20,1920
7,0,1.0255670519061353,6049,20,12100
7,1,0.3097436334564405,958,20,1920
8,1,0.3767690425209862,958,20,1920
8,0,0.254019269409984,6049,20,12100
9,1,0.2519296061278833,958,20,1920
9,0,1.1100841463763653,6049,20,12100
10,0,1.11325428960295,6049,20,12100
10,1,0.35676984743761564,958,20,1920
11,1,0.31252865020388443,958,20,1920
11,0,0.8159431204305582,6049,20,12100
12,0,0.3561604287391864,6049,20,12100
12,1,0.28647548334682205,958,20,1920
13,0,0.22429289806483538,6049,20,12100
13,1,0.2415809210564952,958,20,1920
14,0,0.23649448777582482,6049,20,12100
14,1,0.21778922843519516,958,20,1920
15,0,0.21239818397783639,6049,20,12100
15,1,0.20787920551839478,958,20,1920
16,0,0.22066410039766238,6049,20,12100
16,1,0.1979956243224769,958,20,1920
17,1,0.20044170589305316,958,20,1920
17,0,0.3012800082608691,6049,20,12100
18,1,0.21917790945867802,958,20,1920
18,0,0.19516407650844098,6049,20,12100
19,0,0.8826654571598327,6049,20,12100
19,1,0.17965635760039936,958,20,1920
20,1,0.25944750166239366,958,20,1920
20,0,0.6492490383276567,6049,20,12100
21,0,0.2169858792752094,6049,20,12100
21,1,0.2104810191102554,958,20,1920
22,0,0.2135332390976825,6049,20,12100
22,1,0.20906120080769675,958,20,1920
23,0,0.21496034720052373,6049,20,12100
23,1,0.2107411609347864,958,20,1920
24,1,0.18056104450891172,958,20,1920
24,0,0.7439755428846438,6049,20,12100
25,0,0.18239245274410604,6049,20,12100
25,1,0.22874219371867366,958,20,1920
26,1,0.17325437002464172,958,20,1920
26,0,1.0169793820213888,6049,20,12100
27,1,0.2488806951741657,958,20,1920
27,0,0.1713188654878444,6049,20,12100
28,1,0.17109878946624651,958,20,1920
28,0,0.24303894188144384,6049,20,12100
29,0,0.15983264206975795,6049,20,12100
29,1,0.21350577456696523,958,20,1920
30,1,0.16024921196809014,958,20,1920
30,0,1.3960612866432416,6049,20,12100
31,0,0.2909232964317689,6049,20,12100
31,1,0.2871252157337309,958,20,1920
32,1,0.22088689633740496,958,20,1920
32,0,0.19620774706275207,6049,20,12100
33,0,0.20407878463466117,6049,20,12100
33,1,0.1699998589399321,958,20,1920
