round,client_id,update_norm,n_samples,local_epochs
1,1,1.153249888623498,958,20
1,0,3.356491834114061,6049,20
2,0,3.321514775075538,6049,20
2,1,1.251493929516583,958,20
3,1,1.257374820529391,958,20
3,0,3.38418913485956,6049,20
4,1,1.245585166970869,958,20
4,0,2.4400917119951737,6049,20
5,1,1.2294578573312929,958,20
5,0,0.7061316034186237,6049,20
6,1,1.1861113788507571,958,20
6,0,0.20235836999935392,6049,20
7,1,1.1308282308419015,958,20
7,0,0.139914804936641,6049,20
8,0,0.11375037577541962,6049,20
8,1,1.0727747413796402,958,20
9,1,1.004824731595648,958,20
9,0,0.09929035798441954,6049,20
10,0,0.09146842946159825,6049,20
10,1,0.9411139130629815,958,20
11,0,0.08590479235325635,6049,20
11,1,0.8722267983723605,958,20
12,0,0.08292297270358095,6049,20
12,1,0.8153585126927614,958,20
13,1,0.7566418855176817,958,20
13,0,0.0788688788345162,6049,20
14,1,0.7067600541923157,958,20
14,0,0.07510445314106115,6049,20
15,0,0.07319161245779233,6049,20
15,1,0.6581935701745564,958,20
16,0,0.07303652889534179,6049,20
16,1,0.6214831638544237,958,20
17,0,0.06991909590318045,6049,20
17,1,0.5889516635496023,958,20
18,0,0.06743739220387797,6049,20
18,1,0.5576157185416749,958,20
19,0,0.06686071676562363,6049,20
19,1,0.5288302436758149,958,20
20,1,0.5014090678376146,958,20
20,0,0.06349351676109197,6049,20
21,1,0.4826186238994149,958,20
21,0,0.0631234694165707,6049,20
22,1,0.4720873755387116,958,20
22,0,0.061486190185667415,6049,20
23,0,0.06023592413152724,6049,20
23,1,0.4423025307797058,958,20
24,0,0.06068930895776397,6049,20
24,1,0.42836211650741035,958,20
25,0,0.05722169991940156,6049,20
25,1,0.4166587643686907,958,20
26,1,0.4033762051816554,958,20
26,0,0.05533881486470639,6049,20
27,1,0.3949422720510187,958,20
27,0,0.05474156188111835,6049,20
28,0,0.05472059163075439,6049,20
28,1,0.38849444300051855,958,20
29,0,0.052993565885976535,6049,20
29,1,0.3693006223678328,958,20
30,1,0.3645577018439411,958,20
30,0,0.052703332787674646,6049,20
31,1,0.3596979686292567,958,20
31,0,0.051002052338305036,6049,20
32,1,0.3479550109176005,958,20
32,0,0.05038993264120542,6049,20
33,1,0.34903169573707526,958,20
33,0,0.051167076458358864,6049,20
34,1,0.3384886981067699,958,20
34,0,0.04945590073510746,6049,20
35,1,0.3281853934054576,958,20
35,0,0.04950294246464454,6049,20
36,1,0.3205198582685747,958,20
36,0,0.04754993210365852,6049,20
37,1,0.32496561999525364,958,20
37,0,0.046536209154239554,6049,20
38,1,0.33519272844581627,958,20
38,0,0.0464013033647498,6049,20
39,0,0.04627354491281493,6049,20
39,1,0.31519069509034736,958,20
40,0,0.04591829225907067,6049,20
40,1,0.30447002965242437,958,20
41,1,0.3226268802132905,958,20
41,0,0.046133603902642144,6049,20
42,1,0.3029968099674341,958,20
42,0,0.04553278110205491,6049,20
43,1,0.30196569646642524,958,20
43,0,0.045412217234473126,6049,20
44,0,0.0438075138549201,6049,20
44,1,0.2958316498846071,958,20
45,1,0.293039556943076,958,20
45,0,0.04347050140395995,6049,20
46,0,0.042366412164017216,6049,20
46,1,0.30150862265471406,958,20
47,0,0.04394490480135215,6049,20
47,1,0.2953295388080771,958,20
48,1,0.28452823455434195,958,20
48,0,0.04253359644966495,6049,20
49,1,0.2849023240909206,958,20
49,0,0.042000296082483866,6049,20
50,0,0.04219958655479074,6049,20
50,1,0.2886745470939294,958,20
51,0,0.04243155672258677,6049,20
51,1,0.2911580210588605,958,20
52,0,0.041936515900398603,6049,20
52,1,0.28625500437274914,958,20
53,1,0.28555829698679625,958,20
53,0,0.04221585211962225,6049,20
54,0,0.042134602489484516,6049,20
54,1,0.27127301677523247,958,20
55,1,0.26488706793136796,958,20
55,0,0.04063486901792625,6049,20
56,1,0.2823962315412288,958,20
56,0,0.03975720147495976,6049,20
57,1,0.28397108120447057,958,20
57,0,0.040679620057324894,6049,20
58,0,0.04203289080916006,6049,20
58,1,0.2876303919068174,958,20
59,0,0.04128026860473022,6049,20
59,1,0.27892187769713644,958,20
60,0,0.03998558801914883,6049,20
60,1,0.2708499721583745,958,20
61,0,0.03956560097924226,6049,20
61,1,0.27012896029801947,958,20
62,1,0.24970563400935636,958,20
62,0,0.03914561010314937,6049,20
63,0,0.03719383400924887,6049,20
63,1,0.26327610361504994,958,20
64,1,0.25086877215180675,958,20
64,0,0.038833639235511204,6049,20
65,1,0.2605701256659052,958,20
65,0,0.03804663153414196,6049,20
66,0,0.038993667328427115,6049,20
66,1,0.2540890333911316,958,20
67,1,0.2933096347402858,958,20
67,0,0.03770408157858338,6049,20
68,1,0.268502431029103,958,20
68,0,0.039394045314712606,6049,20
69,0,0.03815307413443885,6049,20
69,1,0.29470179701813703,958,20
70,0,0.040387697419521584,6049,20
70,1,0.2585003741196498,958,20
71,0,0.03844780540040481,6049,20
71,1,0.28346452969793634,958,20
72,0,0.04050045612351918,6049,20
72,1,0.2411797992009822,958,20
73,0,0.03595505825495323,6049,20
73,1,0.2816878438050655,958,20
74,1,0.3087644531253819,958,20
74,0,0.040030211520110395,6049,20
75,0,0.0405724366208451,6049,20
75,1,0.24266995417764148,958,20
76,0,0.0376286789319618,6049,20
76,1,0.2747502846268111,958,20
77,0,0.038752196377691256,6049,20
77,1,0.3133844184925587,958,20
78,0,0.041043594458086995,6049,20
78,1,0.26587077155923355,958,20
79,1,0.2659618166122439,958,20
79,0,0.039670988022671425,6049,20
80,0,0.03860597202354324,6049,20
80,1,0.24480277561467687,958,20
81,0,0.03721517916892624,6049,20
81,1,0.2596559845291095,958,20
82,0,0.0373825784864169,6049,20
82,1,0.23639961276054808,958,20
83,1,0.2807509229909779,958,20
83,0,0.03638151978059206,6049,20
84,1,0.24951622200051976,958,20
84,0,0.03910467705101936,6049,20
85,0,0.03757251966120147,6049,20
85,1,0.29336868191917287,958,20
86,1,0.28118943165738813,958,20
86,0,0.040652481955817735,6049,20
87,1,0.26560119537304516,958,20
87,0,0.03882741472602285,6049,20
88,1,0.24664881813366063,958,20
88,0,0.038305259822228106,6049,20
89,0,0.037042096931965564,6049,20
89,1,0.23944980638742858,958,20
90,1,0.27655162817668383,958,20
90,0,0.03607106475887719,6049,20
91,1,0.267268584212125,958,20
91,0,0.037398489456101705,6049,20
92,0,0.03824847367072179,6049,20
92,1,0.27750550325150286,958,20
93,1,0.23907017173844655,958,20
93,0,0.036991358070695785,6049,20
94,1,0.25064275397635916,958,20
94,0,0.035911195960033795,6049,20
95,0,0.03496835088015567,6049,20
95,1,0.2533445281138965,958,20
96,1,0.27419085116891534,958,20
96,0,0.03697882556879061,6049,20
97,0,0.03928703090948659,6049,20
97,1,0.23980732369176647,958,20
98,1,0.27713842257265814,958,20
98,0,0.03571099501933954,6049,20
99,1,0.2575943080295125,958,20
99,0,0.03810943553864432,6049,20
100,1,0.25212092443335804,958,20
100,0,0.03814583487699392,6049,20
101,1,0.29021102351191913,958,20
101,0,0.037815677859030554,6049,20
102,0,0.0402482410507998,6049,20
102,1,0.25759390719755704,958,20
103,1,0.2483724200192006,958,20
103,0,0.03693969274141768,6049,20
104,0,0.040823562794536646,6049,20
104,1,0.25004032326983294,958,20
105,1,0.2592299868376926,958,20
105,0,0.03608325006131439,6049,20
106,0,0.03719399627289787,6049,20
106,1,0.2805902988024108,958,20
107,0,0.03802038241831912,6049,20
107,1,0.28675799002433466,958,20
108,0,0.040619112582648914,6049,20
108,1,0.25471742159270405,958,20
109,1,0.25520224623572574,958,20
109,0,0.03776980711761008,6049,20
110,0,0.037467295211758046,6049,20
110,1,0.27179949603920134,958,20
111,0,0.03635000010478355,6049,20
111,1,0.2592297206388892,958,20
112,0,0.0372374604591719,6049,20
112,1,0.28204195145528055,958,20
113,0,0.038290954035650505,6049,20
113,1,0.257513002522729,958,20
114,0,0.036066963877643736,6049,20
114,1,0.2439921089151035,958,20
115,1,0.3118037809740138,958,20
115,0,0.03581258119764801,6049,20
116,0,0.040920612925444085,6049,20
116,1,0.2650857564713607,958,20
117,0,0.04053408482028728,6049,20
117,1,0.2568567183713239,958,20
118,1,0.23707299277405225,958,20
118,0,0.03818154693186581,6049,20
119,1,0.2610208066555745,958,20
119,0,0.03555583030991727,6049,20
120,1,0.24552424630830916,958,20
120,0,0.037568134890575394,6049,20
121,0,0.035738798876520546,6049,20
121,1,0.2893737397248187,958,20
122,1,0.25229974150193696,958,20
122,0,0.0402668988204607,6049,20
123,1,0.2758842062036347,958,20
123,0,0.03765551344917824,6049,20
124,0,0.03852392572081758,6049,20
124,1,0.2808890239229855,958,20
125,0,0.039122321939429466,6049,20
125,1,0.26500832658781703,958,20
126,0,0.03917364410610608,6049,20
126,1,0.2596188552273815,958,20
127,0,0.03707397821985526,6049,20
127,1,0.2972340304072678,958,20
128,0,0.03913830111734325,6049,20
128,1,0.28654695722799145,958,20
129,0,0.04144059733440695,6049,20
129,1,0.22256129889608575,958,20
130,1,0.29117620005447276,958,20
130,0,0.034979508480095074,6049,20
131,1,0.2798052020659396,958,20
131,0,0.03976658406305878,6049,20
132,1,0.24296320684579392,958,20
132,0,0.042194875196111224,6049,20
133,0,0.03554502253595235,6049,20
133,1,0.2476419676105669,958,20
134,1,0.29838894965169055,958,20
134,0,0.03635863300220804,6049,20
135,0,0.040775240003508996,6049,20
135,1,0.28442846830506974,958,20
136,0,0.039822724933830926,6049,20
136,1,0.23398877507518492,958,20
137,0,0.03552750487044946,6049,20
137,1,0.27640893061732197,958,20
138,1,0.25737024351120386,958,20
138,0,0.03692967257135764,6049,20
139,1,0.2715961848165016,958,20
139,0,0.04081485341914444,6049,20
140,0,0.03701293434124335,6049,20
140,1,0.2580574009478711,958,20
141,0,0.036297906138727264,6049,20
141,1,0.28600803372186584,958,20
142,1,0.28375092433434146,958,20
142,0,0.038480972123832016,6049,20
143,1,0.22369442580486487,958,20
