round,client_id,update_norm,n_samples,local_epochs
1,0,3.4059654561415607,6049,20
1,1,2.150658360370823,958,20
2,0,3.373590365573937,6049,20
2,1,2.163826432569572,958,20
3,1,2.177822340873045,958,20
3,0,3.303989286446592,6049,20
4,1,1.9908252056656912,958,20
4,0,2.315917881958466,6049,20
5,0,0.6688559366215511,6049,20
5,1,1.8360118624912733,958,20
6,1,1.6353400667672093,958,20
6,0,0.21516512656979395,6049,20
7,0,0.15388245843310958,6049,20
7,1,1.4287008954390248,958,20
8,0,0.12835767571243017,6049,20
8,1,1.2896236098289422,958,20
9,0,0.11602353352663833,6049,20
9,1,1.221652611267754,958,20
10,0,0.11365752432229609,6049,20
10,1,1.1281879760061622,958,20
11,1,1.0002571549987356,958,20
11,0,0.10783816724743144,6049,20
12,0,0.10108248018044035,6049,20
12,1,0.9251930194659778,958,20
13,0,0.09784136308359839,6049,20
13,1,0.8753399217175294,958,20
14,1,0.8958598528885924,958,20
14,0,0.09660295276943226,6049,20
15,1,0.7557057769807558,958,20
15,0,0.10177510325022325,6049,20
16,0,0.09187664403608838,6049,20
16,1,0.9451900265979619,958,20
17,1,0.74502859387341,958,20
17,0,0.10573087351957687,6049,20
18,0,0.08822088326829355,6049,20
18,1,0.7291041777536692,958,20
19,0,0.08803021608168891,6049,20
19,1,0.7779600882343387,958,20
20,1,0.7138125880319032,958,20
20,0,0.09187225934150565,6049,20
21,0,0.09093500025039522,6049,20
21,1,0.8009983133681329,958,20
22,1,0.8598801768643283,958,20
22,0,0.09187690832417299,6049,20
23,0,0.09617322555053329,6049,20
23,1,0.713495186393957,958,20
24,0,0.09164841860599676,6049,20
24,1,0.7497244122130378,958,20
25,1,0.8927375316694173,958,20
25,0,0.09187397463771066,6049,20
26,0,0.09982546593290045,6049,20
26,1,0.6884871085829066,958,20
27,0,0.08439689330422748,6049,20
27,1,0.662377957509108,958,20
28,0,0.08561677940095733,6049,20
28,1,0.7527067574745697,958,20
29,1,0.7101069182974806,958,20
29,0,0.09462757736586024,6049,20
