round,client_id,update_norm,n_samples,local_epochs
1,1,2.147194604304357,958,20
1,0,3.3524310792987864,6049,20
2,0,3.3078280226675845,6049,20
2,1,2.162654673116814,958,20
3,0,3.38212909643873,6049,20
3,1,2.190725917921822,958,20
4,0,2.3685303809933003,6049,20
4,1,1.9604934234331177,958,20
5,1,1.804066081958379,958,20
5,0,0.41556413565630723,6049,20
6,0,0.1966666384492913,6049,20
6,1,1.605847809787107,958,20
7,1,1.4250054623820714,958,20
7,0,0.1463057247530764,6049,20
8,0,0.12545017657319277,6049,20
8,1,1.3236362596787916,958,20
9,1,1.2164173640294267,958,20
9,0,0.1160284737496947,6049,20
10,0,0.11181307344535918,6049,20
10,1,1.1266998314826595,958,20
11,0,0.10753965664862065,6049,20
11,1,1.0178197240412912,958,20
12,1,0.9535266224679728,958,20
12,0,0.10453565792290963,6049,20
13,0,0.10109962702878324,6049,20
13,1,1.0057672248679292,958,20
14,0,0.1010675927170707,6049,20
14,1,0.8970510955887921,958,20
15,1,0.7838855853375516,958,20
15,0,0.10228028820672805,6049,20
16,1,0.8837452753612292,958,20
16,0,0.09587429376652952,6049,20
17,0,0.09929538024383483,6049,20
17,1,0.8187337653938062,958,20
18,1,0.7015429140947537,958,20
18,0,0.09658649464908545,6049,20
19,1,0.8541922717933855,958,20
19,0,0.0870635688849522,6049,20
20,1,0.6818661378441218,958,20
20,0,0.09844084336910468,6049,20
21,1,0.7237647343243355,958,20
21,0,0.08780086188464517,6049,20
22,1,0.6934186688925469,958,20
22,0,0.08694884354516184,6049,20
23,1,0.666204155694541,958,20
23,0,0.08574813480517907,6049,20
24,1,0.7503540543684896,958,20
24,0,0.08468844859563146,6049,20
25,1,0.6595969471766125,958,20
25,0,0.08617935530962655,6049,20
26,0,0.08337892758518284,6049,20
26,1,0.7109581175769539,958,20
27,1,0.7429150645806367,958,20
27,0,0.08564986616508889,6049,20
28,1,0.706622412523728,958,20
28,0,0.08741538957517579,6049,20
29,1,0.6426993297698781,958,20
29,0,0.08520616107109123,6049,20
30,0,0.0819704021827976,6049,20
30,1,0.6738358587104758,958,20
31,0,0.08167469432433441,6049,20
31,1,0.7180584528688199,958,20
32,0,0.08651574639246443,6049,20
32,1,0.6330746449266313,958,20
33,0,0.08209372420193654,6049,20
33,1,0.7034605773331924,958,20
34,1,0.7705818632611224,958,20
34,0,0.08863490452875247,6049,20
35,1,0.6450058180169221,958,20
35,0,0.9324398339943435,6049,20
36,0,0.08321508822777157,6049,20
36,1,0.6621103988288886,958,20
37,1,0.7052014864586131,958,20
37,0,0.07401115339898856,6049,20
38,0,0.083177545085085,6049,20
38,1,0.7689300269199065,958,20
39,0,0.08846596103120836,6049,20
39,1,0.6568753788727175,958,20
40,0,0.07842313263433984,6049,20
40,1,0.714777660304156,958,20
41,1,0.7345152547014981,958,20
41,0,0.08301334991803665,6049,20
42,0,0.0897786059801636,6049,20
42,1,0.6016064106217605,958,20
43,1,0.6706179861449553,958,20
43,0,0.07844234422695413,6049,20
44,0,0.08071741865349008,6049,20
44,1,0.645522663239996,958,20
45,0,0.08358572857389918,6049,20
45,1,0.6354487139529663,958,20
46,1,0.7154218579723662,958,20
46,0,0.07945204283413915,6049,20
47,1,0.6823574558553198,958,20
