round,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_loss_flower,train_loss_weighted,algorithm,mu,seed,local_epochs
0,1.939002157327304,0.0518444666001994,0.14285714285714285,0.014082599864590387,1.939002157327304,,fedprox,0.01,42,20
1,1.4441969136773412,0.6689930209371885,0.14285714285714285,0.11452466291175968,1.4441969136773412,0.5655414969735758,fedprox,0.01,42,20
2,1.0881195574672011,0.6689930209371885,0.14285714285714285,0.11452466291175968,1.0881195574672011,0.49679003448596537,fedprox,0.01,42,20
3,1.0607918848544509,0.6739780658025922,0.17221841179686612,0.16036349943783276,1.0607918848544509,0.4035893788720829,fedprox,0.01,42,20
4,1.0962754194425086,0.6849451645064806,0.25436034838845145,0.25056083719727357,1.0962754194425086,0.34438001292109405,fedprox,0.01,42,20
5,1.0206480344176174,0.7038883349950149,0.28644732063935807,0.2946740735463632,1.0206480344176174,0.28815727656463275,fedprox,0.01,42,20
6,1.0693315351354042,0.7018943170488534,0.3050869821361624,0.2867113519345211,1.0693315351354042,0.2445024396716612,fedprox,0.01,42,20
7,1.1019870770773883,0.7228315054835494,0.3654149424641228,0.36314297935350265,1.1019870770773883,0.19383128545004713,fedprox,0.01,42,20
8,1.1051635977515908,0.7178464606181456,0.31430904686174005,0.3315641930781406,1.1051635977515908,0.17265278621668162,fedprox,0.01,42,20
9,1.3373530102394158,0.7188434695912264,0.3293347547445908,0.34304431407021907,1.3373530102394158,0.11537839454695162,fedprox,0.01,42,20
10,1.2231513619541765,0.7308075772681955,0.4138602541412846,0.4198286313410815,1.2231513619541765,0.12680411144728104,fedprox,0.01,42,20
11,1.2744843751221806,0.7178464606181456,0.34905729753504927,0.35663627928997815,1.2744843751221806,0.10642441668776172,fedprox,0.01,42,20
12,1.1369162881719033,0.7577268195413759,0.43226601762901523,0.4413242577898959,1.1369162881719033,0.09305315357911728,fedprox,0.01,42,20
13,1.3515821940164385,0.7457627118644068,0.41961411481317806,0.4379050758203092,1.3515821940164385,0.08041600575112902,fedprox,0.01,42,20
14,1.447426965205762,0.7357926221335992,0.3906706391483909,0.4194286647512127,1.447426965205762,0.07911305764888867,fedprox,0.01,42,20
15,1.4750202758124438,0.7367896311066799,0.3903911888689406,0.4191818517399913,1.4750202758124438,0.07685051259313089,fedprox,0.01,42,20
16,1.447288999291265,0.7467597208374875,0.4264370216360849,0.4609186548036905,1.447288999291265,0.05982869280612916,fedprox,0.01,42,20
17,1.3955779850542367,0.7337986041874377,0.40372849400952443,0.43089376449952427,1.3955779850542367,0.06473997834406252,fedprox,0.01,42,20
18,1.370499896741698,0.7507477567298105,0.4433668869266058,0.4760681437632482,1.370499896741698,0.0535710380506058,fedprox,0.01,42,20
19,1.4149697973863673,0.7387836490528414,0.43418632446735483,0.4478535263125565,1.4149697973863673,0.05590745626555415,fedprox,0.01,42,20
20,1.4500369539527094,0.7367896311066799,0.3933983869581059,0.4098415290724119,1.4500369539527094,0.05067967470787533,fedprox,0.01,42,20
21,1.41316639390567,0.7477567298105683,0.4369754272564577,0.4627597763431092,1.41316639390567,0.049743673258841006,fedprox,0.01,42,20
22,1.2743566452208925,0.7547357926221336,0.4435556805580224,0.4723378411668686,1.2743566452208925,0.060903574319768894,fedprox,0.01,42,20
23,1.3283704237590876,0.7567298105682951,0.46675555703658744,0.49295356626171344,1.3283704237590876,0.03693391087162992,fedprox,0.01,42,20
24,1.3318338614636855,0.7577268195413759,0.46344220372323414,0.49118160582373543,1.3318338614636855,0.04424198612776319,fedprox,0.01,42,20
25,1.3354727078530035,0.7557328015952144,0.457974993337991,0.4895123636461904,1.3354727078530035,0.056095344624021666,fedprox,0.01,42,20
26,1.3822202414482208,0.7557328015952144,0.45434314298482914,0.477927124063913,1.3822202414482208,0.038381334173057086,fedprox,0.01,42,20
27,1.3711399580403079,0.7577268195413759,0.46912835777004397,0.4965302849799515,1.3711399580403079,0.03795657550887012,fedprox,0.01,42,20
28,1.383962172810601,0.7587238285144566,0.4746512132928995,0.5020573661488495,1.383962172810601,0.03311919784974869,fedprox,0.01,42,20
29,1.4083102894566233,0.7547357926221336,0.45753499617668236,0.4843158780383771,1.4083102894566233,0.03685531379282575,fedprox,0.01,42,20
30,1.3624678481136219,0.7627118644067796,0.4723683610100472,0.4950591164647214,1.3624678481136219,0.032519416094686775,fedprox,0.01,42,20
