round,client_id,update_norm,n_samples,local_epochs
1,5,1.3960168662426,1108,1
1,1,1.419051756739085,963,1
1,2,1.3707268714668235,1095,1
1,3,1.384363432824339,1094,1
1,4,1.4124978025965929,1110,1
1,6,1.753781787347045,673,1
1,0,1.437857417265108,964,1
2,4,1.0374787199351603,1110,1
2,2,1.2812504818823969,1095,1
2,6,0.19375883959589965,673,1
2,5,1.2461642025748,1108,1
2,1,1.1468944662992575,963,1
2,0,1.1142159899661221,964,1
2,3,1.4534274570449264,1094,1
3,2,0.9002498376806588,1095,1
3,3,0.8987468631861284,1094,1
3,6,0.9653451397667606,673,1
3,1,1.1740282180122814,963,1
3,0,1.1511513541814422,964,1
3,5,0.8913937682357634,1108,1
3,4,0.859411998742538,1110,1
4,4,1.1047985741514261,1110,1
4,6,0.21134016545455486,673,1
4,5,1.2648983905083533,1108,1
4,0,1.21654854422785,964,1
4,3,1.1606250394730486,1094,1
4,1,1.2327114232720433,963,1
4,2,1.4818743449542866,1095,1
5,6,0.9924415278728945,673,1
5,0,1.081888030475852,964,1
5,3,0.9328305439543203,1094,1
5,4,0.9109378873892514,1110,1
5,2,0.8940511119134051,1095,1
5,1,1.070971408144243,963,1
5,5,0.9677774747079028,1108,1
6,5,0.9615739366958949,1108,1
6,2,1.2745847651684303,1095,1
6,1,1.1931319705396388,963,1
6,3,1.3158380612112268,1094,1
6,0,1.116032396644598,964,1
6,6,0.22159386093286887,673,1
6,4,0.9435140989722992,1110,1
7,0,0.9456065912392084,964,1
7,4,0.8324075907479591,1110,1
7,3,0.9139889101746259,1094,1
7,1,0.9151446001735423,963,1
7,2,0.9130930579197418,1095,1
7,5,0.8844884525039022,1108,1
7,6,0.8224934814468088,673,1
8,2,1.1834322429850779,1095,1
8,4,0.8728992617707183,1110,1
8,3,1.2625834295172642,1094,1
8,6,0.3123651672890173,673,1
8,5,0.9565955011360592,1108,1
8,0,1.191720659176586,964,1
8,1,1.313410681000618,963,1
9,3,0.974044798492257,1094,1
9,4,0.8207281053764913,1110,1
9,0,0.9260288902446273,964,1
9,1,0.8626074140215138,963,1
9,6,0.9325452245391591,673,1
9,2,0.9839838383331024,1095,1
9,5,0.8725323040353384,1108,1
10,2,0.9178721541581832,1095,1
10,6,0.29286857559486074,673,1
10,0,1.3685962054225878,964,1
10,4,0.9363941128223623,1110,1
10,1,1.1424136171800416,963,1
10,5,1.020842966998756,1108,1
10,3,1.0241815753278096,1094,1
11,4,0.9522574807313444,1110,1
11,6,0.7280345577100259,673,1
11,2,1.206510221128788,1095,1
11,3,1.2651958196805577,1094,1
11,5,0.9857016588568703,1108,1
11,0,0.6209810828253881,964,1
11,1,0.6173623291413197,963,1
12,2,0.6761854539660037,1095,1
12,5,0.9799152596236936,1108,1
12,4,1.0372368748007077,1110,1
12,6,0.48519250108617334,673,1
12,3,0.6147533728246077,1094,1
12,0,1.4095593875592258,964,1
12,1,1.3634082558963678,963,1
13,4,0.7642360745253438,1110,1
13,6,0.5509860628337365,673,1
13,0,0.7807874975664295,964,1
13,2,1.223245817511657,1095,1
13,3,1.2536753623063248,1094,1
13,1,0.7864194049018197,963,1
13,5,0.8080419225729293,1108,1
14,6,0.4214297744478041,673,1
14,5,1.292401983143355,1108,1
14,1,0.9739188936874469,963,1
14,3,0.6758326838174361,1094,1
14,4,1.2444052314649876,1110,1
14,0,1.0623205974634014,964,1
14,2,0.8320889837552841,1095,1
15,3,1.2379204066222056,1094,1
15,1,1.0864453596648147,963,1
15,6,0.5207125724479185,673,1
15,2,1.3078880119183847,1095,1
15,0,1.112981035996318,964,1
15,4,0.4994369303511943,1110,1
15,5,0.5826144529858902,1108,1
16,5,1.6525199933689243,1108,1
16,1,0.6707418049319709,963,1
16,0,0.5864256235808205,964,1
16,3,0.8732047970821427,1094,1
16,4,1.5024647286600112,1110,1
16,6,0.5602889064724207,673,1
16,2,0.8395783250461308,1095,1
17,4,0.6585998604631133,1110,1
17,6,0.37977984665500497,673,1
17,0,1.4544559025215367,964,1
17,2,1.1866340298963463,1095,1
17,1,1.2909539312829679,963,1
17,5,0.6013647035672183,1108,1
17,3,1.1578299695717953,1094,1
18,4,1.0705570373151352,1110,1
18,3,1.0591072217311113,1094,1
18,0,0.6054396807133612,964,1
18,6,0.5441052058758862,673,1
18,5,1.1031370202407782,1108,1
18,2,0.9377501052094412,1095,1
18,1,0.608182489484131,963,1
19,6,0.3772144719086164,673,1
19,3,0.7436925101507239,1094,1
19,1,1.3762954582158324,963,1
19,4,0.8085858357330653,1110,1
19,0,1.306319315214751,964,1
19,5,0.6998789643754664,1108,1
19,2,0.8228297871644763,1095,1
20,2,1.2901703375839901,1095,1
20,3,1.218921168236818,1094,1
20,0,0.4873566213260574,964,1
20,5,1.0525057837216485,1108,1
20,6,0.49556926970694887,673,1
20,1,0.6423213038239346,963,1
