round,client_id,update_norm,n_samples,local_epochs
1,1,3.4887248791553755,2102,20
1,0,4.49914111982963,4905,20
2,1,3.20458120627106,2102,20
2,0,4.662707003001236,4905,20
3,1,3.580778887093683,2102,20
3,0,4.567661986066552,4905,20
4,0,2.2786412159467675,4905,20
4,1,3.59046965272895,2102,20
5,1,2.6633294478206744,2102,20
5,0,1.5425439885917476,4905,20
6,0,1.0765894165815162,4905,20
6,1,2.2502375242631962,2102,20
7,1,1.9625920905568512,2102,20
7,0,1.1862930612425648,4905,20
8,0,0.27585598146066564,4905,20
8,1,1.8710553481467695,2102,20
9,1,1.5137042158723137,2102,20
9,0,1.3630882500119832,4905,20
10,1,1.422589973388586,2102,20
10,0,0.8933756694267623,4905,20
11,0,0.2261466692247837,4905,20
11,1,1.162949277681973,2102,20
12,1,1.2533198976228879,2102,20
12,0,0.22990183026766894,4905,20
13,1,0.8272243643717985,2102,20
13,0,1.512376896512115,4905,20
14,1,1.1779291822818625,2102,20
14,0,0.1697826613177684,4905,20
15,1,1.1738131196527035,2102,20
15,0,0.22483118621550588,4905,20
16,0,0.2346398569061585,4905,20
16,1,0.7396708398638828,2102,20
17,0,1.271057145472977,4905,20
17,1,0.8315751354264651,2102,20
18,0,0.15145250557069653,4905,20
18,1,1.2378930096701555,2102,20
19,0,1.029136844323185,4905,20
19,1,0.8664714957839021,2102,20
20,0,0.15716977867401535,4905,20
20,1,0.9247549446564179,2102,20
21,1,0.8034851753964486,2102,20
21,0,0.17655999671247796,4905,20
22,1,0.6848725597232913,2102,20
22,0,1.4744930624694093,4905,20
23,1,1.0939335312672105,2102,20
23,0,0.13945529886303581,4905,20
24,0,0.17203415632188113,4905,20
24,1,0.9098213523487498,2102,20
25,1,0.7737685822931601,2102,20
25,0,0.17195839895210394,4905,20
26,1,0.644243230239174,2102,20
26,0,1.0033320320723793,4905,20
27,0,0.1309817943540786,4905,20
27,1,0.8934380294696441,2102,20
28,0,0.15086933524306947,4905,20
28,1,0.8318746023233862,2102,20
29,0,0.1567949600740141,4905,20
29,1,0.6910831684929198,2102,20
30,0,1.0097645064815959,4905,20
30,1,0.5866163344145495,2102,20
31,1,0.7312953465606243,2102,20
