round,client_id,update_norm,n_samples,local_epochs
1,0,1.1353853023532727,6049,20
1,1,2.028684168550892,958,20
2,0,0.8442063613642234,6049,20
2,1,1.8947780138838692,958,20
3,1,1.7148508478186595,958,20
3,0,0.9262341901010313,6049,20
4,1,1.4957736738298495,958,20
4,0,0.6825967081453632,6049,20
5,1,1.414778974007332,958,20
5,0,0.3785043719286965,6049,20
6,0,0.22412591289106076,6049,20
6,1,1.2792277928504747,958,20
7,1,1.3220072309031705,958,20
7,0,0.16334402831276174,6049,20
8,0,0.22666258085867202,6049,20
8,1,0.9934680847155826,958,20
9,1,1.0087626397820253,958,20
9,0,0.12135829478579856,6049,20
10,1,1.3194793950923012,958,20
10,0,0.22960832156645158,6049,20
11,1,0.9114009208445885,958,20
11,0,0.21636716136639525,6049,20
12,1,0.8594363115525736,958,20
12,0,0.10189141502064594,6049,20
13,1,0.8428399942206936,958,20
13,0,0.09024144685603945,6049,20
14,1,0.8626726646475239,958,20
14,0,0.20629471845539255,6049,20
15,1,0.8185358874203358,958,20
15,0,0.08740504984905394,6049,20
16,1,0.7371051297696747,958,20
16,0,0.27226147192321287,6049,20
17,1,0.8810067654500968,958,20
17,0,0.08385374292015843,6049,20
18,1,0.6609754524993617,958,20
18,0,0.0935041881259526,6049,20
19,1,0.6249939170765642,958,20
19,0,0.07529860547865916,6049,20
20,0,0.06802612038972716,6049,20
20,1,0.6135013327833565,958,20
21,0,0.07522120362967209,6049,20
21,1,0.5826361257213828,958,20
22,1,0.8172499942292588,958,20
22,0,0.07216610754665213,6049,20
23,1,0.6148464354982306,958,20
23,0,0.08952097602109471,6049,20
24,1,0.5000070241708544,958,20
24,0,0.1534629249090324,6049,20
25,0,0.06301558592223407,6049,20
25,1,1.19489590336731,958,20
26,0,0.25544239057909407,6049,20
26,1,0.4814299039462529,958,20
27,1,0.981999544827737,958,20
27,0,0.06769428152505767,6049,20
28,0,0.18891496688866044,6049,20
28,1,0.4401129754843613,958,20
29,0,0.06452274993260738,6049,20
29,1,0.5211353922622707,958,20
30,0,0.06786276940254286,6049,20
30,1,0.6020610690042829,958,20
31,0,0.07005832736397757,6049,20
31,1,0.49354902221901575,958,20
32,1,0.6899497895118668,958,20
32,0,0.06219991315036641,6049,20
33,0,0.20677979825553358,6049,20
33,1,0.9582593884325947,958,20
34,0,0.11268589501004816,6049,20
34,1,0.30932136858278536,958,20
35,0,0.052735264733777716,6049,20
35,1,0.9068617519238612,958,20
36,1,0.548140322643517,958,20
36,0,0.19234409656725862,6049,20
37,1,0.4856992722933817,958,20
37,0,0.059656897831976224,6049,20
38,0,0.06580519979309275,6049,20
38,1,0.6630088986127232,958,20
39,1,0.2947805480852839,958,20
39,0,0.2519626288785776,6049,20
40,1,0.4726678341625469,958,20
40,0,0.05561669180967766,6049,20
41,0,0.060456533620564926,6049,20
41,1,0.3333509519706009,958,20
42,1,1.0975448539067107,958,20
42,0,0.04978796675154032,6049,20
43,1,0.5727966699258773,958,20
43,0,0.36447762945780193,6049,20
44,1,0.3363896349326358,958,20
44,0,0.06636995017605476,6049,20
45,0,0.05310383974724906,6049,20
45,1,0.6261342812444227,958,20
46,0,0.0743074761080593,6049,20
46,1,0.5627854611812982,958,20
47,0,0.07078864173224299,6049,20
47,1,0.6967379136756975,958,20
48,1,0.4946337818861716,958,20
48,0,0.11482862503277352,6049,20
49,0,0.05922608198656886,6049,20
49,1,0.4954092148762862,958,20
50,0,0.05720971805292585,6049,20
50,1,0.4032085648549018,958,20
51,0,0.05562744019314641,6049,20
51,1,0.3768997180839549,958,20
52,0,0.052189186152764654,6049,20
52,1,0.4982239096551303,958,20
53,1,0.6576431968928357,958,20
53,0,0.4497814748662616,6049,20
54,0,0.10572620494412563,6049,20
54,1,0.3622769862234449,958,20
55,0,0.06218332992857848,6049,20
55,1,0.5284037552220326,958,20
56,0,0.059852816482949635,6049,20
56,1,0.49278730248363045,958,20
57,1,0.4525292537002503,958,20
57,0,0.06163446187160944,6049,20
58,0,0.18658039564260126,6049,20
58,1,0.30527915879653456,958,20
59,1,0.7291214706360892,958,20
59,0,0.05105828621692294,6049,20
60,1,0.4506418678130319,958,20
60,0,0.17563799001569258,6049,20
61,0,0.054784691934828635,6049,20
61,1,0.6802717791578012,958,20
62,1,0.3214120724405966,958,20
62,0,0.07568992723715195,6049,20
63,0,0.050457637694289285,6049,20
63,1,0.4054372366727725,958,20
64,0,0.05094604190939174,6049,20
64,1,0.6142706886866182,958,20
65,0,0.2951606723498797,6049,20
65,1,0.3876056818289456,958,20
66,0,0.06006174812522433,6049,20
66,1,0.507211686467487,958,20
67,0,0.343023599035935,6049,20
67,1,0.3418335273414072,958,20
68,1,0.3555525291099333,958,20
68,0,0.05618193173135978,6049,20
69,0,0.051238661125390376,6049,20
69,1,0.5580593760935372,958,20
70,1,0.7965582172490685,958,20
70,0,0.0653376718722768,6049,20
71,0,0.0933167003188385,6049,20
71,1,0.4642062359438066,958,20
72,0,0.05683641582287232,6049,20
72,1,0.44614958173317587,958,20
73,0,0.058927688582884524,6049,20
73,1,0.6017238283115832,958,20
74,0,0.05994824146940939,6049,20
74,1,0.4026011089244967,958,20
75,0,0.05375739363995473,6049,20
75,1,0.3364617136749647,958,20
76,0,0.0462556595076195,6049,20
76,1,0.6186617161687736,958,20
77,0,0.1454226988265316,6049,20
77,1,0.4600251032162804,958,20
78,1,0.30950762626801787,958,20
78,0,0.0711323305576765,6049,20
79,1,0.6651356031136992,958,20
79,0,0.04589200956329688,6049,20
80,1,0.48276224558240294,958,20
80,0,0.21232603701442815,6049,20
81,0,0.0736605378586754,6049,20
81,1,0.49323401328550454,958,20
82,0,0.06291454630638335,6049,20
82,1,0.5805048392389659,958,20
83,0,0.10267845612677727,6049,20
83,1,0.6624196744555562,958,20
84,0,0.08295393157559396,6049,20
84,1,0.6934713208300521,958,20
85,1,0.45774491150405555,958,20
