round,client_id,update_norm,n_samples,local_epochs
1,1,2.961282884649716,958,20
1,0,4.632560229793677,6049,20
2,1,2.749202159471512,958,20
2,0,4.487462385537785,6049,20
3,0,4.434284069930531,6049,20
3,1,2.6094627568591315,958,20
4,0,3.4467457809013586,6049,20
4,1,2.5150859422907397,958,20
5,0,2.741163950444713,6049,20
5,1,2.317788521748639,958,20
6,0,2.4243771125752493,6049,20
6,1,2.142361545576665,958,20
7,1,2.028615373080056,958,20
7,0,0.8915691631239876,6049,20
8,0,0.2892294933886089,6049,20
8,1,1.7612545115688067,958,20
9,0,0.18635103310285103,6049,20
9,1,1.610434750655104,958,20
10,0,0.15555415202185688,6049,20
10,1,1.5378680999240517,958,20
11,0,0.14194040389028467,6049,20
11,1,1.3999630560894984,958,20
12,1,1.2895335305597897,958,20
12,0,0.13443463667207717,6049,20
13,1,1.2229291453368476,958,20
13,0,0.13198197178896853,6049,20
14,1,1.1756689259956197,958,20
14,0,0.12565947880151773,6049,20
15,0,0.1216644900695671,6049,20
15,1,1.132453334705975,958,20
16,1,1.063120086171811,958,20
16,0,0.11932808449140372,6049,20
17,0,0.11840550073157446,6049,20
17,1,0.9872294310585281,958,20
18,0,0.1129552020710051,6049,20
18,1,0.9322406568412935,958,20
19,1,0.9927809718842712,958,20
19,0,0.10812286687217955,6049,20
20,0,0.11129087424452563,6049,20
20,1,0.988311657985236,958,20
21,0,0.10761237954036995,6049,20
21,1,0.8620421916595195,958,20
22,0,0.10504816177267066,6049,20
22,1,0.9696789037996741,958,20
23,0,1.411348181342071,6049,20
23,1,1.0684899022395877,958,20
24,1,1.0058401650462128,958,20
24,0,0.09792980302041883,6049,20
25,1,0.9134176384405785,958,20
25,0,0.09745075838603116,6049,20
26,0,0.0972738568590627,6049,20
26,1,1.030305802868153,958,20
27,0,0.10386297476279567,6049,20
27,1,0.8190597474209851,958,20
28,1,0.8845375071184457,958,20
28,0,0.09612534828955555,6049,20
29,1,0.8786204436495109,958,20
29,0,0.0958275831612673,6049,20
30,1,0.9517722563999454,958,20
30,0,0.09549821547280593,6049,20
31,0,0.09887184428963194,6049,20
31,1,0.7809921140658471,958,20
32,1,0.9211058084573931,958,20
32,0,0.09311269313717153,6049,20
33,1,0.7332706730246802,958,20
33,0,0.09406977421466264,6049,20
34,0,0.08666573878522245,6049,20
34,1,0.9236036543437715,958,20
35,1,0.7377523070358407,958,20
35,0,0.09392054062554925,6049,20
36,0,0.08976138386364409,6049,20
36,1,0.8076175608269098,958,20
37,1,1.4849529747883845,958,20
37,0,0.0844213726862385,6049,20
38,0,1.288403183483287,6049,20
38,1,0.7124020809818729,958,20
39,1,0.8574089262164089,958,20
39,0,0.08092335864000726,6049,20
40,1,0.9621795066430009,958,20
40,0,0.08516340172409932,6049,20
41,1,0.7707832912884995,958,20
41,0,0.08642250116296255,6049,20
42,1,0.6178583207845092,958,20
42,0,0.08516125375051983,6049,20
43,1,0.9020367565771679,958,20
43,0,0.08435495640261297,6049,20
44,1,0.677561542197836,958,20
44,0,0.08581316211067701,6049,20
45,1,0.7136007986767134,958,20
45,0,0.07962085679657535,6049,20
46,0,0.08093228398665736,6049,20
46,1,0.712228006513019,958,20
47,1,0.9137339213205027,958,20
47,0,0.08542943909013344,6049,20
48,0,0.09643431508014562,6049,20
48,1,1.0899529472117002,958,20
49,1,0.8000342702672109,958,20
49,0,0.0885068477264985,6049,20
50,1,0.6353724592941499,958,20
50,0,0.08266158026189122,6049,20
51,1,0.6966523110067253,958,20
51,0,0.08460125486672897,6049,20
52,0,0.08004577825303795,6049,20
52,1,0.639195513862743,958,20
53,1,0.6222322313767196,958,20
53,0,0.08229590175967712,6049,20
54,0,0.07768407508374102,6049,20
54,1,0.5512079467601708,958,20
55,0,0.07357151554121076,6049,20
55,1,0.5655725991730262,958,20
56,0,0.07600445910336846,6049,20
56,1,0.559798596520521,958,20
57,1,0.5429841717858621,958,20
57,0,0.0748439450160661,6049,20
58,0,0.07610617909228891,6049,20
58,1,0.7950706292791023,958,20
59,1,0.5260948865542723,958,20
59,0,0.08466022678131209,6049,20
60,0,0.07343181054633474,6049,20
60,1,0.7447304272237928,958,20
61,1,0.8013414391403116,958,20
61,0,0.07827839179622303,6049,20
62,0,0.08018165020773449,6049,20
62,1,0.5064483985310516,958,20
63,0,0.07197577511141488,6049,20
63,1,0.5462543281911882,958,20
64,1,0.45639987372221735,958,20
64,0,0.06849905111499018,6049,20
65,1,0.6169488510913306,958,20
65,0,0.0661999722567864,6049,20
66,1,0.5368503317692594,958,20
66,0,0.07377294499404057,6049,20
67,1,0.7350632870727771,958,20
67,0,0.07077195358821423,6049,20
68,0,0.08599503166828255,6049,20
68,1,0.6241784080141831,958,20
69,1,0.6570115441120281,958,20
69,0,0.08057990606419034,6049,20
70,1,0.5237871443842357,958,20
70,0,0.084647208281668,6049,20
71,1,0.9633354783090284,958,20
71,0,0.07121804978266168,6049,20
72,1,0.41319476540417593,958,20
